,专用设备制造业外商及港澳台商投资工业亏损企业亏损总额,交通运输设备制造业外商及港澳台商投资工业亏损企业亏损总额,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业亏损企业亏损总额,其他采矿业外商及港澳台商投资工业亏损企业亏损总额,农副食品加工业外商及港澳台商投资工业亏损企业亏损总额,化学原料及化学制品制造业外商及港澳台商投资工业亏损企业亏损总额,化学纤维制造业外商及港澳台商投资工业亏损企业亏损总额,医药制造业外商及港澳台商投资工业亏损企业亏损总额,印刷业和记录媒介的复制外商及港澳台商投资工业亏损企业亏损总额,塑料制品业外商及港澳台商投资工业亏损企业亏损总额,外商及港澳台商投资工业亏损企业亏损总额,家具制造业外商及港澳台商投资工业亏损企业亏损总额,工艺品及其他制造业外商及港澳台商投资工业亏损企业亏损总额,废弃资源和废旧材料回收加工业外商及港澳台商投资工业亏损企业亏损总额,文教体育用品制造业外商及港澳台商投资工业亏损企业亏损总额,有色金属冶炼及压延加工业外商及港澳台商投资工业亏损企业亏损总额,有色金属矿采选业外商及港澳台商投资工业亏损企业亏损总额,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业亏损企业亏损总额,橡胶制品业外商及港澳台商投资工业亏损企业亏损总额,水的生产和供应业外商及港澳台商投资工业亏损企业亏损总额,烟草制品业外商及港澳台商投资工业亏损企业亏损总额,煤炭开采和洗选业外商及港澳台商投资工业亏损企业亏损总额,燃气生产和供应业外商及港澳台商投资工业亏损企业亏损总额,电力、热力的生产和供应业外商及港澳台商投资工业亏损企业亏损总额,电气机械及器材制造业外商及港澳台商投资工业亏损企业亏损总额,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业亏损企业亏损总额,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业亏损企业亏损总额,石油和天然气开采业外商及港澳台商投资工业亏损企业亏损总额,纺织业外商及港澳台商投资工业亏损企业亏损总额,纺织服装、鞋、帽制造业外商及港澳台商投资工业亏损企业亏损总额,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业亏损企业亏损总额,通用设备制造业外商及港澳台商投资工业亏损企业亏损总额,造纸及纸制品业外商及港澳台商投资工业亏损企业亏损总额,金属制品业外商及港澳台商投资工业亏损企业亏损总额,非金属矿物制品业外商及港澳台商投资工业亏损企业亏损总额,非金属矿采选业外商及港澳台商投资工业亏损企业亏损总额,食品制造业外商及港澳台商投资工业亏损企业亏损总额,饮料制造业外商及港澳台商投资工业亏损企业亏损总额,黑色金属冶炼及压延加工业外商及港澳台商投资工业亏损企业亏损总额,黑色金属矿采选业外商及港澳台商投资工业亏损企业亏损总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,6.49452,24.00897,4.43087,,16.12025,17.61155,4.15531,9.86539,3.4536,12.98388,351.42033,2.80227,3.59188,0.11596,5.00496,4.93234,0.04116,5.57279,10.2016,0.15896,,0.26284,1.98976,9.09835,21.77362,6.28428,1.4769,,18.91292,11.78524,66.87227,10.72089,6.97592,8.63354,15.75729,0.15652,20.77436,15.93798,2.33378,0.12761
