,专用设备制造业外商及港澳台商投资工业企业国家资本金,交通运输设备制造业外商及港澳台商投资工业企业国家资本金,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业国家资本金,其他采矿业外商及港澳台商投资工业企业国家资本金,农副食品加工业外商及港澳台商投资工业企业国家资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业国家资本金,化学纤维制造业外商及港澳台商投资工业企业国家资本金,医药制造业外商及港澳台商投资工业企业国家资本金,印刷业和记录媒介的复制外商及港澳台商投资工业企业国家资本金,塑料制品业外商及港澳台商投资工业企业国家资本金,外商及港澳台商投资工业企业国家资本金,家具制造业外商及港澳台商投资工业企业国家资本金,工艺品及其他制造业外商及港澳台商投资工业企业国家资本金,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业国家资本金,文教体育用品制造业外商及港澳台商投资工业企业国家资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业国家资本金,有色金属矿采选业外商及港澳台商投资工业企业国家资本金,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业国家资本金,橡胶制品业外商及港澳台商投资工业企业国家资本金,水的生产和供应业外商及港澳台商投资工业企业国家资本金,烟草制品业外商及港澳台商投资工业企业国家资本金,煤炭开采和洗选业外商及港澳台商投资工业企业国家资本金,燃气生产和供应业外商及港澳台商投资工业企业国家资本金,电力、热力的生产和供应业外商及港澳台商投资工业企业国家资本金,电气机械及器材制造业外商及港澳台商投资工业企业国家资本金,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业国家资本金,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业国家资本金,石油和天然气开采业外商及港澳台商投资工业企业国家资本金,纺织业外商及港澳台商投资工业企业国家资本金,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业国家资本金,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业国家资本金,通用设备制造业外商及港澳台商投资工业企业国家资本金,造纸及纸制品业外商及港澳台商投资工业企业国家资本金,金属制品业外商及港澳台商投资工业企业国家资本金,非金属矿物制品业外商及港澳台商投资工业企业国家资本金,非金属矿采选业外商及港澳台商投资工业企业国家资本金,食品制造业外商及港澳台商投资工业企业国家资本金,饮料制造业外商及港澳台商投资工业企业国家资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业国家资本金,黑色金属矿采选业外商及港澳台商投资工业企业国家资本金
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,15.82368,155.71308,9.36364,0.0,26.08773,48.58781,13.84734,16.2894,12.38327,16.01481,893.88986,0.86715,1.78504,0.0,3.23874,13.14146,0.25857,7.26463,18.08809,9.70211,1.07653,0.06875,3.22938,204.97351,35.39373,2.35135,3.57617,0.0,26.07214,3.81975,59.28578,28.31354,28.92767,18.65077,40.32626,0.93145,13.87199,36.40624,18.1583,0.0
2004年,14.85461,229.30051,9.6057,0.0,19.61223,43.9926,19.15405,18.41268,11.92436,12.66481,948.93404,0.66064,2.61479,0.093,2.63851,17.43823,0.31567,8.24508,13.33841,17.75165,0.4021,2.5076,11.4367,183.48138,30.13197,1.66775,3.70372,0.08277,22.28269,4.12546,54.05954,31.80958,29.49957,17.2542,35.43445,1.30037,9.84549,38.15019,28.91098,0.23
2005年,15.89287,133.74544,7.70959,0.7,18.66604,30.72733,18.59186,29.97882,8.80847,10.07367,813.80308,0.5682,1.72115,0.493,2.70325,16.95067,5.28835,7.19228,7.49247,27.9471,0.61553,0.17478,13.47194,163.42846,27.46311,1.32891,6.09927,2.03277,18.63366,3.01351,50.55161,27.04141,34.54296,12.11258,27.45954,0.83574,10.6068,17.69217,51.44777,0.0
2006年,14.79,282.73,8.74,0.0,23.57,36.99,16.57,37.69,8.8,7.75,1074.77,0.73,1.47,1.39,1.92,16.02,0.58,9.0,6.66,25.83,0.54,0.98,25.93,152.97,34.69,0.52,10.67,79.1,15.52,2.01,51.15,43.83,26.5,10.21,32.9,1.19,7.87,25.88,51.05,0.0
2007年,16.4807,367.35553,7.49028,0.0,24.56509,51.70656,17.90825,31.29049,7.89251,7.00126,1338.77973,0.46498,1.18795,0.96668,1.65256,21.62836,0.85143,6.58538,6.61453,34.8543,0.61553,2.69671,49.78573,209.45225,30.40133,0.71006,60.41594,83.78599,11.13873,1.87126,73.93946,88.95227,25.99384,11.58645,36.77455,0.73035,7.3847,18.05478,17.4029,0.59006
2008年,15.26519,267.08583,8.64709,0.0,20.29521,58.39117,17.57333,28.05227,9.64083,8.13372,1343.92453,0.5354,0.73815,0.59281,0.30891,39.57448,2.01146,5.50055,16.03159,45.47249,2.25802,2.2235,38.08466,242.61687,32.23163,1.05321,82.04763,107.72483,10.21157,1.63184,72.19314,38.24928,25.78851,17.15972,41.90885,0.003,5.96119,22.3349,56.3917,0.0
2009年,17.27073,303.17978,6.3723,0.0,20.1964,85.84391,16.25666,29.01142,6.48126,5.38181,1440.50361,0.41092,0.60155,1.22004,0.72053,28.01816,0.15586,4.36968,4.18519,63.39662,0.61553,9.30026,37.13366,414.00861,29.51673,0.1885,68.83842,0.22644,10.34917,1.19429,64.87472,41.2425,23.48314,31.81346,33.51082,0.98405,6.15561,18.00629,55.87853,0.11006
2010年,14.19606,387.93896,3.82025,0.0,18.06757,51.66888,7.44164,30.71612,7.4055,6.31723,1406.55671,1.02844,0.68106,0.3685,0.38433,34.96826,2.48869,2.94769,3.04216,63.18532,0.0,2.5238,39.06095,347.35014,27.64469,0.49879,38.18379,0.22644,36.91818,1.96027,68.27988,48.47596,32.91504,32.97962,37.06959,0.79009,7.18561,14.95009,32.76707,0.11005
2011年,13.12476,316.7854,3.97909,0.0,20.26711,46.69918,21.81233,32.97919,6.16229,11.30575,1442.56788,2.1866,0.75424,1.32049,0.30521,57.96392,0.58782,1.8933,14.24616,72.6503,2.25802,9.3348,36.47104,266.00353,30.20809,0.42356,5.26772,0.0807,9.03747,2.26881,147.65395,70.08245,86.9368,20.44946,35.76085,0.0,6.76624,20.82823,67.63302,0.08
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
