,专用设备制造业外商及港澳台商投资工业企业主营业务收入,交通运输设备制造业外商及港澳台商投资工业企业主营业务收入,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业主营业务收入,其他采矿业外商及港澳台商投资工业企业主营业务收入,农副食品加工业外商及港澳台商投资工业企业主营业务收入,化学原料及化学制品制造业外商及港澳台商投资工业企业主营业务收入,化学纤维制造业外商及港澳台商投资工业企业主营业务收入,医药制造业外商及港澳台商投资工业企业主营业务收入,印刷业和记录媒介的复制外商及港澳台商投资工业企业主营业务收入,塑料制品业外商及港澳台商投资工业企业主营业务收入,外商及港澳台商投资工业企业主营业务收入,家具制造业外商及港澳台商投资工业企业主营业务收入,工艺品及其他制造业外商及港澳台商投资工业企业主营业务收入,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业主营业务收入,文教体育用品制造业外商及港澳台商投资工业企业主营业务收入,有色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务收入,有色金属矿采选业外商及港澳台商投资工业企业主营业务收入,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务收入,橡胶制品业外商及港澳台商投资工业企业主营业务收入,水的生产和供应业外商及港澳台商投资工业企业主营业务收入,烟草制品业外商及港澳台商投资工业企业主营业务收入,煤炭开采和洗选业外商及港澳台商投资工业企业主营业务收入,燃气生产和供应业外商及港澳台商投资工业企业主营业务收入,电力、热力的生产和供应业外商及港澳台商投资工业企业主营业务收入,电气机械及器材制造业外商及港澳台商投资工业企业主营业务收入,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业主营业务收入,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业主营业务收入,石油和天然气开采业外商及港澳台商投资工业企业主营业务收入,纺织业外商及港澳台商投资工业企业主营业务收入,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业主营业务收入,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业主营业务收入,通用设备制造业外商及港澳台商投资工业企业主营业务收入,造纸及纸制品业外商及港澳台商投资工业企业主营业务收入,金属制品业外商及港澳台商投资工业企业主营业务收入,非金属矿物制品业外商及港澳台商投资工业企业主营业务收入,非金属矿采选业外商及港澳台商投资工业企业主营业务收入,食品制造业外商及港澳台商投资工业企业主营业务收入,饮料制造业外商及港澳台商投资工业企业主营业务收入,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务收入,黑色金属矿采选业外商及港澳台商投资工业企业主营业务收入
2003年,765.65137,4456.7549,1098.86125,,1616.99654,2114.97836,281.29441,576.68987,336.34104,1279.04498,43607.63,349.69715,518.45979,8.85725,550.09224,453.03744,5.54592,250.20016,473.28647,19.28735,13.16487,7.89248,106.08684,1192.58931,2689.74859,1091.07597,646.21497,130.13565,1749.34946,1531.51666,12426.4807,1381.2202,795.5101,1335.3305,921.07066,25.66925,858.14681,672.55875,876.48519,2.30307
2004年,1273.28932,5735.56035,1507.99588,0.21275,2435.39128,3288.78896,561.56937,733.97608,387.26988,1836.54101,65105.85,677.91789,660.19217,76.99951,718.76675,999.31601,25.56172,355.99165,724.47082,43.17963,9.02533,74.40738,153.38338,1642.67949,4223.10038,1439.65637,915.71313,200.86228,2726.45644,1841.22059,18797.69987,2391.94642,1115.73454,1884.64393,1416.03176,40.89665,1106.79488,937.22763,2134.1128,11.26685
2005年,1526.70568,6739.60206,1832.06735,5.50724,3006.5998,4162.17083,702.96388,967.02588,455.23426,2120.21259,78564.46,768.67694,800.69866,97.65648,882.68204,1176.40449,57.86484,408.40213,829.23825,52.77311,8.82176,87.4869,210.29729,1996.83031,5077.55578,1754.72441,1252.57477,267.54995,3116.88961,2221.18689,22423.19851,2900.76314,1440.43222,2359.26735,1640.73315,55.09886,1358.76843,1104.1804,2675.27435,20.33488
2006年,2078.0,9442.13,2298.36,0.1,3561.22,5475.68,922.07,1186.56,526.97,2570.21,98936.12,935.43,1016.7,123.29,1050.06,2050.89,29.83,492.15,961.15,88.1,10.98,100.18,282.5,2008.49,6651.76,2128.55,1534.3,326.47,3667.99,2681.2,27126.14,3701.48,1784.58,2946.6,2113.37,66.1,1812.87,1567.45,3583.47,32.76
2007年,2850.41823,12311.34482,2672.62061,0.06054,4889.55306,7373.23937,1183.3008,1508.61358,632.98021,3130.01402,125497.96,1110.16547,1257.92352,147.23583,1254.05117,2797.92016,55.30038,641.00551,1198.85701,110.91151,10.57776,172.00258,476.44686,2357.76594,8654.43762,2493.92864,2598.98006,334.61002,4316.35955,3329.31658,32609.68071,5024.81741,2173.51842,3861.17898,2818.49469,103.89929,2304.53809,1917.27689,4757.91915,56.69991
2008年,3854.67769,14988.1497,2802.0143,0.066,6474.67298,8838.06771,1202.15879,1995.96329,729.10499,3553.46647,146613.62,1199.62746,1492.36606,256.09176,1361.42527,3188.09542,219.04346,697.49565,1607.69154,151.2103,4.74174,387.133,621.56231,2407.53213,10344.47647,2709.09358,2987.11306,796.23817,4679.60324,3845.6227,35044.3525,6188.82831,2454.37642,4541.05114,3461.54551,129.47609,2790.922,2267.21102,6243.53292,97.82103
2009年,4007.49855,18589.56903,2456.66248,,6980.9188,9167.10967,1132.44493,2545.87239,727.42191,3477.52698,150263.06,1155.1907,1481.21934,234.96319,1357.94701,3033.8106,254.58655,718.94308,1695.89729,173.55844,3.54039,415.72916,738.09722,2581.84532,10361.32529,2783.37709,2743.18995,485.40781,4880.75587,4055.72279,34244.44479,6158.14311,2467.17374,3926.27531,3605.59464,128.81217,3113.72948,2492.80407,5803.15975,82.78653
2010年,5411.99418,24824.69926,3082.62651,,8063.88842,12408.80759,1564.70482,3030.97227,802.80304,4283.64086,188729.41,1413.43464,1927.54634,430.22564,1605.59467,4009.20849,270.53853,848.41574,1894.38239,207.25035,4.01055,854.29598,895.86288,2697.65936,13219.92329,3447.83981,3901.14731,807.88017,5906.43338,4462.80773,42272.3556,7960.16071,3115.45504,4996.03813,4472.45752,135.83389,3607.63296,2913.98013,6841.7282,135.17474
2011年,5983.24155,27917.81035,3481.17586,,9289.23088,15605.20227,1955.01804,3551.71024,880.41225,4483.4362,216304.29,1462.45668,2271.769,501.31358,1611.16926,4787.08874,116.64076,927.7073,2127.57255,228.17449,4.98562,1182.51089,1153.93372,3001.04307,15031.12499,3792.07978,4644.9403,919.67081,6618.9314,4682.99646,48042.70395,9151.02982,3345.65508,5632.83683,5164.87937,130.16363,4618.42128,3579.5366,8204.73854,220.98285
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
