,专用设备制造业外商及港澳台商投资工业企业应交所得税,交通运输设备制造业外商及港澳台商投资工业企业应交所得税,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业应交所得税,其他采矿业外商及港澳台商投资工业企业应交所得税,农副食品加工业外商及港澳台商投资工业企业应交所得税,化学原料及化学制品制造业外商及港澳台商投资工业企业应交所得税,化学纤维制造业外商及港澳台商投资工业企业应交所得税,医药制造业外商及港澳台商投资工业企业应交所得税,印刷业和记录媒介的复制外商及港澳台商投资工业企业应交所得税,塑料制品业外商及港澳台商投资工业企业应交所得税,外商及港澳台商投资工业企业应交所得税,家具制造业外商及港澳台商投资工业企业应交所得税,工艺品及其他制造业外商及港澳台商投资工业企业应交所得税,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业应交所得税,文教体育用品制造业外商及港澳台商投资工业企业应交所得税,有色金属冶炼及压延加工业外商及港澳台商投资工业企业应交所得税,有色金属矿采选业外商及港澳台商投资工业企业应交所得税,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业应交所得税,橡胶制品业外商及港澳台商投资工业企业应交所得税,水的生产和供应业外商及港澳台商投资工业企业应交所得税,烟草制品业外商及港澳台商投资工业企业应交所得税,煤炭开采和洗选业外商及港澳台商投资工业企业应交所得税,燃气生产和供应业外商及港澳台商投资工业企业应交所得税,电力、热力的生产和供应业外商及港澳台商投资工业企业应交所得税,电气机械及器材制造业外商及港澳台商投资工业企业应交所得税,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业应交所得税,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业应交所得税,石油和天然气开采业外商及港澳台商投资工业企业应交所得税,纺织业外商及港澳台商投资工业企业应交所得税,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业应交所得税,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业应交所得税,通用设备制造业外商及港澳台商投资工业企业应交所得税,造纸及纸制品业外商及港澳台商投资工业企业应交所得税,金属制品业外商及港澳台商投资工业企业应交所得税,非金属矿物制品业外商及港澳台商投资工业企业应交所得税,非金属矿采选业外商及港澳台商投资工业企业应交所得税,食品制造业外商及港澳台商投资工业企业应交所得税,饮料制造业外商及港澳台商投资工业企业应交所得税,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业应交所得税,黑色金属矿采选业外商及港澳台商投资工业企业应交所得税
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
