,专用设备制造业外商及港澳台商投资工业企业固定资产原价合计,交通运输设备制造业外商及港澳台商投资工业企业固定资产原价合计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业固定资产原价合计,其他采矿业外商及港澳台商投资工业企业固定资产原价合计,农副食品加工业外商及港澳台商投资工业企业固定资产原价合计,化学原料及化学制品制造业外商及港澳台商投资工业企业固定资产原价合计,化学纤维制造业外商及港澳台商投资工业企业固定资产原价合计,医药制造业外商及港澳台商投资工业企业固定资产原价合计,印刷业和记录媒介的复制外商及港澳台商投资工业企业固定资产原价合计,塑料制品业外商及港澳台商投资工业企业固定资产原价合计,外商及港澳台商投资工业企业固定资产原价合计,家具制造业外商及港澳台商投资工业企业固定资产原价合计,工艺品及其他制造业外商及港澳台商投资工业企业固定资产原价合计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业固定资产原价合计,文教体育用品制造业外商及港澳台商投资工业企业固定资产原价合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业固定资产原价合计,有色金属矿采选业外商及港澳台商投资工业企业固定资产原价合计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业固定资产原价合计,橡胶制品业外商及港澳台商投资工业企业固定资产原价合计,水的生产和供应业外商及港澳台商投资工业企业固定资产原价合计,烟草制品业外商及港澳台商投资工业企业固定资产原价合计,煤炭开采和洗选业外商及港澳台商投资工业企业固定资产原价合计,燃气生产和供应业外商及港澳台商投资工业企业固定资产原价合计,电力、热力的生产和供应业外商及港澳台商投资工业企业固定资产原价合计,电气机械及器材制造业外商及港澳台商投资工业企业固定资产原价合计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业固定资产原价合计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业固定资产原价合计,石油和天然气开采业外商及港澳台商投资工业企业固定资产原价合计,纺织业外商及港澳台商投资工业企业固定资产原价合计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业固定资产原价合计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业固定资产原价合计,通用设备制造业外商及港澳台商投资工业企业固定资产原价合计,造纸及纸制品业外商及港澳台商投资工业企业固定资产原价合计,金属制品业外商及港澳台商投资工业企业固定资产原价合计,非金属矿物制品业外商及港澳台商投资工业企业固定资产原价合计,非金属矿采选业外商及港澳台商投资工业企业固定资产原价合计,食品制造业外商及港澳台商投资工业企业固定资产原价合计,饮料制造业外商及港澳台商投资工业企业固定资产原价合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业固定资产原价合计,黑色金属矿采选业外商及港澳台商投资工业企业固定资产原价合计
2004年,514.57673,2077.7413,370.84115,0.17849,737.2033,1582.17206,508.57576,466.61905,317.59881,1105.34959,29387.91757,210.69451,233.3839,7.60146,274.84313,510.88009,18.09339,209.17587,490.87982,170.86272,12.20403,33.93067,102.43879,4225.23607,1384.61333,380.8314,503.29701,71.76085,1556.39409,542.03389,4481.72372,1004.93652,1040.9104,719.7214,1332.77784,26.65704,599.85835,751.13662,806.49631,3.68811
2005年,594.27667,2638.90615,419.21801,4.49285,845.47808,2183.86122,540.7661,583.35101,355.80395,1184.37117,34266.82312,241.19607,254.41617,9.89744,302.80869,475.12556,33.36495,223.81607,516.42361,196.60237,11.56614,34.07388,139.92804,4886.91189,1583.6316,436.55565,559.18162,76.97028,1610.66159,631.37856,5391.01336,1170.56742,1389.99301,817.75624,1455.9168,32.56748,672.82963,780.31506,976.46894,4.35979
2006年,764.4,3388.1,520.52,0.19,1020.13,3081.13,624.56,670.53,389.1,1329.65,40865.54,280.83,321.1,18.6,340.49,626.22,17.11,251.36,589.14,223.41,13.08,59.09,211.83,4706.1,1850.78,508.34,711.78,366.22,1813.08,749.08,6452.95,1400.28,1583.56,972.68,1743.87,49.72,790.34,934.63,1480.88,10.67
2007年,1032.73017,4276.21109,583.66773,0.19332,1183.00104,3554.39682,725.84154,785.09498,437.00442,1444.2964,49543.59297,325.39591,342.80003,23.74614,391.88014,813.64265,32.57347,275.15618,787.6875,341.89958,11.87222,110.58492,423.95359,5872.82865,2233.6709,563.77029,967.86493,165.70677,2054.47099,902.34881,8241.94314,1714.58506,1801.37941,1203.08346,2192.31345,59.18112,940.10243,1087.14392,1623.37563,16.19417
2008年,1430.14834,5687.32573,660.22418,0.19433,1465.73212,4708.98708,743.91693,950.38142,507.51641,1709.71134,60440.67936,382.312,415.18975,49.44423,464.6659,1178.07844,114.59749,307.83594,951.03889,488.90904,9.29972,157.96764,500.63394,6044.93716,2900.86398,655.06495,931.94564,542.29908,2367.74235,1114.91223,9787.04366,2206.60999,2167.53447,1513.25784,2641.14576,89.54832,1108.78095,1416.51097,2030.10246,38.26869
2009年,1557.97963,6027.77142,686.92556,,2084.19654,5254.62664,754.48067,1160.22837,509.06032,1780.02738,65507.52788,392.93917,433.96155,60.72066,485.23779,1330.66506,120.6598,310.92407,1024.63186,557.79237,7.53368,200.33286,547.46253,6624.92209,3250.08694,649.00192,1387.20204,510.26903,2354.78233,1101.89444,10246.75632,2458.04152,2159.85597,1662.11174,2764.09709,83.16784,1216.6212,1428.32611,2291.25145,30.98192
2010年,1953.17965,6998.41644,776.06361,,2412.87817,6593.0918,826.53193,1300.82307,557.95495,1943.27805,77608.96989,454.94809,444.16987,62.29886,484.14355,1689.57652,128.53627,343.44937,1078.01159,617.81398,7.57685,376.99007,605.63861,6799.10964,3753.14651,753.82445,1465.9203,447.76653,2645.84279,1205.11105,14077.75355,2970.09193,2514.24634,1923.95989,3213.92587,84.08638,1401.10001,1627.70547,3017.07557,52.93231
2011年,2078.11667,8127.68421,874.1234,,2660.36666,7676.84927,996.22042,1439.63583,537.16599,1932.4215,84358.87921,454.33885,446.96971,81.8615,481.25522,1947.37146,55.73392,424.9183,1211.07193,627.92619,7.9664,613.15541,753.48455,7007.14953,4297.88384,792.40594,1675.74957,884.55978,2692.95179,1192.22668,13782.26728,3223.76411,2719.82167,1929.11633,3549.54442,76.69082,1571.77896,1889.7444,3568.17438,76.41232
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
