,专用设备制造业外商及港澳台商投资工业企业负债合计,交通运输设备制造业外商及港澳台商投资工业企业负债合计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业负债合计,其他采矿业外商及港澳台商投资工业企业负债合计,农副食品加工业外商及港澳台商投资工业企业负债合计,化学原料及化学制品制造业外商及港澳台商投资工业企业负债合计,化学纤维制造业外商及港澳台商投资工业企业负债合计,医药制造业外商及港澳台商投资工业企业负债合计,印刷业和记录媒介的复制外商及港澳台商投资工业企业负债合计,塑料制品业外商及港澳台商投资工业企业负债合计,外商及港澳台商投资工业企业负债合计,家具制造业外商及港澳台商投资工业企业负债合计,工艺品及其他制造业外商及港澳台商投资工业企业负债合计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业负债合计,文教体育用品制造业外商及港澳台商投资工业企业负债合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业负债合计,有色金属矿采选业外商及港澳台商投资工业企业负债合计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业负债合计,橡胶制品业外商及港澳台商投资工业企业负债合计,水的生产和供应业外商及港澳台商投资工业企业负债合计,烟草制品业外商及港澳台商投资工业企业负债合计,煤炭开采和洗选业外商及港澳台商投资工业企业负债合计,燃气生产和供应业外商及港澳台商投资工业企业负债合计,电力、热力的生产和供应业外商及港澳台商投资工业企业负债合计,电气机械及器材制造业外商及港澳台商投资工业企业负债合计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业负债合计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业负债合计,石油和天然气开采业外商及港澳台商投资工业企业负债合计,纺织业外商及港澳台商投资工业企业负债合计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业负债合计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业负债合计,通用设备制造业外商及港澳台商投资工业企业负债合计,造纸及纸制品业外商及港澳台商投资工业企业负债合计,金属制品业外商及港澳台商投资工业企业负债合计,非金属矿物制品业外商及港澳台商投资工业企业负债合计,非金属矿采选业外商及港澳台商投资工业企业负债合计,食品制造业外商及港澳台商投资工业企业负债合计,饮料制造业外商及港澳台商投资工业企业负债合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业负债合计,黑色金属矿采选业外商及港澳台商投资工业企业负债合计
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,432.96761,1741.26331,372.57277,0.0,757.28582,1086.67164,175.22167,402.20716,217.91073,692.83926,21763.06,174.1794,194.31227,6.50278,233.81868,277.7827,3.38557,169.27926,353.71504,38.59691,8.34767,8.08368,53.00668,1428.38208,1287.58241,422.35581,233.3874,14.73332,1016.5314,584.3433,4928.94765,806.16964,684.70914,664.58431,768.69399,12.15367,460.40499,515.18825,533.63967,1.30431
2004年,688.7181,2437.07302,504.36319,0.18439,914.1703,1562.19434,335.72592,483.5657,231.61284,1040.47602,31278.34,330.85445,252.85222,29.29927,293.32155,536.2018,27.51175,219.53019,501.35355,74.05949,5.72676,55.17256,115.58973,1956.64956,1895.0354,578.38167,325.69419,24.7176,1485.46715,690.49664,6992.93319,1338.52913,1067.22744,887.23491,1116.28141,23.95236,552.21944,612.9114,1083.84445,7.20948
2005年,826.07844,2914.35102,553.94113,1.4093,1047.48937,2059.01019,370.63613,595.05028,262.48791,1141.65192,36459.37,344.85932,274.33167,35.93603,338.76226,586.40209,60.22407,220.41345,486.40363,79.16514,6.43076,58.64491,166.90489,2369.09824,2215.99665,652.75388,403.01965,29.95861,1559.63537,804.06694,8416.45991,1535.90266,1274.79937,932.39086,1192.42993,24.49259,614.05973,584.74082,1407.03273,11.94564
2006年,1032.47,3993.36,712.92,0.17,1250.24,2865.5,468.88,666.1,284.84,1288.46,43398.56,396.24,337.38,47.64,402.79,808.15,20.52,242.76,547.67,336.73,5.77,101.07,235.94,2280.29,2775.01,738.64,582.11,60.54,1737.04,940.58,9099.92,1827.05,1408.26,1189.97,1386.33,40.2,742.87,778.59,1747.32,18.25
2007年,1465.8218,5499.99022,782.40586,0.18739,1700.10666,3576.72426,589.56919,778.58428,349.07046,1475.81779,55168.22,474.89889,435.52386,73.55286,462.33129,1022.63759,47.90859,287.12845,644.68031,355.25544,4.62848,180.50884,386.17814,3057.19176,3584.13053,853.51569,976.7723,95.36089,2052.16848,1153.96935,11257.15289,2530.9616,1633.2808,1568.61046,1828.40499,42.97018,884.21811,971.4901,2048.21229,36.29897
2008年,1981.51631,6882.35245,785.63816,0.20434,1831.54871,4211.29281,675.49258,985.18727,363.32554,1581.39085,62831.0,490.55928,476.55597,111.34795,511.96003,1329.19734,125.94721,316.69007,852.13063,363.08771,2.25897,306.89486,473.38232,3267.52854,4011.28352,889.91833,1338.63171,172.31123,2191.70906,1393.74701,11098.74518,2972.60158,1955.9049,1717.32613,2229.93387,58.37931,1089.35526,1177.0942,2568.20415,40.36859
2009年,2178.57456,8910.65913,1098.24121,0.0,2403.66643,4622.89919,670.70864,1134.7854,361.26631,1543.16457,69928.77,492.95708,457.37349,162.20668,493.24729,1647.04505,132.25105,305.82407,812.00154,419.97344,1.95969,401.3752,1250.30647,3467.13227,4472.14334,909.75582,1428.07562,439.28026,2251.70356,1316.34058,11655.16207,3146.79288,1952.40209,1799.48105,2278.23106,67.30976,1181.24668,1177.44863,2837.07737,48.70001
2010年,2756.77353,11296.01662,1012.53359,0.0,3046.04419,5866.72171,836.90966,1326.7591,380.77271,1763.22285,82038.76,582.23112,522.43692,192.43996,514.00537,1817.51871,151.45982,313.17827,845.04625,481.61478,1.36796,498.51221,614.82756,3685.87873,5621.83292,1018.81824,1556.18405,491.32255,2565.15414,1426.35825,13549.3031,3981.60052,2407.49666,2057.0271,2559.55955,61.62982,1393.01133,1385.70571,3380.70354,76.77704
2011年,3031.99999,12257.00482,1163.9147,0.0,3411.92944,6720.07652,1075.49308,1572.603,399.65638,1892.78304,92130.82,604.96059,637.7776,291.77338,512.37647,2065.60502,54.48124,309.90618,981.35543,496.88953,1.43624,1066.07118,772.6647,3708.4403,6401.20115,997.58371,1677.62987,556.78618,2682.47866,1534.68949,15785.16286,4490.55993,2684.5716,2157.29083,2965.61862,60.67619,1660.17222,1540.65037,3818.18919,88.36199
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
