,专用设备制造业外商及港澳台商投资工业企业外商资本金,交通运输设备制造业外商及港澳台商投资工业企业外商资本金,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业外商资本金,其他采矿业外商及港澳台商投资工业企业外商资本金,农副食品加工业外商及港澳台商投资工业企业外商资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业外商资本金,化学纤维制造业外商及港澳台商投资工业企业外商资本金,医药制造业外商及港澳台商投资工业企业外商资本金,印刷业和记录媒介的复制外商及港澳台商投资工业企业外商资本金,塑料制品业外商及港澳台商投资工业企业外商资本金,外商及港澳台商投资工业企业外商资本金,家具制造业外商及港澳台商投资工业企业外商资本金,工艺品及其他制造业外商及港澳台商投资工业企业外商资本金,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业外商资本金,文教体育用品制造业外商及港澳台商投资工业企业外商资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业外商资本金,有色金属矿采选业外商及港澳台商投资工业企业外商资本金,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业外商资本金,橡胶制品业外商及港澳台商投资工业企业外商资本金,水的生产和供应业外商及港澳台商投资工业企业外商资本金,烟草制品业外商及港澳台商投资工业企业外商资本金,煤炭开采和洗选业外商及港澳台商投资工业企业外商资本金,燃气生产和供应业外商及港澳台商投资工业企业外商资本金,电力、热力的生产和供应业外商及港澳台商投资工业企业外商资本金,电气机械及器材制造业外商及港澳台商投资工业企业外商资本金,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业外商资本金,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业外商资本金,石油和天然气开采业外商及港澳台商投资工业企业外商资本金,纺织业外商及港澳台商投资工业企业外商资本金,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业外商资本金,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业外商资本金,通用设备制造业外商及港澳台商投资工业企业外商资本金,造纸及纸制品业外商及港澳台商投资工业企业外商资本金,金属制品业外商及港澳台商投资工业企业外商资本金,非金属矿物制品业外商及港澳台商投资工业企业外商资本金,非金属矿采选业外商及港澳台商投资工业企业外商资本金,食品制造业外商及港澳台商投资工业企业外商资本金,饮料制造业外商及港澳台商投资工业企业外商资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业外商资本金,黑色金属矿采选业外商及港澳台商投资工业企业外商资本金
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,117.48248,462.22753,118.06462,0.0,164.49811,453.45766,54.93426,153.59361,37.36885,193.70888,5796.50725,35.20613,51.40359,1.94242,49.54045,63.76394,0.8043,44.10591,118.83318,14.6456,1.29243,0.5957,13.48583,225.32818,426.04618,68.62853,42.11292,0.93621,221.90634,124.10707,1093.34295,314.91801,205.57809,177.50907,261.08422,3.53804,209.3516,189.09836,81.88078,0.18522
2004年,230.97855,761.81153,164.47565,0.01328,234.23659,620.73646,86.93653,189.65766,48.08668,289.93718,8468.73023,68.24287,73.36814,4.43222,67.75339,84.87201,3.46257,58.81535,174.73467,24.78128,1.29244,5.75104,26.32325,283.55065,578.73392,121.4943,46.1935,4.0354,327.44051,146.37896,1684.68881,462.28808,314.79808,234.75137,369.12797,7.38401,261.16696,242.23459,163.45131,0.31247
2005年,249.73115,803.55418,194.21486,0.47828,253.4473,747.86325,98.29281,230.69788,51.8662,300.62243,9623.38072,79.06997,76.64198,4.60366,84.95242,110.08446,2.7849,61.5802,186.3524,26.62193,0.00924,3.89333,28.20302,333.68561,645.16932,144.96238,51.21435,7.92911,349.46693,190.25178,1996.90903,527.241,365.01738,273.22942,382.46445,6.75328,297.12982,252.66935,203.36322,0.35844
2006年,340.53,1118.98,220.01,0.01,295.31,1035.26,103.06,241.69,51.34,343.92,11450.52,89.54,81.97,6.5,98.07,149.43,6.48,60.81,193.99,99.71,0.44,21.59,45.76,323.68,720.91,164.32,53.24,4.15,387.64,194.68,2374.16,628.39,365.02,322.6,445.29,7.52,308.66,286.39,259.16,0.3
2007年,438.92518,1400.4212,238.86872,0.01328,324.50746,1286.24801,125.08928,307.14634,59.4475,398.89995,14136.10335,114.81974,100.33711,9.2095,127.98323,179.12387,10.80543,68.37351,250.21612,108.48653,0.0,22.84112,84.69222,382.92691,957.83348,190.90722,100.84747,4.84512,429.52001,247.78524,2889.59846,776.44895,468.70903,396.23526,553.82647,10.10699,384.8098,327.26887,355.97189,2.00688
2008年,617.20825,1664.07711,297.41188,0.01328,382.69143,1531.08016,132.46063,356.68343,71.58994,524.25451,16864.37411,136.2295,117.69171,17.25456,147.06348,251.51345,16.59979,93.08388,304.13883,112.5165,0.26219,25.9202,83.07449,442.34053,1180.09239,210.99736,156.52448,0.33086,510.93171,301.68909,3305.01203,1019.65685,530.43416,496.86111,630.51902,14.26361,411.62684,393.34679,373.02129,3.90679
2009年,828.30931,1773.88052,313.75215,0.0,405.99599,1797.6955,121.68161,382.82764,89.63158,515.50914,17682.75992,145.08535,120.15307,19.21092,151.1365,266.26502,18.17257,93.45981,334.17355,115.34625,0.0,22.91692,94.67099,422.22845,1220.05791,199.38562,161.9265,2.38288,530.14639,269.7577,3302.66605,1089.44214,547.0704,479.17228,630.41066,13.88189,410.5499,413.34442,377.86647,2.59587
2010年,794.75457,1845.29507,302.74434,0.0,434.66446,1987.55939,127.97895,457.0548,90.49395,529.74049,18938.84636,164.24063,117.72988,19.5765,151.00063,307.2323,9.42546,96.79447,385.16989,113.57941,0.0,24.15918,87.68805,400.02472,1268.7313,205.0397,153.40615,3.84808,583.50277,268.19786,3690.77674,1153.21144,708.5652,522.52893,645.5112,14.11792,464.4989,443.00012,364.32674,2.67617
2011年,762.23205,1975.6522,321.42251,0.0,478.06154,2117.07972,122.55945,423.26508,65.48997,508.85662,19106.39286,138.99783,107.37926,21.90033,138.97935,286.16282,7.48023,71.64545,381.05273,169.57872,0.0,28.3365,115.58716,329.03859,1329.2032,203.21724,157.40492,2.46281,501.05453,237.74416,3632.72855,1252.51681,771.11443,518.29019,641.04351,10.99078,459.18126,437.44907,376.81049,4.4228
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
