,专用设备制造业外商及港澳台商投资工业企业出口交货值,交通运输设备制造业外商及港澳台商投资工业企业出口交货值,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业出口交货值,其他采矿业外商及港澳台商投资工业企业出口交货值,农副食品加工业外商及港澳台商投资工业企业出口交货值,化学原料及化学制品制造业外商及港澳台商投资工业企业出口交货值,化学纤维制造业外商及港澳台商投资工业企业出口交货值,医药制造业外商及港澳台商投资工业企业出口交货值,印刷业和记录媒介的复制外商及港澳台商投资工业企业出口交货值,塑料制品业外商及港澳台商投资工业企业出口交货值,外商及港澳台商投资工业企业出口交货值,家具制造业外商及港澳台商投资工业企业出口交货值,工艺品及其他制造业外商及港澳台商投资工业企业出口交货值,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业出口交货值,文教体育用品制造业外商及港澳台商投资工业企业出口交货值,有色金属冶炼及压延加工业外商及港澳台商投资工业企业出口交货值,有色金属矿采选业外商及港澳台商投资工业企业出口交货值,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业出口交货值,橡胶制品业外商及港澳台商投资工业企业出口交货值,水的生产和供应业外商及港澳台商投资工业企业出口交货值,烟草制品业外商及港澳台商投资工业企业出口交货值,煤炭开采和洗选业外商及港澳台商投资工业企业出口交货值,燃气生产和供应业外商及港澳台商投资工业企业出口交货值,电力、热力的生产和供应业外商及港澳台商投资工业企业出口交货值,电气机械及器材制造业外商及港澳台商投资工业企业出口交货值,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业出口交货值,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业出口交货值,石油和天然气开采业外商及港澳台商投资工业企业出口交货值,纺织业外商及港澳台商投资工业企业出口交货值,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业出口交货值,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业出口交货值,通用设备制造业外商及港澳台商投资工业企业出口交货值,造纸及纸制品业外商及港澳台商投资工业企业出口交货值,金属制品业外商及港澳台商投资工业企业出口交货值,非金属矿物制品业外商及港澳台商投资工业企业出口交货值,非金属矿采选业外商及港澳台商投资工业企业出口交货值,食品制造业外商及港澳台商投资工业企业出口交货值,饮料制造业外商及港澳台商投资工业企业出口交货值,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业出口交货值,黑色金属矿采选业外商及港澳台商投资工业企业出口交货值
2003年,171.32591,410.6073,759.05774,,368.66168,355.20732,34.86779,77.8034,90.39288,621.67315,17958.89248,254.50818,379.34521,2.55889,459.63158,97.5972,0.77415,114.70003,160.68934,,0.76723,0.11461,0.103,54.68674,1304.65879,822.56618,88.38973,73.03889,922.79768,1041.30006,7594.45559,409.99724,143.78479,674.18918,240.89969,8.34798,115.20715,34.69119,69.49501,
2004年,398.41429,676.01359,1081.07147,0.21275,532.59247,596.20825,44.10493,98.60667,98.07949,887.35132,28983.56509,516.15504,487.91729,0.35463,594.99145,201.0125,2.15508,172.09001,296.65445,0.08105,0.14076,12.40496,0.32635,50.28806,2207.39079,1116.82764,108.21823,83.94315,1462.31437,1296.60497,13095.94431,789.23045,206.75788,1087.43299,401.80218,10.70408,159.78739,38.0367,171.28908,0.05402
2005年,468.50497,873.67704,1341.24082,0.19916,559.81119,745.67919,76.6323,118.54057,126.80692,990.3352,33304.33113,561.09783,541.61402,2.00049,666.63921,224.60377,1.09925,185.1569,327.12391,0.23156,0.00918,0.96992,0.82454,56.31452,2543.06213,1234.2162,143.79746,143.25806,1530.24752,1400.4666,15147.50158,962.96463,242.1117,1179.44196,461.54977,12.6102,187.05208,41.50851,205.43027,
2006年,663.07,1292.17,1584.32,0.1,682.32,956.14,102.35,167.31,140.63,1150.92,42009.09,638.03,662.78,1.07,784.92,358.76,1.99,208.24,391.9,25.87,0.03,0.6,1.44,2.43,3126.95,1403.3,176.68,137.7,1734.07,1652.45,19691.91,1271.84,355.0,1446.28,558.15,10.56,227.13,69.27,327.74,2.69
2007年,860.94322,1801.30764,1759.13015,0.05524,769.96328,1248.41519,155.19542,211.83918,180.07176,1373.18476,51787.47962,729.6111,787.13327,1.33949,948.06957,407.37512,2.69639,233.45769,470.76273,24.34449,0.0264,0.4889,16.48592,59.23545,4049.97788,1507.49979,213.04121,49.5752,1896.23878,1992.62036,24479.16098,1693.55059,426.80796,1903.86745,692.10472,12.74526,279.51057,85.91714,458.28892,5.44045
2008年,1094.36161,2574.08207,1818.61112,0.06505,871.4004,1379.10976,122.60695,276.02465,209.07983,1513.93502,57217.32194,738.93726,874.21099,2.49595,999.57673,510.79901,0.85471,249.72921,625.64752,22.21464,0.07175,5.33485,10.99162,44.61424,4684.02057,1466.34841,222.84405,91.08881,1915.02601,2031.98132,26815.53521,1876.2612,447.92407,1997.85909,746.47779,9.62482,320.96527,103.32798,542.20366,1.07874
2009年,886.31823,2410.09196,1411.1853,,866.94167,1048.97195,81.96562,336.82798,204.59434,1249.04279,50438.84525,625.87211,735.1737,1.6592,885.84665,409.9249,0.60733,242.33538,572.58061,26.08203,0.02566,0.60724,22.13897,81.43812,4065.54094,1326.98133,181.72793,25.28605,1800.4438,1878.94211,24763.50768,1397.21557,363.8118,1240.93357,641.23703,6.48719,288.46608,93.27335,264.75908,
2010年,1161.52843,2941.68239,1734.68352,,922.03116,1523.48095,121.58837,421.50968,223.88276,1489.45473,62263.51975,738.88917,859.36146,1.71535,1000.96369,497.74975,1.0024,244.79242,575.55309,27.47626,0.01968,6.6722,10.59952,54.86978,5173.95539,1551.17957,192.21599,40.61254,2171.33656,1994.50341,31018.0098,1931.97165,438.89928,1654.57922,734.39179,7.56492,352.05213,88.71597,354.02477,
2011年,1381.08236,3227.66398,1847.25632,,996.31875,1765.99337,166.25253,425.84606,219.69847,1452.73601,68385.57575,748.29167,970.88324,1.3831,1017.86928,676.5973,1.0197,228.70873,625.2782,28.1603,0.01297,,19.46307,48.61432,6085.31723,1603.29868,168.55661,27.42723,2323.4668,1887.70536,34049.16323,2276.69059,448.14166,1800.45676,815.14419,5.19329,390.18454,97.31683,558.38302,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
