,专用设备制造业外商及港澳台商投资工业企业存货,交通运输设备制造业外商及港澳台商投资工业企业存货,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业存货,其他采矿业外商及港澳台商投资工业企业存货,农副食品加工业外商及港澳台商投资工业企业存货,化学原料及化学制品制造业外商及港澳台商投资工业企业存货,化学纤维制造业外商及港澳台商投资工业企业存货,医药制造业外商及港澳台商投资工业企业存货,印刷业和记录媒介的复制外商及港澳台商投资工业企业存货,塑料制品业外商及港澳台商投资工业企业存货,外商及港澳台商投资工业企业存货,家具制造业外商及港澳台商投资工业企业存货,工艺品及其他制造业外商及港澳台商投资工业企业存货,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业存货,文教体育用品制造业外商及港澳台商投资工业企业存货,有色金属冶炼及压延加工业外商及港澳台商投资工业企业存货,有色金属矿采选业外商及港澳台商投资工业企业存货,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业存货,橡胶制品业外商及港澳台商投资工业企业存货,水的生产和供应业外商及港澳台商投资工业企业存货,烟草制品业外商及港澳台商投资工业企业存货,煤炭开采和洗选业外商及港澳台商投资工业企业存货,燃气生产和供应业外商及港澳台商投资工业企业存货,电力、热力的生产和供应业外商及港澳台商投资工业企业存货,电气机械及器材制造业外商及港澳台商投资工业企业存货,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业存货,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业存货,石油和天然气开采业外商及港澳台商投资工业企业存货,纺织业外商及港澳台商投资工业企业存货,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业存货,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业存货,通用设备制造业外商及港澳台商投资工业企业存货,造纸及纸制品业外商及港澳台商投资工业企业存货,金属制品业外商及港澳台商投资工业企业存货,非金属矿物制品业外商及港澳台商投资工业企业存货,非金属矿采选业外商及港澳台商投资工业企业存货,食品制造业外商及港澳台商投资工业企业存货,饮料制造业外商及港澳台商投资工业企业存货,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业存货,黑色金属矿采选业外商及港澳台商投资工业企业存货
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,184.65157,530.1113,138.45624,0.0,254.85117,289.79464,37.06035,105.23492,59.87986,207.43768,6014.16195,74.37094,83.29537,1.89943,97.42053,82.56404,0.42814,58.07898,90.91561,0.22637,4.10162,2.67529,7.57273,46.51993,416.35316,171.59095,76.77443,4.14731,359.55409,198.43807,1244.53985,288.89008,124.86312,227.3567,182.94869,5.51914,104.0504,102.40008,149.09408,0.09509
2004年,298.80804,864.14511,197.91703,0.0004,313.12461,479.0936,87.38888,124.75311,72.20826,313.95138,9002.06863,143.40787,110.70134,11.62985,135.71421,168.2847,3.09942,76.15556,131.41805,0.90861,1.55392,5.70172,12.12651,75.64092,652.91537,241.68311,108.00423,4.81669,500.71391,255.09432,1694.61824,524.17342,191.38886,352.09525,261.88614,5.01256,141.47905,132.19398,306.09255,2.16785
2005年,336.838,864.19353,217.93475,0.19136,359.41652,515.10299,94.53737,168.60766,75.67779,338.76543,10093.36532,148.80227,122.29703,10.09709,151.79179,180.46964,6.82138,79.51119,134.71726,0.62389,3.44466,7.81463,10.59095,127.30363,723.69917,264.56159,140.53789,5.83559,534.24359,284.96827,1950.98811,633.99742,232.5432,368.49672,281.35091,5.15613,154.03068,152.54047,400.98109,3.88368
2006年,423.41,1081.96,254.09,0.0,435.65,683.12,111.98,188.32,85.26,387.29,12167.94,180.19,154.19,20.43,185.12,263.53,3.14,95.31,156.41,1.52,2.57,7.06,16.79,108.65,960.39,320.95,178.51,9.91,589.23,332.68,2314.56,689.19,250.47,466.63,319.82,6.35,184.2,210.41,485.41,3.22
2007年,571.92653,1354.4942,290.15787,0.00181,645.60091,881.5479,147.75753,245.16188,102.41766,460.56408,15126.22224,209.66988,187.02951,25.31751,218.19929,292.39305,5.82916,122.18726,179.40879,1.58395,2.01921,10.96512,24.90168,111.73452,1187.78442,360.34648,324.0863,16.1696,706.90932,413.80565,2652.44231,979.96918,302.20532,553.46987,386.20073,8.06014,237.88533,281.42804,613.06859,11.52166
2008年,804.04613,1718.52767,310.94376,0.00763,602.95348,976.22932,134.1128,313.80636,106.35471,483.43022,16801.21897,221.18278,198.81976,55.08549,242.54449,344.40202,23.34927,134.37368,238.11449,3.16307,0.28193,31.52302,23.12399,155.11619,1229.25131,371.70549,275.09807,18.15111,712.31297,484.35609,2539.46561,1196.49534,355.51341,654.75281,488.9809,9.82886,295.65668,320.81934,719.23463,8.10409
2009年,766.85197,1660.50545,300.02309,0.0,722.62466,920.91117,135.06448,371.61905,97.04883,461.43964,16469.73304,195.50769,203.63185,52.14759,211.64506,343.04586,22.42339,127.83422,220.8803,3.55113,0.21197,35.44721,51.56976,145.13161,1244.63134,340.92029,350.92827,19.70195,728.49459,485.37156,2516.53043,1059.03165,318.8333,625.63321,446.13035,9.07068,298.5114,303.54354,667.3072,5.9773
2010年,1010.70554,2131.62399,370.4604,0.0,918.65973,1215.21474,185.83001,437.47138,111.22081,536.64344,20623.81629,224.21198,240.78399,60.149,230.93946,425.71319,21.30203,132.74495,250.8122,6.03372,0.3035,94.80522,33.0297,164.70498,1616.25133,386.25299,439.15103,24.84319,872.41306,551.005,3360.05098,1377.92429,398.77062,696.33788,506.85522,8.91618,332.3396,342.41576,895.04706,11.87814
2011年,1196.26213,2496.21602,466.05318,0.0,974.0061,1383.50157,223.98309,519.67834,115.73695,559.88669,23075.24308,228.42004,300.84796,93.0423,243.86201,544.60273,9.62234,128.38991,284.22489,6.4225,0.27573,127.1571,47.23784,186.96196,1663.06543,398.26277,501.51256,26.37263,912.20665,573.51201,3639.76353,1682.78807,434.41691,738.28014,592.05854,7.0191,396.496,402.52209,956.84205,13.73322
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
