,专用设备制造业外商及港澳台商投资工业企业主营业务成本,交通运输设备制造业外商及港澳台商投资工业企业主营业务成本,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业主营业务成本,其他采矿业外商及港澳台商投资工业企业主营业务成本,农副食品加工业外商及港澳台商投资工业企业主营业务成本,化学原料及化学制品制造业外商及港澳台商投资工业企业主营业务成本,化学纤维制造业外商及港澳台商投资工业企业主营业务成本,医药制造业外商及港澳台商投资工业企业主营业务成本,印刷业和记录媒介的复制外商及港澳台商投资工业企业主营业务成本,塑料制品业外商及港澳台商投资工业企业主营业务成本,外商及港澳台商投资工业企业主营业务成本,家具制造业外商及港澳台商投资工业企业主营业务成本,工艺品及其他制造业外商及港澳台商投资工业企业主营业务成本,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业主营业务成本,文教体育用品制造业外商及港澳台商投资工业企业主营业务成本,有色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务成本,有色金属矿采选业外商及港澳台商投资工业企业主营业务成本,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务成本,橡胶制品业外商及港澳台商投资工业企业主营业务成本,水的生产和供应业外商及港澳台商投资工业企业主营业务成本,烟草制品业外商及港澳台商投资工业企业主营业务成本,煤炭开采和洗选业外商及港澳台商投资工业企业主营业务成本,燃气生产和供应业外商及港澳台商投资工业企业主营业务成本,电力、热力的生产和供应业外商及港澳台商投资工业企业主营业务成本,电气机械及器材制造业外商及港澳台商投资工业企业主营业务成本,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业主营业务成本,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业主营业务成本,石油和天然气开采业外商及港澳台商投资工业企业主营业务成本,纺织业外商及港澳台商投资工业企业主营业务成本,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业主营业务成本,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业主营业务成本,通用设备制造业外商及港澳台商投资工业企业主营业务成本,造纸及纸制品业外商及港澳台商投资工业企业主营业务成本,金属制品业外商及港澳台商投资工业企业主营业务成本,非金属矿物制品业外商及港澳台商投资工业企业主营业务成本,非金属矿采选业外商及港澳台商投资工业企业主营业务成本,食品制造业外商及港澳台商投资工业企业主营业务成本,饮料制造业外商及港澳台商投资工业企业主营业务成本,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务成本,黑色金属矿采选业外商及港澳台商投资工业企业主营业务成本
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,607.73423,3437.39758,948.13777,0.0,1451.38405,1547.28396,246.95748,326.98614,273.26798,1105.23461,36604.09,297.70687,449.02774,8.49428,479.61271,408.56493,3.9498,220.19465,382.04326,13.03562,6.99743,5.23044,101.11327,814.2595,2231.93219,982.67387,557.20095,35.26637,1562.75378,1323.32879,11289.98301,1099.47738,654.7294,1154.50389,740.03267,19.76469,617.09864,425.4195,773.31935,1.99249
2004年,1025.07186,4673.16106,1324.32145,0.1626,2215.90492,2457.89659,502.01225,413.86838,310.6057,1600.49801,55649.54,585.44399,566.38236,72.37141,642.52887,892.48024,15.08836,314.04327,608.58407,27.5904,4.40411,48.47819,142.98991,1235.75475,3589.28662,1290.50388,775.2095,57.97191,2452.77523,1598.75815,17164.88262,1925.92289,937.66935,1634.26235,1149.19051,32.29591,805.22961,629.5662,1917.10212,9.27121
2005年,1243.65851,5668.12119,1605.11781,4.02447,2697.01503,3231.16976,651.59656,576.66513,368.5554,1851.11934,67862.98,665.37314,685.73917,92.75741,775.42487,1066.30457,41.41067,357.58098,698.74399,39.35983,5.34996,55.13122,192.82685,1606.43214,4352.07929,1562.23621,1139.74908,54.9141,2773.87336,1908.64518,20604.29888,2373.94373,1227.80498,2053.44853,1372.47964,40.6436,982.57778,741.92289,2477.65906,17.22816
2006年,1673.62,7792.92,1998.93,0.08,3128.84,4330.44,853.85,728.26,420.21,2210.63,84903.31,796.31,864.34,114.39,910.06,1839.76,13.77,426.09,818.78,45.74,6.87,53.78,253.36,1605.44,5698.12,1872.6,1425.43,94.82,3248.02,2282.85,24853.6,3020.66,1507.1,2541.4,1746.36,46.67,1348.39,1060.67,3245.83,24.32
2007年,2279.86033,10015.04324,2308.8728,0.05897,4305.60608,5858.98324,1042.64971,912.84851,503.27664,2681.86332,106981.42,945.02896,1068.64684,135.64081,1095.96797,2478.60836,27.58092,545.81302,1017.5343,62.34252,6.85357,109.08509,413.12765,1901.33097,7370.55874,2166.27176,2349.52503,91.95501,3789.80499,2800.47542,29747.63039,4081.79337,1824.6679,3356.95585,2294.48572,68.74537,1707.67971,1322.48778,4257.14839,34.61268
2008年,3146.2889,12331.37712,2422.50171,0.07491,5802.04122,7135.17717,1098.71241,1234.16486,587.08866,3079.62857,125931.62,1042.39307,1275.77888,241.40011,1202.56995,2849.00549,166.65606,601.68519,1398.27777,86.4845,2.50506,263.87006,525.52127,2191.72347,8772.16201,2355.54231,2857.75533,238.26007,4145.67265,3253.20359,32202.27049,5040.51214,2118.34663,3977.65226,2870.88254,92.90817,2061.22533,1588.67529,5610.59309,61.03325
2009年,3239.66842,14932.05216,2079.05075,0.0,6223.98198,7297.28306,1012.18489,1611.8427,573.46575,2972.42828,127247.8,978.58354,1271.21395,217.46168,1179.99673,2692.77668,212.89516,624.35136,1408.28944,102.22351,2.12398,303.15266,608.6932,2100.1454,8665.37883,2390.01449,2213.26286,220.34877,4272.78063,3410.00331,31522.16419,4999.0635,2048.98832,3360.11242,2975.55111,93.24137,2252.96476,1736.08193,5379.54107,64.43474
2010年,4364.64177,19787.96263,2623.13545,0.0,7177.74277,9881.67181,1355.10987,1884.1692,637.22644,3650.13394,159273.1,1195.99567,1658.33467,394.59923,1396.17148,3558.69866,221.12031,732.61972,1615.36111,127.54971,2.26072,590.96718,727.45317,2313.09274,11098.31073,2910.84754,3250.42355,379.42175,5155.77387,3706.72145,38789.79668,6454.5665,2608.51034,4283.9855,3617.12534,100.04259,2588.37503,2086.71942,6252.19007,94.27605
2011年,4884.33622,22266.34898,2946.78033,0.0,8370.92544,12756.37472,1717.2495,2276.97677,691.463,3837.43705,183931.68,1245.96027,1964.97849,461.57858,1413.23254,4220.30296,71.77725,787.96105,1862.57316,140.55596,2.6356,837.6825,962.78499,2654.39186,12898.51514,3180.88571,4038.11427,429.50282,5789.20057,3840.12326,44199.02101,7465.38622,2833.77977,4845.23648,4189.07322,92.90052,3410.23776,2613.28855,7571.22349,160.88689
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
