,专用设备制造业外商及港澳台商投资工业企业本年应交增值税,交通运输设备制造业外商及港澳台商投资工业企业本年应交增值税,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业本年应交增值税,其他采矿业外商及港澳台商投资工业企业本年应交增值税,农副食品加工业外商及港澳台商投资工业企业本年应交增值税,化学原料及化学制品制造业外商及港澳台商投资工业企业本年应交增值税,化学纤维制造业外商及港澳台商投资工业企业本年应交增值税,医药制造业外商及港澳台商投资工业企业本年应交增值税,印刷业和记录媒介的复制外商及港澳台商投资工业企业本年应交增值税,塑料制品业外商及港澳台商投资工业企业本年应交增值税,外商及港澳台商投资工业企业本年应交增值税,家具制造业外商及港澳台商投资工业企业本年应交增值税,工艺品及其他制造业外商及港澳台商投资工业企业本年应交增值税,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业本年应交增值税,文教体育用品制造业外商及港澳台商投资工业企业本年应交增值税,有色金属冶炼及压延加工业外商及港澳台商投资工业企业本年应交增值税,有色金属矿采选业外商及港澳台商投资工业企业本年应交增值税,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业本年应交增值税,橡胶制品业外商及港澳台商投资工业企业本年应交增值税,水的生产和供应业外商及港澳台商投资工业企业本年应交增值税,烟草制品业外商及港澳台商投资工业企业本年应交增值税,煤炭开采和洗选业外商及港澳台商投资工业企业本年应交增值税,燃气生产和供应业外商及港澳台商投资工业企业本年应交增值税,电力、热力的生产和供应业外商及港澳台商投资工业企业本年应交增值税,电气机械及器材制造业外商及港澳台商投资工业企业本年应交增值税,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业本年应交增值税,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业本年应交增值税,石油和天然气开采业外商及港澳台商投资工业企业本年应交增值税,纺织业外商及港澳台商投资工业企业本年应交增值税,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业本年应交增值税,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业本年应交增值税,通用设备制造业外商及港澳台商投资工业企业本年应交增值税,造纸及纸制品业外商及港澳台商投资工业企业本年应交增值税,金属制品业外商及港澳台商投资工业企业本年应交增值税,非金属矿物制品业外商及港澳台商投资工业企业本年应交增值税,非金属矿采选业外商及港澳台商投资工业企业本年应交增值税,食品制造业外商及港澳台商投资工业企业本年应交增值税,饮料制造业外商及港澳台商投资工业企业本年应交增值税,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业本年应交增值税,黑色金属矿采选业外商及港澳台商投资工业企业本年应交增值税
2003年,22.61463,185.31567,16.62919,,23.22809,95.73155,8.88238,43.80643,14.88941,29.51226,1189.01,6.02144,8.68751,0.11514,5.31489,7.61393,0.20353,6.28606,12.54226,1.09138,1.54709,0.46314,0.56787,118.07317,56.91193,18.94041,24.15364,11.70917,32.44699,32.85154,139.01772,41.65049,35.87726,24.13107,39.53848,0.91925,44.56463,46.52484,30.51089,0.12065
2004年,39.13266,177.98089,24.8496,0.00061,28.12858,132.13322,12.34792,55.34528,15.16742,34.3956,1508.66,9.004,12.20965,1.09094,7.80577,19.25688,1.47309,8.32469,16.10463,1.79031,1.10644,3.51165,1.66036,146.18021,73.2038,23.95169,38.28822,6.50889,50.55278,38.7312,170.28427,63.17763,38.49641,28.76928,53.99566,1.62206,58.27136,57.85242,55.46972,0.48534
2005年,38.87454,237.98808,25.66143,0.29214,45.16441,155.59268,12.55553,67.76891,17.97404,40.17017,1811.52,11.42661,18.31123,0.79268,12.0291,21.28646,1.5849,10.85196,16.93128,2.43599,1.06554,4.48222,2.44516,157.98165,92.8044,37.20289,42.39689,23.65932,63.25734,51.10366,182.01713,73.65412,43.93674,38.70505,59.21139,2.58579,67.78074,64.85781,64.02635,0.65177
2006年,53.95,309.04,43.64,0.0,58.15,194.44,15.47,76.1,20.93,56.28,2361.95,17.88,24.11,1.74,18.23,35.05,2.48,12.93,18.55,2.12,1.01,7.35,10.07,173.9,137.65,49.57,52.01,27.43,76.84,67.77,233.38,91.12,61.4,59.44,79.29,3.42,82.7,86.88,98.19,1.4
2007年,73.5597,416.60523,40.3454,0.00242,73.52724,292.82632,26.546,97.84062,24.59867,66.2161,3016.72,20.67031,31.73223,2.23684,18.10331,63.61777,4.29193,20.83878,32.96822,3.85611,1.10582,11.64505,17.25312,200.20904,166.46826,58.46684,78.3829,27.94603,100.02913,87.0105,225.65161,122.78532,73.70203,77.50758,117.96754,7.07159,103.42455,99.92822,126.28278,3.4983
2008年,104.00237,497.05685,41.42884,0.00093,120.1034,369.30068,22.65102,129.91464,33.0261,86.97613,3916.89,29.11942,44.77469,4.79946,26.82977,82.6753,8.7997,24.33567,47.22596,5.24724,0.55621,22.1409,33.22268,156.43785,249.43638,79.55672,60.87797,61.9914,129.34074,124.0852,353.45835,169.72521,79.63431,118.83131,147.53155,6.50615,137.74366,124.35848,176.03931,7.14264
2009年,115.53522,713.63021,45.57313,,118.62054,361.77622,22.24844,151.68037,27.23645,79.91969,4034.05,26.6893,37.09562,5.17986,25.34923,69.51661,7.41264,23.22489,54.14589,5.4644,0.44912,25.60024,21.335,158.83925,274.37098,77.44281,97.09854,26.30795,121.06929,115.54253,293.3269,202.46085,83.09325,95.03236,145.95074,5.11705,146.27889,127.85194,122.117,4.46932
2010年,142.48375,983.86694,58.16474,,164.07204,431.63288,32.65773,180.84588,28.33549,95.12534,5121.08,32.83131,40.99408,11.7937,30.75379,96.32803,12.71451,23.35824,47.96423,6.51767,0.5121,83.66886,29.42213,131.60204,294.00916,94.0365,161.22703,50.09983,139.53088,129.42739,520.71232,224.2805,89.7767,119.55945,179.73882,6.14629,165.00236,136.33837,138.99705,6.54866
2011年,143.45659,993.80482,64.23234,,197.67432,526.88387,36.24393,217.73761,32.3999,99.26873,5674.87,36.222,49.58304,8.46425,33.08532,118.21175,8.6689,22.73445,45.92463,7.1804,0.67599,130.66949,29.64149,120.83983,346.26051,107.53873,170.97451,52.76209,155.41244,135.06554,623.43017,243.80682,90.17609,126.00615,189.49241,7.25542,199.70591,144.42168,149.88756,9.07405
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
