,专用设备制造业外商及港澳台商投资工业企业所有者权益合计,交通运输设备制造业外商及港澳台商投资工业企业所有者权益合计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业所有者权益合计,其他采矿业外商及港澳台商投资工业企业所有者权益合计,农副食品加工业外商及港澳台商投资工业企业所有者权益合计,化学原料及化学制品制造业外商及港澳台商投资工业企业所有者权益合计,化学纤维制造业外商及港澳台商投资工业企业所有者权益合计,医药制造业外商及港澳台商投资工业企业所有者权益合计,印刷业和记录媒介的复制外商及港澳台商投资工业企业所有者权益合计,塑料制品业外商及港澳台商投资工业企业所有者权益合计,外商及港澳台商投资工业企业所有者权益合计,家具制造业外商及港澳台商投资工业企业所有者权益合计,工艺品及其他制造业外商及港澳台商投资工业企业所有者权益合计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业所有者权益合计,文教体育用品制造业外商及港澳台商投资工业企业所有者权益合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业所有者权益合计,有色金属矿采选业外商及港澳台商投资工业企业所有者权益合计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业所有者权益合计,橡胶制品业外商及港澳台商投资工业企业所有者权益合计,水的生产和供应业外商及港澳台商投资工业企业所有者权益合计,烟草制品业外商及港澳台商投资工业企业所有者权益合计,煤炭开采和洗选业外商及港澳台商投资工业企业所有者权益合计,燃气生产和供应业外商及港澳台商投资工业企业所有者权益合计,电力、热力的生产和供应业外商及港澳台商投资工业企业所有者权益合计,电气机械及器材制造业外商及港澳台商投资工业企业所有者权益合计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业所有者权益合计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业所有者权益合计,石油和天然气开采业外商及港澳台商投资工业企业所有者权益合计,纺织业外商及港澳台商投资工业企业所有者权益合计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业所有者权益合计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业所有者权益合计,通用设备制造业外商及港澳台商投资工业企业所有者权益合计,造纸及纸制品业外商及港澳台商投资工业企业所有者权益合计,金属制品业外商及港澳台商投资工业企业所有者权益合计,非金属矿物制品业外商及港澳台商投资工业企业所有者权益合计,非金属矿采选业外商及港澳台商投资工业企业所有者权益合计,食品制造业外商及港澳台商投资工业企业所有者权益合计,饮料制造业外商及港澳台商投资工业企业所有者权益合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业所有者权益合计,黑色金属矿采选业外商及港澳台商投资工业企业所有者权益合计
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,362.97952,1777.5918,336.81752,0.0,404.36029,1019.35398,177.60174,370.39301,239.7556,706.84557,17473.3,138.98409,193.92422,2.00214,216.12103,177.61049,3.00146,119.38253,246.48402,53.57163,10.31094,4.34342,28.44906,1463.84243,1074.95518,304.35024,260.34446,92.96566,867.78456,480.87325,2708.3862,709.6329,474.97975,532.49434,709.73637,10.69354,396.57935,427.39941,366.43807,1.96094
2004年,633.3698,2367.75628,433.56254,0.06733,559.11719,1431.48401,333.18298,475.85161,271.71624,921.94472,24298.79,223.36949,256.50452,11.25873,276.80084,365.69601,20.67358,150.7126,364.17237,153.14745,9.9375,29.47383,71.10345,1771.39972,1403.50504,416.10337,346.82471,116.2296,1261.22382,578.52783,3934.20853,1103.21562,681.0016,702.26385,977.71069,18.60901,515.81268,478.19393,629.48576,3.57463
2005年,716.94085,2554.29183,553.07558,3.06075,658.44587,1825.44135,366.92702,591.15769,308.58058,1035.35761,27770.72,248.98612,293.35876,11.42196,307.93581,406.12656,37.15309,174.09566,400.84213,145.78922,9.13276,36.99592,83.39302,1926.21951,1618.56554,491.2673,356.76007,153.98903,1356.93483,681.35498,4563.12587,1250.86852,799.3252,852.0079,1047.3152,24.46325,573.65702,503.67094,797.13747,5.5516
2006年,929.17,3245.64,633.98,0.05,816.56,2431.86,406.52,684.81,344.19,1133.19,33663.65,304.07,371.13,19.11,354.8,548.61,24.44,194.34,424.21,190.93,10.71,75.02,148.32,1948.1,1965.18,578.86,424.05,174.42,1571.68,952.98,5507.49,1579.92,950.74,1038.39,1268.31,32.25,686.54,684.78,996.11,12.21
2007年,1431.00316,3928.42295,730.00656,0.0214,1048.19622,2948.79805,488.481,885.55913,395.55415,1272.14192,41198.76,353.39432,429.07112,26.15013,409.26628,736.05726,42.49722,234.13688,550.88864,294.33373,10.16034,129.67437,300.08693,2210.01886,2458.72916,670.1243,646.22662,215.37181,1794.40316,1018.70591,6443.57656,2096.55491,1158.84952,1237.6222,1597.30857,47.15855,833.22107,842.27523,1252.74726,31.96873
2008年,1725.77862,4963.5395,848.10738,-0.01602,1242.82717,3458.22017,505.68761,1119.40843,469.3099,1467.43139,49307.2,405.04535,502.04464,50.37196,467.00642,995.24291,181.47866,318.74401,650.69304,348.13445,7.3674,195.66802,391.59854,2107.98602,3200.03153,759.40947,492.86017,303.78046,2072.14155,1226.96835,7688.88281,2553.08808,1447.51633,1537.80997,1899.60981,67.42272,996.99522,1107.88193,1474.18279,56.9475
2009年,1944.56905,5743.12487,893.02211,0.0,1538.36894,4029.1167,497.27186,1421.69134,478.54666,1575.2607,54251.47,431.8547,542.58905,59.6245,496.74792,1141.75114,186.54112,290.81169,739.67836,421.69685,6.31076,239.86964,467.85284,2549.04881,3588.76962,812.91814,615.7067,86.29274,2197.01914,1351.68327,7881.02281,2863.68628,1613.0465,1635.82241,2016.51738,55.41582,1223.3655,1056.77112,1498.32688,59.75182
2010年,2511.50884,7116.18713,1042.35768,0.0,1769.14163,5040.03651,633.02382,1672.85625,526.44379,1821.62485,66258.92,497.38,597.29385,75.8702,504.27619,1372.91396,176.63472,314.16756,777.81441,452.8612,7.45959,417.59594,519.96521,2644.3115,4345.65733,993.22959,764.42316,121.73724,2400.06236,1485.24398,11434.02592,3518.42962,1976.52271,1906.99101,2437.07054,56.23118,1326.21704,1240.92355,1685.19588,75.23701
2011年,2621.12993,8135.72506,1204.20812,0.0,2071.2937,5802.22957,690.58338,1859.4449,522.327,1780.24232,69702.34,496.72897,598.05235,93.40283,493.35301,1560.06879,80.62144,325.59389,785.84861,476.05257,7.67412,499.61248,686.98659,2741.77271,4571.31441,1125.12848,862.01432,183.28666,2459.98379,1458.82683,9919.81807,3970.27015,2139.89113,1940.69987,2677.6949,47.15761,1588.31592,1336.85424,1781.08173,107.04539
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
