,专用设备制造业外商及港澳台商投资工业企业主营业务税金及附加,交通运输设备制造业外商及港澳台商投资工业企业主营业务税金及附加,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业主营业务税金及附加,其他采矿业外商及港澳台商投资工业企业主营业务税金及附加,农副食品加工业外商及港澳台商投资工业企业主营业务税金及附加,化学原料及化学制品制造业外商及港澳台商投资工业企业主营业务税金及附加,化学纤维制造业外商及港澳台商投资工业企业主营业务税金及附加,医药制造业外商及港澳台商投资工业企业主营业务税金及附加,印刷业和记录媒介的复制外商及港澳台商投资工业企业主营业务税金及附加,塑料制品业外商及港澳台商投资工业企业主营业务税金及附加,外商及港澳台商投资工业企业主营业务税金及附加,家具制造业外商及港澳台商投资工业企业主营业务税金及附加,工艺品及其他制造业外商及港澳台商投资工业企业主营业务税金及附加,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业主营业务税金及附加,文教体育用品制造业外商及港澳台商投资工业企业主营业务税金及附加,有色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务税金及附加,有色金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务税金及附加,橡胶制品业外商及港澳台商投资工业企业主营业务税金及附加,水的生产和供应业外商及港澳台商投资工业企业主营业务税金及附加,烟草制品业外商及港澳台商投资工业企业主营业务税金及附加,煤炭开采和洗选业外商及港澳台商投资工业企业主营业务税金及附加,燃气生产和供应业外商及港澳台商投资工业企业主营业务税金及附加,电力、热力的生产和供应业外商及港澳台商投资工业企业主营业务税金及附加,电气机械及器材制造业外商及港澳台商投资工业企业主营业务税金及附加,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业主营业务税金及附加,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业主营业务税金及附加,石油和天然气开采业外商及港澳台商投资工业企业主营业务税金及附加,纺织业外商及港澳台商投资工业企业主营业务税金及附加,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业主营业务税金及附加,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业主营业务税金及附加,通用设备制造业外商及港澳台商投资工业企业主营业务税金及附加,造纸及纸制品业外商及港澳台商投资工业企业主营业务税金及附加,金属制品业外商及港澳台商投资工业企业主营业务税金及附加,非金属矿物制品业外商及港澳台商投资工业企业主营业务税金及附加,非金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加,食品制造业外商及港澳台商投资工业企业主营业务税金及附加,饮料制造业外商及港澳台商投资工业企业主营业务税金及附加,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务税金及附加,黑色金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,0.98277,120.36497,4.19518,,1.66604,12.44916,0.49584,2.67032,0.24532,1.25825,223.65,0.31802,1.18517,0.00238,0.66201,0.25162,0.02311,0.53063,7.15841,0.0071,2.43937,0.02077,0.17476,1.67097,2.37794,2.3019,11.20527,7.65343,2.80203,3.34941,2.9741,1.31981,0.872,1.61021,2.30348,0.37964,1.61347,23.07907,0.99215,0.04806
