,专用设备制造业外商及港澳台商投资工业企业主营业务税金及附加,交通运输设备制造业外商及港澳台商投资工业企业主营业务税金及附加,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业主营业务税金及附加,其他采矿业外商及港澳台商投资工业企业主营业务税金及附加,农副食品加工业外商及港澳台商投资工业企业主营业务税金及附加,化学原料及化学制品制造业外商及港澳台商投资工业企业主营业务税金及附加,化学纤维制造业外商及港澳台商投资工业企业主营业务税金及附加,医药制造业外商及港澳台商投资工业企业主营业务税金及附加,印刷业和记录媒介的复制外商及港澳台商投资工业企业主营业务税金及附加,塑料制品业外商及港澳台商投资工业企业主营业务税金及附加,外商及港澳台商投资工业企业主营业务税金及附加,家具制造业外商及港澳台商投资工业企业主营业务税金及附加,工艺品及其他制造业外商及港澳台商投资工业企业主营业务税金及附加,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业主营业务税金及附加,文教体育用品制造业外商及港澳台商投资工业企业主营业务税金及附加,有色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务税金及附加,有色金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务税金及附加,橡胶制品业外商及港澳台商投资工业企业主营业务税金及附加,水的生产和供应业外商及港澳台商投资工业企业主营业务税金及附加,烟草制品业外商及港澳台商投资工业企业主营业务税金及附加,煤炭开采和洗选业外商及港澳台商投资工业企业主营业务税金及附加,燃气生产和供应业外商及港澳台商投资工业企业主营业务税金及附加,电力、热力的生产和供应业外商及港澳台商投资工业企业主营业务税金及附加,电气机械及器材制造业外商及港澳台商投资工业企业主营业务税金及附加,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业主营业务税金及附加,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业主营业务税金及附加,石油和天然气开采业外商及港澳台商投资工业企业主营业务税金及附加,纺织业外商及港澳台商投资工业企业主营业务税金及附加,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业主营业务税金及附加,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业主营业务税金及附加,通用设备制造业外商及港澳台商投资工业企业主营业务税金及附加,造纸及纸制品业外商及港澳台商投资工业企业主营业务税金及附加,金属制品业外商及港澳台商投资工业企业主营业务税金及附加,非金属矿物制品业外商及港澳台商投资工业企业主营业务税金及附加,非金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加,食品制造业外商及港澳台商投资工业企业主营业务税金及附加,饮料制造业外商及港澳台商投资工业企业主营业务税金及附加,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务税金及附加,黑色金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加
2004年,2.1704,135.93315,0.76712,,4.2473,17.68049,3.6969,3.00318,0.48677,4.19676,296.9,1.43002,2.03959,0.06994,1.17405,0.89224,0.12297,0.69587,7.69231,0.43355,1.15665,0.21481,0.30958,2.96797,4.15544,3.50969,13.47144,12.20182,5.76743,4.67464,5.57326,3.96222,2.30141,2.05747,3.57303,0.35442,3.4218,38.28836,2.11809,0.08387
2005年,3.5618,156.98114,0.92598,0.01622,7.04103,19.2694,1.008,3.5518,0.48084,3.62894,326.9,0.67108,2.29067,0.04698,1.07375,0.95188,0.24856,0.74724,6.76755,0.07342,0.07029,0.43221,0.31923,4.3885,4.98503,4.38433,14.60091,15.56043,5.91384,5.20041,5.57991,2.92713,4.4522,2.43786,4.06034,0.74877,3.20091,36.10444,2.12533,0.07004
2006年,2.45,259.82,1.82,0.0,7.6,10.73,0.88,1.78,0.81,2.65,477.55,1.69,3.01,0.37,1.44,5.88,0.33,1.58,3.56,2.19,0.0,1.33,0.54,3.69,8.66,5.72,17.89,17.9,7.3,8.41,13.88,3.2,2.15,7.06,8.49,1.13,4.77,51.14,5.43,0.27
2007年,4.11685,349.77404,2.14298,,13.05562,11.05273,2.15289,4.16236,0.60662,4.87434,653.89,3.18591,5.36729,0.14621,2.70455,15.25179,0.38966,2.87633,3.42388,1.62542,0.00236,1.60076,1.04343,4.81033,11.2404,7.38,43.43344,17.60275,9.41801,10.63525,17.37382,7.28847,4.2946,10.05541,8.86687,3.20715,4.80964,56.57848,6.02308,1.31612
2008年,10.99884,378.21322,7.43821,,27.96218,43.19493,1.10325,4.88948,1.01333,7.81343,884.89,4.09673,7.44076,1.09192,3.30279,13.61472,1.32316,3.58646,4.30058,1.75798,0.00402,9.31935,1.7813,4.50848,31.97102,10.13628,46.27399,40.49546,12.86151,14.67692,38.3274,21.64382,5.41332,14.50541,15.82799,1.55811,10.43519,62.52581,18.27074,1.21175
2009年,10.32538,517.2083,5.77854,,26.75546,33.48303,2.48681,6.66839,2.03494,9.28021,1162.81,5.70691,6.28551,0.0904,3.33287,15.34338,1.64061,4.21916,5.62303,2.21579,0.0058,3.81956,2.91681,9.94111,30.76126,10.62051,235.28563,10.84795,13.48079,14.12728,19.72555,15.04152,7.05996,16.27561,19.43755,1.91937,17.38877,66.33941,8.40272,0.92924
2010年,12.1353,705.84851,3.85605,,34.08048,54.54745,2.31409,8.91248,1.38333,13.30208,1488.98,3.44271,6.30449,0.56173,4.29676,11.60087,1.30966,4.08424,5.08728,3.19088,0.00981,7.15744,3.1727,4.0333,37.93183,10.97051,299.6026,37.42802,13.44764,17.72694,27.83528,16.48778,6.60774,14.0154,16.98637,2.01243,20.55649,65.73177,9.71371,1.29071
2011年,20.18104,656.62216,9.44397,,19.45107,60.61667,4.35678,22.09858,3.63127,15.09494,1665.28,6.86048,7.66064,0.96497,5.93477,15.34216,1.15793,4.66275,8.9315,3.59889,0.05426,28.14615,5.65455,12.06472,35.81673,16.44104,331.37022,53.23676,24.10291,20.35563,63.54905,31.66605,10.22313,19.1473,28.07591,1.80153,22.11062,80.10209,13.19243,1.55911
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
