,专用设备制造业外商及港澳台商投资工业企业利润总额,交通运输设备制造业外商及港澳台商投资工业企业利润总额,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业利润总额,其他采矿业外商及港澳台商投资工业企业利润总额,农副食品加工业外商及港澳台商投资工业企业利润总额,化学原料及化学制品制造业外商及港澳台商投资工业企业利润总额,化学纤维制造业外商及港澳台商投资工业企业利润总额,医药制造业外商及港澳台商投资工业企业利润总额,印刷业和记录媒介的复制外商及港澳台商投资工业企业利润总额,塑料制品业外商及港澳台商投资工业企业利润总额,外商及港澳台商投资工业企业利润总额,家具制造业外商及港澳台商投资工业企业利润总额,工艺品及其他制造业外商及港澳台商投资工业企业利润总额,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业利润总额,文教体育用品制造业外商及港澳台商投资工业企业利润总额,有色金属冶炼及压延加工业外商及港澳台商投资工业企业利润总额,有色金属矿采选业外商及港澳台商投资工业企业利润总额,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业利润总额,橡胶制品业外商及港澳台商投资工业企业利润总额,水的生产和供应业外商及港澳台商投资工业企业利润总额,烟草制品业外商及港澳台商投资工业企业利润总额,煤炭开采和洗选业外商及港澳台商投资工业企业利润总额,燃气生产和供应业外商及港澳台商投资工业企业利润总额,电力、热力的生产和供应业外商及港澳台商投资工业企业利润总额,电气机械及器材制造业外商及港澳台商投资工业企业利润总额,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业利润总额,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业利润总额,石油和天然气开采业外商及港澳台商投资工业企业利润总额,纺织业外商及港澳台商投资工业企业利润总额,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业利润总额,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业利润总额,通用设备制造业外商及港澳台商投资工业企业利润总额,造纸及纸制品业外商及港澳台商投资工业企业利润总额,金属制品业外商及港澳台商投资工业企业利润总额,非金属矿物制品业外商及港澳台商投资工业企业利润总额,非金属矿采选业外商及港澳台商投资工业企业利润总额,食品制造业外商及港澳台商投资工业企业利润总额,饮料制造业外商及港澳台商投资工业企业利润总额,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业利润总额,黑色金属矿采选业外商及港澳台商投资工业企业利润总额
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,65.27997,523.38225,59.99675,0.0,46.61423,197.66949,17.05086,69.29791,31.3319,60.7538,2777.44,14.78785,22.03846,-0.04306,20.12684,16.7793,0.86334,6.45283,26.05888,4.0654,1.82251,0.02271,1.02916,263.29874,166.43372,30.33514,35.22275,66.28944,61.15374,60.06364,443.58647,124.60831,51.14638,68.77526,59.43236,1.16305,53.15717,45.64146,61.71678,0.0294
2004年,106.18365,484.60684,70.82857,-0.0013,71.65118,314.67281,21.95128,85.61868,39.03109,82.04146,3875.97,30.10625,31.45705,2.03354,21.19368,48.89317,7.22294,10.43409,32.67189,9.75375,1.81724,7.06233,3.05873,289.35933,216.90109,42.4354,79.22989,125.8378,85.71374,72.64081,718.2105,209.59739,70.09813,111.70449,109.49162,1.34781,68.14404,55.81879,135.99223,1.15825
2005年,117.19872,386.88112,92.56804,0.92718,114.92294,343.59025,10.55734,103.23368,43.5025,91.32423,4140.81,33.31202,38.76125,1.36432,27.52968,52.52452,8.3839,16.98885,41.07389,5.98181,1.68239,11.88799,6.56237,287.30663,255.39232,61.71649,49.3699,179.49245,116.39762,87.14729,725.65467,248.03412,75.71306,135.33309,91.67627,3.88436,92.65888,76.84154,101.43779,1.99299
2006年,174.99,609.03,115.66,-0.02,160.01,407.41,27.67,117.8,51.81,126.43,5384.06,44.17,56.55,3.05,31.51,115.52,11.3,21.03,31.88,17.46,2.07,18.38,12.63,275.77,329.41,80.77,28.07,189.68,144.91,117.87,904.75,307.64,108.34,154.57,132.02,5.97,125.04,118.0,199.88,5.03
2007年,274.37097,949.9876,158.35305,-0.0258,263.35295,628.6945,69.90031,188.68799,61.90532,164.07578,7527.38,46.99366,69.50154,4.42437,33.72024,160.71961,17.95558,30.92057,60.3775,22.92776,1.76452,36.58177,39.86018,316.33578,473.82502,112.17612,70.78701,183.22503,185.51532,164.67575,1114.46772,427.24137,148.92355,187.33358,208.16638,10.68668,175.78375,163.96881,285.97739,13.24146
2008年,316.08663,1112.86009,168.76089,-0.03742,290.88558,591.15084,47.37083,260.09605,74.10559,169.27635,8242.63,39.24382,83.73744,1.9483,28.71707,163.24831,30.47795,30.72814,51.93297,31.81596,0.80759,88.33466,66.63365,115.36008,648.8429,135.94295,-94.8879,430.74173,175.02141,187.16276,1136.4933,508.54858,139.02643,220.51171,262.44493,11.05663,204.07179,186.69677,298.41378,28.99669
2009年,334.14174,1796.56652,169.19186,0.0,350.0215,784.62279,68.95247,329.99493,83.18331,202.28171,10107.05,62.32221,83.08144,5.89164,48.42028,190.94537,22.86839,30.61553,128.87643,26.69159,0.53511,98.28308,90.20596,326.86596,782.35573,178.03886,174.05645,234.3204,236.48761,255.97844,1055.10336,513.53902,180.15226,224.70493,295.72612,11.24897,283.60501,238.68346,198.73254,9.76112
2010年,552.56459,2852.75275,237.10054,0.0,506.40226,1285.25141,143.65365,411.2234,90.65253,292.64781,15019.55,90.02377,132.93773,19.31979,70.48888,269.20535,31.32278,50.08605,127.371,34.82689,0.82972,171.75287,126.11119,277.97919,1063.12356,261.57855,213.63784,371.30189,365.40302,340.79936,1725.63414,790.05861,261.01207,377.52033,489.81073,13.63783,360.74955,259.39872,322.16858,29.20913
2011年,532.89933,3113.56351,254.15076,0.0,518.38333,1365.0666,152.92149,412.58769,104.86802,268.51878,15494.22,86.71608,143.51248,27.93515,66.57039,267.87214,28.67227,64.61117,94.61741,42.45545,1.24596,257.3146,136.92498,223.34241,959.40988,307.07718,86.87422,400.27826,412.60364,352.15367,1783.73523,825.34598,220.83477,385.99965,508.70299,15.35579,434.89131,290.26308,302.12035,43.82072
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
