,专用设备制造业外商及港澳台商投资工业企业工业销售产值(现价),交通运输设备制造业外商及港澳台商投资工业企业工业销售产值(现价),仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业工业销售产值(现价),其他采矿业外商及港澳台商投资工业企业工业销售产值(现价),农副食品加工业外商及港澳台商投资工业企业工业销售产值(现价),化学原料及化学制品制造业外商及港澳台商投资工业企业工业销售产值(现价),化学纤维制造业外商及港澳台商投资工业企业工业销售产值(现价),医药制造业外商及港澳台商投资工业企业工业销售产值(现价),印刷业和记录媒介的复制外商及港澳台商投资工业企业工业销售产值(现价),塑料制品业外商及港澳台商投资工业企业工业销售产值(现价),外商及港澳台商投资工业企业工业销售产值(现价),家具制造业外商及港澳台商投资工业企业工业销售产值(现价),工艺品及其他制造业外商及港澳台商投资工业企业工业销售产值(现价),废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业工业销售产值(现价),文教体育用品制造业外商及港澳台商投资工业企业工业销售产值(现价),有色金属冶炼及压延加工业外商及港澳台商投资工业企业工业销售产值(现价),有色金属矿采选业外商及港澳台商投资工业企业工业销售产值(现价),木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业工业销售产值(现价),橡胶制品业外商及港澳台商投资工业企业工业销售产值(现价),水的生产和供应业外商及港澳台商投资工业企业工业销售产值(现价),烟草制品业外商及港澳台商投资工业企业工业销售产值(现价),煤炭开采和洗选业外商及港澳台商投资工业企业工业销售产值(现价),燃气生产和供应业外商及港澳台商投资工业企业工业销售产值(现价),电力、热力的生产和供应业外商及港澳台商投资工业企业工业销售产值(现价),电气机械及器材制造业外商及港澳台商投资工业企业工业销售产值(现价),皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业工业销售产值(现价),石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业工业销售产值(现价),石油和天然气开采业外商及港澳台商投资工业企业工业销售产值(现价),纺织业外商及港澳台商投资工业企业工业销售产值(现价),纺织服装、鞋、帽制造业外商及港澳台商投资工业企业工业销售产值(现价),通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业工业销售产值(现价),通用设备制造业外商及港澳台商投资工业企业工业销售产值(现价),造纸及纸制品业外商及港澳台商投资工业企业工业销售产值(现价),金属制品业外商及港澳台商投资工业企业工业销售产值(现价),非金属矿物制品业外商及港澳台商投资工业企业工业销售产值(现价),非金属矿采选业外商及港澳台商投资工业企业工业销售产值(现价),食品制造业外商及港澳台商投资工业企业工业销售产值(现价),饮料制造业外商及港澳台商投资工业企业工业销售产值(现价),黑色金属冶炼及压延加工业外商及港澳台商投资工业企业工业销售产值(现价),黑色金属矿采选业外商及港澳台商投资工业企业工业销售产值(现价)
2004年,1244.28048,5794.41883,1484.21682,0.21275,2448.20585,3274.81401,561.36593,764.44525,387.87226,1841.48228,64736.33425,682.33087,661.76621,76.92121,722.57067,995.16918,19.64761,365.34877,717.16135,44.5626,8.97422,76.25568,117.85815,1646.45861,4260.18515,1453.94004,907.99142,368.38398,2760.50659,1878.00087,18215.41962,2384.60877,1115.15099,1879.31109,1423.71088,42.29891,1107.31155,900.87099,2090.93276,11.37105
2005年,1474.97594,6686.8316,1829.70121,5.19805,3021.89152,4136.90879,707.75734,970.90967,454.87326,2121.95324,78354.89544,774.65092,803.81652,93.67752,884.12397,1176.85962,44.83703,414.49235,831.28852,57.75586,8.80566,78.62881,176.58702,1886.69539,5158.74093,1789.23606,1261.18994,482.98416,3124.24295,2238.05216,22235.60277,2874.65162,1411.43895,2365.89908,1638.46072,55.78208,1354.67438,1038.71219,2662.62072,19.38692
2006年,2030.35,9215.54,2270.49,0.1,3561.19,5399.05,923.76,1196.72,526.59,2581.06,98255.9,935.36,1022.49,122.02,1059.4,2046.66,29.42,496.59,978.49,98.01,8.22,89.74,255.09,1879.0,6699.2,2147.4,1580.69,566.16,3685.23,2694.41,26722.41,3724.27,1749.52,2931.9,2088.29,67.71,1781.53,1461.37,3600.14,30.31
2007年,2794.50503,12124.63178,2685.09535,0.05762,4813.48616,7296.84721,1181.73739,1509.01344,638.75727,3140.01685,125238.83842,1113.52502,1260.1589,144.86851,1257.30995,2820.49452,57.15609,649.41085,1215.73776,125.92857,10.06064,146.84072,422.52856,2229.74363,8764.74403,2536.55025,2642.39886,594.38255,4358.99778,3354.06014,32473.09738,4961.4207,2164.24151,3931.9988,2788.21191,106.72839,2284.30899,1849.50086,4734.11877,56.16568
2008年,3800.42279,14782.18903,2771.58425,0.066,6308.81631,8856.17755,1184.24967,1995.16927,739.41628,3582.90741,146172.17804,1197.10048,1459.99179,249.29853,1381.41352,3190.72026,169.92821,702.96227,1621.48115,153.92383,4.7388,347.27139,615.04759,2457.36114,10455.02565,2739.39172,2978.98441,781.39127,4736.56812,3859.15185,34950.58255,6124.46519,2558.13766,4549.45655,3449.14457,130.12432,2735.13598,2208.16727,6247.76212,96.45129
2009年,3964.03638,18279.09006,2455.36879,,6724.85968,9178.38144,1114.88067,2497.03016,743.56218,3518.39199,149537.57027,1161.29352,1475.95359,232.61619,1368.35845,3034.11195,138.87508,712.64943,1724.28722,177.84786,3.59416,371.25755,726.40308,2565.00888,10511.26815,2786.47894,2797.809,520.56987,4871.11155,4054.05745,34138.20275,6063.86442,2511.41377,3945.35615,3614.36186,130.73547,3106.0306,2500.82368,5730.33944,87.28886
2010年,5181.08006,24302.94938,3050.96484,,7723.62541,12304.2473,1536.95017,2977.62341,818.76542,4300.09899,186421.56169,1408.57094,1850.81956,424.88639,1614.305,3976.72999,163.8687,850.38875,1901.55748,186.9003,4.0329,773.2039,869.40437,2679.40878,13297.68968,3467.551,3921.58729,673.6484,5877.27392,4495.6537,42037.30986,7830.36563,3141.21638,4965.4148,4467.78659,135.90034,3508.58178,2867.86229,6699.08215,134.25584
2011年,5909.42118,27690.91968,3444.19271,,8862.1596,15554.55666,1906.03348,3489.28346,896.13253,4494.86294,214716.86964,1467.90838,2203.85895,492.45756,1625.71215,4760.22675,116.288,923.13344,2123.19135,212.60443,4.94761,1134.89492,1131.05833,3083.18096,15102.2042,3811.78929,4570.52483,801.01594,6671.23716,4688.7466,47830.52343,9028.75901,3341.63597,5594.59734,5169.30524,134.0944,4559.6244,3549.99465,8116.61137,219.18074
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
