,专用设备制造业外商及港澳台商投资工业企业亏损企业单位数,交通运输设备制造业外商及港澳台商投资工业企业亏损企业单位数,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业亏损企业单位数,其他采矿业外商及港澳台商投资工业企业亏损企业单位数,农副食品加工业外商及港澳台商投资工业企业亏损企业单位数,化学原料及化学制品制造业外商及港澳台商投资工业企业亏损企业单位数,化学纤维制造业外商及港澳台商投资工业企业亏损企业单位数,医药制造业外商及港澳台商投资工业企业亏损企业单位数,印刷业和记录媒介的复制外商及港澳台商投资工业企业亏损企业单位数,塑料制品业外商及港澳台商投资工业企业亏损企业单位数,外商及港澳台商投资工业企业亏损企业单位数,家具制造业外商及港澳台商投资工业企业亏损企业单位数,工艺品及其他制造业外商及港澳台商投资工业企业亏损企业单位数,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业亏损企业单位数,文教体育用品制造业外商及港澳台商投资工业企业亏损企业单位数,有色金属冶炼及压延加工业外商及港澳台商投资工业企业亏损企业单位数,有色金属矿采选业外商及港澳台商投资工业企业亏损企业单位数,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业亏损企业单位数,橡胶制品业外商及港澳台商投资工业企业亏损企业单位数,水的生产和供应业外商及港澳台商投资工业企业亏损企业单位数,烟草制品业外商及港澳台商投资工业企业亏损企业单位数,煤炭开采和洗选业外商及港澳台商投资工业企业亏损企业单位数,燃气生产和供应业外商及港澳台商投资工业企业亏损企业单位数,电力、热力的生产和供应业外商及港澳台商投资工业企业亏损企业单位数,电气机械及器材制造业外商及港澳台商投资工业企业亏损企业单位数,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业亏损企业单位数,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业亏损企业单位数,石油和天然气开采业外商及港澳台商投资工业企业亏损企业单位数,纺织业外商及港澳台商投资工业企业亏损企业单位数,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业亏损企业单位数,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业亏损企业单位数,通用设备制造业外商及港澳台商投资工业企业亏损企业单位数,造纸及纸制品业外商及港澳台商投资工业企业亏损企业单位数,金属制品业外商及港澳台商投资工业企业亏损企业单位数,非金属矿物制品业外商及港澳台商投资工业企业亏损企业单位数,非金属矿采选业外商及港澳台商投资工业企业亏损企业单位数,食品制造业外商及港澳台商投资工业企业亏损企业单位数,饮料制造业外商及港澳台商投资工业企业亏损企业单位数,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业亏损企业单位数,黑色金属矿采选业外商及港澳台商投资工业企业亏损企业单位数
2004年,517.0,528.0,337.0,1.0,554.0,754.0,103.0,252.0,194.0,1081.0,15993.0,341.0,424.0,37.0,462.0,192.0,5.0,291.0,235.0,12.0,,7.0,38.0,140.0,1130.0,628.0,51.0,1.0,1535.0,1431.0,1495.0,693.0,347.0,776.0,642.0,45.0,378.0,187.0,143.0,6.0
2005年,416.0,499.0,255.0,1.0,459.0,669.0,84.0,231.0,167.0,863.0,13479.0,279.0,363.0,24.0,398.0,153.0,3.0,241.0,192.0,9.0,,3.0,40.0,123.0,964.0,521.0,36.0,1.0,1119.0,1253.0,1322.0,540.0,289.0,657.0,624.0,25.0,345.0,160.0,142.0,9.0
2006年,448.0,566.0,287.0,1.0,467.0,603.0,86.0,251.0,161.0,842.0,13228.0,278.0,374.0,10.0,394.0,161.0,4.0,233.0,190.0,9.0,0.0,9.0,39.0,100.0,964.0,484.0,44.0,1.0,1111.0,1135.0,1246.0,566.0,296.0,657.0,553.0,22.0,338.0,167.0,128.0,3.0
2007年,493.0,582.0,322.0,1.0,492.0,672.0,75.0,226.0,181.0,992.0,14523.0,339.0,475.0,23.0,446.0,162.0,6.0,284.0,189.0,14.0,,5.0,34.0,90.0,990.0,508.0,37.0,1.0,1131.0,1304.0,1476.0,626.0,309.0,801.0,601.0,20.0,342.0,167.0,104.0,3.0
2008年,962.0,902.0,443.0,1.0,560.0,1002.0,117.0,246.0,222.0,1323.0,20753.0,490.0,653.0,96.0,658.0,275.0,10.0,338.0,296.0,19.0,,4.0,33.0,160.0,1500.0,679.0,43.0,,1537.0,1739.0,2225.0,1084.0,400.0,1191.0,740.0,19.0,418.0,197.0,163.0,8.0
2009年,894.0,722.0,397.0,,457.0,885.0,80.0,202.0,199.0,1078.0,17865.0,407.0,537.0,63.0,505.0,232.0,9.0,267.0,224.0,25.0,,5.0,29.0,106.0,1316.0,533.0,37.0,1.0,1305.0,1426.0,1930.0,1146.0,328.0,1121.0,676.0,26.0,347.0,173.0,165.0,12.0
2010年,601.0,550.0,256.0,,373.0,674.0,47.0,176.0,168.0,851.0,13212.0,309.0,382.0,43.0,372.0,160.0,7.0,191.0,167.0,27.0,1.0,7.0,24.0,100.0,943.0,365.0,38.0,4.0,968.0,1072.0,1447.0,725.0,283.0,715.0,525.0,13.0,330.0,174.0,113.0,11.0
2011年,393.0,483.0,187.0,,268.0,532.0,60.0,133.0,112.0,632.0,9744.0,226.0,209.0,41.0,233.0,156.0,2.0,104.0,126.0,12.0,,3.0,28.0,119.0,826.0,226.0,36.0,3.0,678.0,565.0,1294.0,479.0,224.0,492.0,365.0,11.0,207.0,154.0,121.0,4.0
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
