,中成药制造高技术产业新产品出口销售收入(大中型工业企业口径),仪器仪表制造业高技术产业新产品出口销售收入(大中型工业企业口径),其他电子设备制造高技术产业新产品出口销售收入(大中型工业企业口径),化学药品制造高技术产业新产品出口销售收入(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业新产品出口销售收入(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业新产品出口销售收入(大中型工业企业口径),医药制造业高技术产业新产品出口销售收入(大中型工业企业口径),家用视听设备制造业高技术产业新产品出口销售收入(大中型工业企业口径),广播电视设备制造业高技术产业新产品出口销售收入(大中型工业企业口径),生物、生化制品的制造高技术产业新产品出口销售收入(大中型工业企业口径),电子元件制造业高技术产业新产品出口销售收入(大中型工业企业口径),电子及通信设备制造业高技术产业新产品出口销售收入(大中型工业企业口径),电子器件制造业高技术产业新产品出口销售收入(大中型工业企业口径),电子计算机及办公设备制造业高技术产业新产品出口销售收入(大中型工业企业口径),电子计算机外部设备制造业高技术产业新产品出口销售收入(大中型工业企业口径),电子计算机整机制造业高技术产业新产品出口销售收入(大中型工业企业口径),航空航天器制造业高技术产业新产品出口销售收入(大中型工业企业口径),通信设备制造业高技术产业新产品出口销售收入(大中型工业企业口径),雷达及配套设备制造业高技术产业新产品出口销售收入(大中型工业企业口径),高技术产业新产品出口销售收入(大中型工业企业口径)
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,10416.9,65853.5,22851.9,124485.5,12994.0,78847.5,167246.1,985421.2,10.0,24233.7,1186212.7,4240727.1,295407.1,2457321.8,1976375.8,436334.3,134428.4,1749259.2,1565.0,0.0
2002年,53362.0,68580.0,14126.0,173388.0,22073.0,90653.0,271815.0,1654031.0,991.0,25139.0,686263.0,5135862.0,449099.0,3411527.0,2604565.0,765984.0,51285.0,2330724.0,630.0,0.0
2003年,42684.8,159686.7,29747.1,259585.9,25673.0,185359.7,382156.3,4248647.5,5281.8,58116.7,626508.7,7375846.7,857553.9,6135726.5,3953208.2,2051656.3,89217.5,1589076.7,19031.0,14168308.0
2004年,28084.0,212384.0,10287.0,461054.0,51729.0,264113.0,533750.0,4848651.0,80840.0,23810.0,1808817.0,18184089.0,2705299.0,8209222.0,3784096.0,3896389.0,50860.0,8717671.0,12524.0,27242033.0
2005年,32610.9,400873.5,62302.0,637561.2,89164.4,490037.9,711092.9,5312171.2,64058.8,32898.2,1359490.6,13808733.9,2545856.1,11584409.8,6038492.1,4952764.3,68223.4,4390799.8,74055.4,26662497.9
2006年,82960.2,474073.2,145463.4,630255.3,68233.5,542306.7,740940.0,5611970.6,100410.1,16884.1,1838266.0,14854268.7,2335232.5,17154063.7,5527645.4,10947552.9,124077.6,4820513.4,2412.7,33415656.7
2007年,171219.8,1238202.2,307885.4,1109863.3,238301.0,1476503.2,1406510.0,6112112.0,216986.1,70192.7,2895466.5,29318905.3,4799721.6,11200388.6,8209684.8,2269716.4,118554.3,14783136.6,203597.1,43520861.4
2008年,131886.8,952363.1,725797.3,1145098.9,219093.6,1171456.7,1463470.6,7568206.3,143100.2,82061.2,3919970.8,36265229.6,7738693.8,24284993.1,12979607.3,10697124.3,232730.4,16169297.7,163.5,63417880.4
2009年,88915.1,878578.2,311263.1,1187909.5,258630.6,1137208.8,1450118.1,4343372.1,103898.4,112679.5,4709447.2,34768698.0,6864536.2,10203904.6,8341751.8,1453091.7,217709.5,18330077.8,106103.2,47777639.0
2010年,83100.2,1218253.8,367037.4,1482688.9,163903.1,1382156.9,1826717.5,5400466.2,191554.1,141443.7,7541377.7,41843924.0,7584619.6,29053716.0,20801628.0,7280473.9,238607.5,20733727.0,25141.8,74345121.7
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
