,中成药制造高技术产业发明专利申请数(大中型工业企业口径),仪器仪表制造业高技术产业发明专利申请数(大中型工业企业口径),其他电子设备制造高技术产业发明专利申请数(大中型工业企业口径),化学药品制造高技术产业发明专利申请数(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业发明专利申请数(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业发明专利申请数(大中型工业企业口径),医药制造业高技术产业发明专利申请数(大中型工业企业口径),家用视听设备制造业高技术产业发明专利申请数(大中型工业企业口径),广播电视设备制造业高技术产业发明专利申请数(大中型工业企业口径),生物、生化制品的制造高技术产业发明专利申请数(大中型工业企业口径),电子元件制造业高技术产业发明专利申请数(大中型工业企业口径),电子及通信设备制造业高技术产业发明专利申请数(大中型工业企业口径),电子器件制造业高技术产业发明专利申请数(大中型工业企业口径),电子计算机及办公设备制造业高技术产业发明专利申请数(大中型工业企业口径),电子计算机外部设备制造业高技术产业发明专利申请数(大中型工业企业口径),电子计算机整机制造业高技术产业发明专利申请数(大中型工业企业口径),航空航天器制造业高技术产业发明专利申请数(大中型工业企业口径),通信设备制造业高技术产业发明专利申请数(大中型工业企业口径),雷达及配套设备制造业高技术产业发明专利申请数(大中型工业企业口径),高技术产业发明专利申请数(大中型工业企业口径)
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,42.0,58.0,11.0,56.0,9.0,67.0,152.0,65.0,0.0,7.0,20.0,902.0,25.0,78.0,11.0,67.0,24.0,775.0,6.0,
2002年,67.0,103.0,18.0,74.0,7.0,110.0,317.0,145.0,1.0,24.0,19.0,1457.0,66.0,304.0,19.0,277.0,49.0,1208.0,,
2003年,182.0,163.0,23.0,96.0,21.0,184.0,757.0,301.0,0.0,54.0,64.0,2305.0,407.0,485.0,94.0,389.0,56.0,1507.0,3.0,3787.0
2004年,290.0,92.0,12.0,153.0,22.0,114.0,1018.0,827.0,10.0,43.0,129.0,3994.0,542.0,525.0,126.0,289.0,43.0,2473.0,1.0,5694.0
2005年,920.0,99.0,22.0,583.0,99.0,198.0,1659.0,719.0,14.0,135.0,219.0,6796.0,524.0,876.0,372.0,498.0,106.0,5298.0,0.0,9635.0
2006年,770.0,264.0,32.0,570.0,202.0,466.0,1475.0,1119.0,51.0,92.0,304.0,11163.0,1174.0,1553.0,720.0,821.0,225.0,8482.0,1.0,14882.0
2007年,619.0,397.0,171.0,666.0,524.0,921.0,1483.0,745.0,194.0,161.0,413.0,17820.0,1770.0,1649.0,575.0,542.0,318.0,14505.0,22.0,22191.0
2008年,1260.0,705.0,204.0,899.0,466.0,1171.0,2538.0,1100.0,164.0,200.0,674.0,16988.0,1545.0,1967.0,749.0,742.0,467.0,13283.0,18.0,23131.0
2009年,,,,,,1580.0,2938.0,,,,,22069.0,,4506.0,,,622.0,,,31715.0
2010年,1369.0,1282.0,219.0,1763.0,547.0,1829.0,3705.0,1545.0,962.0,280.0,1667.0,21753.0,3919.0,7221.0,1443.0,4821.0,863.0,13343.0,98.0,35371.0
2011年,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,
