,专用设备制造业中型工业企业研究与试验发展经费支出,交通运输设备制造业中型工业企业研究与试验发展经费支出,仪器仪表及文化、办公用机械制造业中型工业企业研究与试验发展经费支出,农副食品加工业中型工业企业研究与试验发展经费支出,化学原料及化学制品制造业中型工业企业研究与试验发展经费支出,化学纤维制造业中型工业企业研究与试验发展经费支出,医药制造业中型工业企业研究与试验发展经费支出,印刷业和记录媒介的复制中型工业企业研究与试验发展经费支出,塑料制品业中型工业企业研究与试验发展经费支出,大中型工业企业研究与试验发展经费支出,家具制造业中型工业企业研究与试验发展经费支出,工艺品及其他制造业中型工业企业研究与试验发展经费支出,文教体育用品制造业中型工业企业研究与试验发展经费支出,有色金属冶炼及压延加工业中型工业企业研究与试验发展经费支出,有色金属矿采选业中型工业企业研究与试验发展经费支出,木材加工及木、竹、藤、棕、草制品业中型工业企业研究与试验发展经费支出,橡胶制品业中型工业企业研究与试验发展经费支出,水的生产和供应业中型工业企业研究与试验发展经费支出,烟草制品业中型工业企业研究与试验发展经费支出,煤炭开采和洗选业中型工业企业研究与试验发展经费支出,燃气生产和供应业中型工业企业研究与试验发展经费支出,电力、热力的生产和供应业中型工业企业研究与试验发展经费支出,电气机械及器材制造业中型工业企业研究与试验发展经费支出,皮革、毛皮、羽毛(绒)及其制品业中型工业企业研究与试验发展经费支出,石油加工、炼焦及核燃料加工业中型工业企业研究与试验发展经费支出,石油和天然气开采业中型工业企业研究与试验发展经费支出,纺织业中型工业企业研究与试验发展经费支出,纺织服装、鞋、帽制造业中型工业企业研究与试验发展经费支出,通信设备、计算机及其他电子设备制造业中型工业企业研究与试验发展经费支出,通用设备制造业中型工业企业研究与试验发展经费支出,造纸及纸制品业中型工业企业研究与试验发展经费支出,金属制品业中型工业企业研究与试验发展经费支出,非金属矿物制品业中型工业企业研究与试验发展经费支出,非金属矿采选业中型工业企业研究与试验发展经费支出,食品制造业中型工业企业研究与试验发展经费支出,饮料制造业中型工业企业研究与试验发展经费支出,黑色金属冶炼及压延加工业中型工业企业研究与试验发展经费支出,黑色金属矿采选业中型工业企业研究与试验发展经费支出
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1417000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1883000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1971000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3533873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4423496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5601718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,317355.7,956527.6,85894.1,45541.1,466728.2,57872.0,276665.3,21124.4,61030.2,7207749.0,2585.1,20123.0,12332.6,135916.8,13755.9,16930.5,72798.9,7306.9,46012.4,141183.4,2581.3,110535.6,744867.4,16619.1,63261.0,137716.5,155469.9,55722.6,1635396.7,428689.3,73739.6,70787.3,156269.0,8765.1,57330.5,82703.1,647621.8,1989.1
2004年,346521.0,1274728.0,125810.0,53777.0,676867.0,79431.0,281812.0,17235.0,83026.0,9544905.0,18429.0,39766.0,24129.0,198657.0,12713.0,23102.0,99437.0,8559.0,52158.0,258467.0,2085.0,109211.0,934264.0,19363.0,102484.0,217296.0,253159.0,54083.0,2262135.0,509239.0,84822.0,83989.0,160514.0,6064.0,64065.0,118054.0,886566.0,2890.0
2005年,551518.7,1737120.7,165441.0,87679.1,846314.9,121195.7,399510.2,22630.4,98311.0,12502918.0,19173.9,30102.5,24730.3,357960.0,11435.4,38890.6,121220.6,4080.7,85698.6,284059.1,985.9,114378.4,1180591.0,24829.1,104083.5,220865.8,295387.5,79439.5,2766722.3,688159.5,119811.3,154393.2,220728.2,17929.5,82150.9,151341.9,1268878.4,3997.5
2006年,759041.4,2239728.4,187741.3,134041.9,978547.8,196216.2,525856.4,23732.7,142339.9,16301909.0,24876.8,57749.8,32263.5,553920.8,14645.4,31942.8,209352.7,4884.6,63083.3,368960.6,1269.2,154254.1,1669087.3,29396.9,160538.6,227268.8,342864.6,88208.0,3483944.5,1034913.6,151021.1,209652.3,256950.8,12538.2,117690.5,187854.2,1621325.8,4204.6
2007年,1093873.7,3012683.5,290926.4,204906.8,1411621.9,268027.1,658836.2,50287.1,138756.8,21124560.5,37414.5,64972.7,39105.9,668903.0,39193.8,51685.9,280684.5,7007.1,87080.6,477496.3,1675.7,197927.2,2138015.1,46032.9,195285.8,271760.3,433509.9,96602.5,4041327.9,1375979.4,170424.7,319334.1,295624.1,20846.2,159082.5,266492.7,2198162.3,13013.4
2008年,1455730.7,3728515.0,378580.0,277356.7,1766235.8,304305.9,790878.7,49277.1,251088.0,26813109.5,37956.0,65473.3,57532.4,855305.3,40747.4,57389.0,320282.0,6474.3,95143.9,633239.6,3279.3,257255.3,2751806.7,54884.9,281857.5,364242.2,533388.9,123016.5,4808651.6,1755959.6,256335.1,434427.4,456546.1,22195.0,178758.0,323796.7,3013223.0,21887.2
2009年,1972507.1,4599869.6,485200.6,368001.2,1968433.7,323848.9,996220.8,77070.5,299202.5,32102300.0,55907.6,96221.5,84308.5,973898.5,76886.7,52031.0,367792.0,8455.8,125801.8,930410.2,1456.8,293924.2,3293173.2,81634.9,338368.0,623983.3,691790.4,149512.4,5496058.9,2099679.5,319798.3,461071.3,589794.3,19865.2,314094.1,393205.6,3054462.1,17884.8
2010年,2348940.7,5821997.2,573806.4,478253.9,2475263.7,409734.9,1226262.1,103068.3,409582.4,40153965.2,40365.4,136325.9,73565.5,1188581.4,66201.8,56273.6,523273.2,12533.6,138549.2,1087472.2,10309.1,319458.9,4250968.9,103529.6,438265.5,881074.9,846398.7,165556.2,6862561.1,2373242.9,366696.5,618558.5,813326.9,27265.1,388736.7,460381.3,4021200.3,31002.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50306960.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59923237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67440645.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73196923.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
