,中外合作经营大中型工业企业研究与试验发展项目数,中外合资经营大中型工业企业研究与试验发展项目数,其他大中型工业企业研究与试验发展项目数,内资大中型工业企业研究与试验发展项目数,合作经营大中型工业企业研究与试验发展项目数,合资经营大中型工业企业研究与试验发展项目数,国有及国有控股大中型工业企业研究与试验发展项目数,国有大中型工业企业研究与试验发展项目数,国有独资公司大中型工业企业研究与试验发展项目数,国有联营大中型工业企业研究与试验发展项目数,外商投资大中型工业企业研究与试验发展项目数,外商投资股份有限公司大中型工业企业研究与试验发展项目数,外资大中型工业企业研究与试验发展项目数,大中型工业企业研究与试验发展项目数,投资股份有限公司大中型工业企业研究与试验发展项目数,有限责任公司大中型工业企业研究与试验发展项目数,港、澳、台商投资大中型工业企业研究与试验发展项目数,独资经营大中型工业企业研究与试验发展项目数,私营大中型工业企业研究与试验发展项目数,联营大中型工业企业研究与试验发展项目数,股份合作大中型工业企业研究与试验发展项目数,股份有限公司大中型工业企业研究与试验发展项目数,集体大中型工业企业研究与试验发展项目数
1978年,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,70580.0,,,,,,,,,
2006年,,,,,,,,,,,,,,87207.0,,,,,,,,,
2007年,,,,,,,,,,,,,,92913.0,,,,,,,,,
2008年,101.0,7661.0,273.0,81535.0,92.0,3522.0,51568.0,14918.0,9203.0,107.0,13592.0,1462.0,4368.0,103234.0,763.0,35519.0,8107.0,3730.0,9762.0,133.0,379.0,19088.0,1463.0
2009年,174.0,9406.0,444.0,103285.0,122.0,5553.0,59917.0,16455.0,11852.0,99.0,17717.0,1703.0,6434.0,133852.0,955.0,46232.0,12850.0,6220.0,14796.0,127.0,739.0,22671.0,1821.0
2010年,278.0,9196.0,276.0,110044.0,184.0,6085.0,63301.0,17230.0,11677.0,105.0,21896.0,1724.0,10698.0,145589.0,902.0,46882.0,13649.0,6478.0,17853.0,147.0,657.0,25355.0,1644.0
2011年,,,,,,,,,,,,,,161226.0,,,,,,,,,
2012年,,,,,,,,,,,,,,192755.0,,,,,,,,,
2013年,,,,,,,,,,,,,,205146.0,,,,,,,,,
2014年,,,,,,,,,,,,,,210997.0,,,,,,,,,
