,交通运输、仓储和邮政业截至本年对外直接投资存量,住宿和餐饮业截至本年对外直接投资存量,信息传输、计算机服务和软件业截至本年对外直接投资存量,公共管理和社会组织截至本年对外直接投资存量,农、林、牧、渔业截至本年对外直接投资存量,制造业截至本年对外直接投资存量,卫生、社会保障和社会福利业截至本年对外直接投资存量,居民服务和其他服务业截至本年对外直接投资存量,建筑业截至本年对外直接投资存量,截至本年对外直接投资存量,房地产业截至本年对外直接投资存量,批发和零售业截至本年对外直接投资存量,教育截至本年对外直接投资存量,文化、体育和娱乐业截至本年对外直接投资存量,水利、环境和公共设施管理业截至本年对外直接投资存量,电力、燃气及水的生产和供应业截至本年对外直接投资存量,科学研究、技术服务和地质勘查业截至本年对外直接投资存量,租赁和商务服务业截至本年对外直接投资存量,采矿业截至本年对外直接投资存量,金融业截至本年对外直接投资存量
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
