,国外部门实物交易资金来源_其他经常转移,国外部门实物交易资金来源_其他财产收入,国外部门实物交易资金来源_其他资本转移,国外部门实物交易资金来源_其他非金融资产获得减处置,国外部门实物交易资金来源_净出口,国外部门实物交易资金来源_净金融投资,国外部门实物交易资金来源_初次分配总收入,国外部门实物交易资金来源_利息,国外部门实物交易资金来源_劳动者报酬,国外部门实物交易资金来源_单位社会保险付款,国外部门实物交易资金来源_可支配总收入,国外部门实物交易资金来源_固定资本形成总额,国外部门实物交易资金来源_地租,国外部门实物交易资金来源_增加值,国外部门实物交易资金来源_存货增加,国外部门实物交易资金来源_居民消费,国外部门实物交易资金来源_工资及工资性收入,国外部门实物交易资金来源_总储蓄,国外部门实物交易资金来源_投资性补助,国外部门实物交易资金来源_收入税,国外部门实物交易资金来源_政府消费,国外部门实物交易资金来源_最终消费,国外部门实物交易资金来源_生产税,国外部门实物交易资金来源_生产税净额,国外部门实物交易资金来源_生产补贴,国外部门实物交易资金来源_社会保险福利,国外部门实物交易资金来源_社会保险缴款,国外部门实物交易资金来源_社会补助,国外部门实物交易资金来源_红利,国外部门实物交易资金来源_经常转移,国外部门实物交易资金来源_财产收入,国外部门实物交易资金来源_资本形成总额,国外部门实物交易资金来源_资本转移
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,45.4958273966,,,,-2390.2,,,,56.240221024,,,,,,,,,-1698.59588514,2.89744,,,,,,,,,,2196.84182266,45.4958273966,2196.84182266,,2.89744
2001年,52.3469008282,,,,-2324.7,,,515.13,70.48982895,,,,,,,,,-1440.63008888,4.46958,,,,,,,,,,2293.65635508,52.3469008282,2293.65635508,,4.46958
2002年,67.1255594641,,,,-3094.1,,,,78.65856579,,,,,,,,,-2931.80032301,4.1385,,,,,,,,,,1849.00656207,67.1255594641,1849.00656207,,4.1385
2003年,85.5528899662,,,,-2964.91485282,,,,92.72168541,,,,,,,,,-3563.36265851,3.97296,,,,,,,,,,2085.22030596,85.5528899662,2085.22030596,,3.97296
2004年,118.214420074,,5.7132,,-4235.60129407,,,,114.399281024,,,,,,,,,-5706.08313942,5.74,,,,,,,,,,2011.83391304,118.214420074,2011.83391304,,5.7132
2005年,316.986746948,,4.37,,-10209.0533722,,,,148.877102638,,,,,,,,,-10844.0140349,,,,,,,,,,,4388.23004049,316.986746948,4388.23004049,,4.37
2006年,279.836550616,,6.56557448,,-16654.5988233,,,,185.742381974,,,,,,,,,-18482.0315981,,,,,,,,,,,4573.946045,279.836550616,4573.946045,,6.56557448
2007年,421.549523547,,16.3957448,,-23423.0596287,,,,189.572137924,,,,,,,,,-26855.9644155,,,,,,,,,,,5546.2626413,421.549523547,5546.2626413,,16.3957448
2008年,653.527520078,,18.64611084,,-24226.7682601,,,66.67296,190.045091341,,,,,,,,,-29208.8358461,,,,,,,,,,,5522.10630707,653.527520078,5588.77926707,,18.64611084
2009年,750.537762066,,733.222,,-15037.1077174,,,,140.14862136,,,,,,,,,-16616.7849042,,,,,,,,,,,7837.329258,750.537762066,7837.329258,,733.222
2010年,598.115739715,,12.52695975,,-15097.601015,,,392.631,98.527026225,,,,,,,,,-16098.5146308,,,,,,,,,,,10903.5224948,598.115739715,11296.1534948,,12.52695975
2011年,2006.0726007,,11.254200648,,-12163.3,,,281.668268,104.512887995,,,,,,,,,-9204.69635607,,,,,,,,,,,13473.4448447,2006.0726007,13755.1131127,,11.254200648
2012年,3012.8515691,,17.5275914556,,-14632.4,,,504.87375,112.871193191,,,,,,,,,-13593.8507729,,,,,,,,,,,11181.8246489,3012.8515691,11686.6983989,,17.5275914556
2013年,3832.06507211,,86.2349345561,,-14552.0992661,,,886.123056,106.185312884,,,,,,,,,-9190.24872265,,,,,,,,,,,15240.7825984,3832.06507211,16126.9056544,,86.2349345561
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
