,乙脑发病人数,人感染高致病性禽流感发病人数,传染性非典型肺炎发病人数,伤寒和副伤寒发病人数,布鲁氏菌病发病人数,新生儿破伤风发病人数,梅毒发病人数,流脑发病人数,流行性出血热发病人数,淋病发病人数,炭疽发病人数,狂犬病发病人数,猩红热发病人数,甲型H1N1流感发病人数,疟疾发病人数,病毒性肝炎发病人数,登革热发病人数,白喉发病人数,百日咳发病人数,细菌性和阿米巴性痢疾发病人数,肺结核发病人数,脊髓灰质炎发病人数,艾滋病发病人数,血吸虫病发病人数,钩端螺旋体病发病人数,霍乱发病人数,麻疹发病人数,鼠疫发病人数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,1625.0,1.0,,11798.0,38151.0,785.0,395182.0,228.0,10779.0,97954.0,309.0,1917.0,63878.0,9360.0,4088.0,1372344.0,120.0,,2517.0,237930.0,953275.0,20.0,20450.0,4483.0,396.0,24.0,9943.0,1.0
2012年,1763.0,1.0,,11998.0,39515.0,656.0,410074.0,195.0,13308.0,91853.0,237.0,1425.0,46459.0,1072.0,2451.0,1380800.0,575.0,,2183.0,207429.0,951508.0,,41929.0,4802.0,440.0,75.0,6183.0,1.0
2013年,2178.0,2.0,,14136.0,43486.0,492.0,406772.0,213.0,12810.0,99659.0,193.0,1172.0,34207.0,,3896.0,1251872.0,4663.0,,1712.0,188669.0,904434.0,,42286.0,5699.0,353.0,53.0,27646.0,
2014年,858.0,3.0,,13768.0,57222.0,426.0,419091.0,170.0,11522.0,95473.0,248.0,924.0,54247.0,,2921.0,1223021.0,46864.0,,3408.0,153585.0,889381.0,,45145.0,4212.0,498.0,24.0,52628.0,3.0
