,乙脑死亡人数,人感染高致病性禽流感死亡人数,传染性非典型肺炎死亡人数,伤寒和副伤寒死亡人数,布鲁氏菌病死亡人数,新生儿破伤风死亡人数,梅毒死亡人数,流脑死亡人数,流行性出血热死亡人数,淋病死亡人数,炭疽死亡人数,狂犬病死亡人数,猩红热死亡人数,甲乙类法定报告传染病死亡人数,甲型H1N1流感死亡人数,疟疾死亡人数,病毒性肝炎死亡人数,登革热死亡人数,白喉死亡人数,百日咳死亡人数,细菌性和阿米巴性痢疾死亡人数,肺结核死亡人数,脊髓灰质炎死亡人数,艾滋病死亡人数,血吸虫病死亡人数,钩端螺旋体病死亡人数,霍乱死亡人数,麻疹死亡人数,鼠疫死亡人数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,63.0,1.0,,1.0,,52.0,75.0,25.0,119.0,1.0,3.0,1879.0,1.0,,75.0,30.0,830.0,,,2.0,24.0,2840.0,1.0,9224.0,2.0,5.0,,10.0,1.0
2012年,59.0,1.0,,3.0,1.0,51.0,79.0,24.0,104.0,1.0,1.0,1361.0,2.0,,3.0,15.0,747.0,,,1.0,13.0,2662.0,,11575.0,4.0,5.0,,8.0,1.0
2013年,64.0,2.0,,3.0,,45.0,69.0,21.0,109.0,1.0,1.0,1128.0,2.0,,,20.0,739.0,,,,13.0,2576.0,,11437.0,1.0,5.0,1.0,24.0,
2014年,29.0,1.0,,,2.0,15.0,69.0,12.0,79.0,2.0,3.0,854.0,,,,24.0,515.0,6.0,,2.0,4.0,2240.0,,12030.0,,6.0,,28.0,3.0
