,纯收入在10000-11000元的户数占调查户比重,纯收入在11000-12000元的户数占调查户比重,纯收入在12000-13000元的户数占调查户比重,纯收入在13000-14000元的户数占调查户比重,纯收入在14000-15000元的户数占调查户比重,纯收入在15000-16000元的户数占调查户比重,纯收入在16000-17000元的户数占调查户比重,纯收入在17000-18000元的户数占调查户比重,纯收入在18000-19000元的户数占调查户比重,纯收入在19000-20000元的户数占调查户比重,纯收入在2000-3000元的户数占调查户比重,纯收入在20000元以上的户数占调查户比重,纯收入在2000元以下的户数占调查户比重,纯收入在3000-4000元的户数占调查户比重,纯收入在4000-5000元的户数占调查户比重,纯收入在5000-6000元的户数占调查户比重,纯收入在6000-7000元的户数占调查户比重,纯收入在7000-8000元的户数占调查户比重,纯收入在8000-9000元的户数占调查户比重,纯收入在9000-10000元的户数占调查户比重
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.846165126851,0.632057486435,0.456078603901,0.290365156181,0.221440093855,0.190643789412,0.111453292272,0.104120838833,0.0850564598915,0.0615926088869,23.9140636457,0.372488634697,29.4295351225,17.1212787799,10.5719313682,6.30004399472,3.77474703036,2.54289485262,1.69526323508,1.27877987975
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,2.56782519431,1.8844405338,1.53394925942,1.12186537615,0.929755096055,0.715647455639,0.560199442734,0.454612113213,0.356357237132,0.268367795864,14.8863469717,1.56621205455,13.2937380848,15.1224519724,12.9007185804,10.3152954979,7.85012465171,6.06980495674,4.3334799824,3.26880774307
2010年,3.25267634551,2.51356503886,1.94163367063,1.5603460918,1.2362516498,1.02947646282,0.819768294471,0.654054846752,0.505939287286,0.401818448453,12.221733392,2.35078457252,9.51605807303,13.2350784573,12.6206188591,10.8007039155,8.74761695263,6.94969936941,5.43481448893,4.20736178325
2011年,4.13903233681,3.38083916058,2.91144156283,2.2085302947,1.8590330132,1.54799459639,1.22561074224,0.983338683273,0.815570738368,0.725443162177,9.04101281659,4.08415510673,7.40419139478,10.6185055501,10.930888076,10.091542504,9.02943613465,7.80508278484,6.10143167857,5.0968907576
2012年,4.82591387981,3.94745062134,3.21590528231,2.76799535311,2.39418641912,1.89309575231,1.65132971322,1.36046599369,1.21301424698,0.990566983707,7.42405116893,6.03566745216,5.63257015753,9.03789755162,9.75000869273,9.29322568875,8.71138282758,7.5680835356,6.63869027068,5.64849840883
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
