,其他制造业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,其他服务业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,农、林、牧、渔业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,化学工业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,建筑业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,房地产业、租赁和商务服务业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,批发零售贸易、住宿和餐饮业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,机械设备制造业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,炼焦、燃气及石油加工业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,电力、热力及水的生产和供应业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,纺织、服装及皮革产品制造业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业中间使用,运输仓储邮政、信息传输、计算机服务和软件业劳动者报酬,运输仓储邮政、信息传输、计算机服务和软件业固定资产折旧,运输仓储邮政、信息传输、计算机服务和软件业增加值,运输仓储邮政、信息传输、计算机服务和软件业总投入,运输仓储邮政、信息传输、计算机服务和软件业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业生产税净额,运输仓储邮政、信息传输、计算机服务和软件业营业盈余,采矿业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,金属产品制造业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,金融业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,非金属矿物制品业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,食品、饮料制造及烟草制品业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,1700366.4,772984.732,126774.34,1426581.0,2081578.0,3845842.1,2097770.0,17182136.47,11542863.6,2520127.0,555077.1,51245687.263,22579368.4225,19920751.9395,54462291.4668,105707978.73,4130580.23,3381508.62449,8580662.4803,388500.391,526231.5,1617536.0,247507.4,483231.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,1442645.80938,1404093.24342,1316764.23966,1372514.04495,1961900.18091,3046149.54912,4253101.00107,14442298.9304,18079700.9438,2104394.80114,619769.914808,75805408.6921,30961105.2413,18403661.9568,70258883.4098,146064292.102,16286143.0106,6110360.43879,14783755.7729,777985.650559,828340.337092,7251456.06417,256964.222222,361186.748743
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,5766340.02907,5144507.70159,3534741.4528,3620578.94985,4889866.05271,5591783.74556,11066662.7612,49306843.949,42836257.1509,7365134.6022,1371664.11929,193915206.595,37220936.4742,40680122.3969,156696279.495,350611486.09,37461067.3196,13247314.0439,65547906.5796,2155261.68414,2583349.0538,10018543.3564,482062.57273,720542.09462
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,4105473.56006,9942864.76792,3797406.65115,4595095.0345,1369374.91656,8333011.71429,12111215.597,46287539.4847,59857020.2367,6241333.56806,2625754.60002,214575371.649,51981000.1017,53504991.374,210037536.482,424612908.131,30896051.6732,17670207.3333,86881337.6727,1515689.42252,2439405.39318,17250417.202,557256.555792,2650461.2712
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,8831213.2465,17162196.3741,11463047.4512,9386463.54253,2889553.57884,18591085.9327,23534924.367,75779844.8372,90207336.8543,11218001.9933,4502406.88036,378202315.471,104106145.575,57375756.1209,283141352.716,661343668.187,59453606.3436,22632647.4705,99026803.5493,2393010.64484,5495407.08676,31965144.1113,1107051.50735,4222020.71911
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,12206073.8783,20189511.7173,8469781.90628,9867406.43889,5971732.4804,26867495.5711,29892261.3745,94154491.5684,97820235.2397,9589233.44116,2870133.45209,523175307.958,146990164.09,80036868.6526,347342207.316,870517515.273,127969385.203,12481612.9534,107833561.62,579644.645139,4415210.58798,61492484.4094,959658.240955,9860567.80323
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
