,其他制造业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,其他服务业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,农、林、牧、渔业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,化学工业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,建筑业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,房地产业、租赁和商务服务业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,批发零售贸易、住宿和餐饮业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,机械设备制造业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,炼焦、燃气及石油加工业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,电力、热力及水的生产和供应业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,纺织、服装及皮革产品制造业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业中间使用,运输仓储邮政、信息传输、计算机服务和软件业劳动者报酬,运输仓储邮政、信息传输、计算机服务和软件业固定资产折旧,运输仓储邮政、信息传输、计算机服务和软件业增加值,运输仓储邮政、信息传输、计算机服务和软件业总投入,运输仓储邮政、信息传输、计算机服务和软件业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业生产税净额,运输仓储邮政、信息传输、计算机服务和软件业营业盈余,采矿业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,金属产品制造业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,金融业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,非金属矿物制品业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,食品、饮料制造及烟草制品业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,1331463.55853,476442.265451,111894.776246,1080005.52411,1362719.10086,2163407.12103,1473558.1775,10031861.3814,5585580.25015,1154518.04328,459631.725217,31017291.5175,15385375.6974,11462637.8799,39234607.2383,70251898.7558,3116228.73414,3217431.42124,9169162.23971,433717.793945,427799.159583,1106937.97308,293976.922181,407549.010837
