,其他制造业提供给食品、饮料制造及烟草制品业的中间使用,其他服务业提供给食品、饮料制造及烟草制品业的中间使用,农、林、牧、渔业提供给食品、饮料制造及烟草制品业的中间使用,化学工业提供给食品、饮料制造及烟草制品业的中间使用,建筑业提供给食品、饮料制造及烟草制品业的中间使用,房地产业、租赁和商务服务业提供给食品、饮料制造及烟草制品业的中间使用,批发零售贸易、住宿和餐饮业提供给食品、饮料制造及烟草制品业的中间使用,机械设备制造业提供给食品、饮料制造及烟草制品业的中间使用,炼焦、燃气及石油加工业提供给食品、饮料制造及烟草制品业的中间使用,电力、热力及水的生产和供应业提供给食品、饮料制造及烟草制品业的中间使用,纺织、服装及皮革产品制造业提供给食品、饮料制造及烟草制品业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给食品、饮料制造及烟草制品业的中间使用,采矿业提供给食品、饮料制造及烟草制品业的中间使用,金属产品制造业提供给食品、饮料制造及烟草制品业的中间使用,金融业提供给食品、饮料制造及烟草制品业的中间使用,非金属矿物制品业提供给食品、饮料制造及烟草制品业的中间使用,食品、饮料制造及烟草制品业中间使用,食品、饮料制造及烟草制品业劳动者报酬,食品、饮料制造及烟草制品业固定资产折旧,食品、饮料制造及烟草制品业增加值,食品、饮料制造及烟草制品业总投入,食品、饮料制造及烟草制品业提供给食品、饮料制造及烟草制品业的中间使用,食品、饮料制造及烟草制品业生产税净额,食品、饮料制造及烟草制品业营业盈余
2000年,3974829.4,176170.0,59862700.0,4083860.0,82607.8,1964981.7,5867276.0,1274015.3,394562.62,1527740.0,334723.0,1982753.23,518939.2,947916.6,901546.0,734792.0,100399412.85,18150700.7412,7041765.46391,46108690.4377,146508103.288,15770000.0,11616865.6476,9299358.58498
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,3445671.57186,1056733.74734,48665195.4745,4769906.93425,39328.098612,3359790.18799,7751174.54554,1268581.56504,351415.251848,1601605.95781,288534.161111,3898697.3603,578517.744972,1267906.48121,1146338.98657,829371.132731,99835961.0666,12041767.5363,6419373.16391,44971866.8452,144807827.912,19517191.865,16584325.0676,9926401.07737
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,5439680.48202,2554455.16651,92360742.814,8000008.05808,85651.4352437,5160389.71255,10083866.7315,2029425.43744,779765.213164,2898799.82891,515159.707921,7997428.02674,1224671.89593,2208122.02565,1613729.68265,1509295.36771,185142021.378,15307412.7742,7781458.86211,73635934.4385,258777955.816,40680829.7919,25664925.205,24882137.5972
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,10203995.6332,3083167.54836,159461184.418,12303066.2922,107563.857623,6357898.56584,12253098.724,3150791.55443,1526463.99946,4800059.80908,749352.487923,11887284.76,1499129.31059,2421013.3469,3921119.03644,2827726.03243,316119411.08,30907477.6161,14051519.7402,101784535.574,417903946.654,79566495.704,32419380.3727,24406157.8447
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,14883696.0859,5132257.67007,267409864.683,18635924.2553,190607.391301,12324720.9092,20326236.4567,4875077.11062,1896848.08481,7679627.51691,1233454.68877,20730717.0543,2087163.21531,3887410.34356,6952813.42478,4665757.48611,532194044.899,41390650.5253,12827120.8306,142128809.449,674322854.348,139281868.522,46684861.658,41226176.435
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,11777338.4659,5540277.59517,318414724.282,17482243.0523,953145.051002,11339615.1666,45545282.947,3177810.34608,1410629.69226,7831247.97683,1512004.60916,28801681.3009,2207682.09917,2771168.69261,9663331.72753,3967006.04778,672600996.643,64181322.6406,21676418.0107,206994841.402,879595838.044,200205807.59,62368022.9935,58769077.7569
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
