,其他制造业提供给纺织、服装及皮革产品制造业的中间使用,其他服务业提供给纺织、服装及皮革产品制造业的中间使用,农、林、牧、渔业提供给纺织、服装及皮革产品制造业的中间使用,化学工业提供给纺织、服装及皮革产品制造业的中间使用,建筑业提供给纺织、服装及皮革产品制造业的中间使用,房地产业、租赁和商务服务业提供给纺织、服装及皮革产品制造业的中间使用,批发零售贸易、住宿和餐饮业提供给纺织、服装及皮革产品制造业的中间使用,机械设备制造业提供给纺织、服装及皮革产品制造业的中间使用,炼焦、燃气及石油加工业提供给纺织、服装及皮革产品制造业的中间使用,电力、热力及水的生产和供应业提供给纺织、服装及皮革产品制造业的中间使用,纺织、服装及皮革产品制造业中间使用,纺织、服装及皮革产品制造业劳动者报酬,纺织、服装及皮革产品制造业固定资产折旧,纺织、服装及皮革产品制造业增加值,纺织、服装及皮革产品制造业总投入,纺织、服装及皮革产品制造业提供给纺织、服装及皮革产品制造业的中间使用,纺织、服装及皮革产品制造业生产税净额,纺织、服装及皮革产品制造业营业盈余,运输仓储邮政、信息传输、计算机服务和软件业提供给纺织、服装及皮革产品制造业的中间使用,采矿业提供给纺织、服装及皮革产品制造业的中间使用,金属产品制造业提供给纺织、服装及皮革产品制造业的中间使用,金融业提供给纺织、服装及皮革产品制造业的中间使用,非金属矿物制品业提供给纺织、服装及皮革产品制造业的中间使用,食品、饮料制造及烟草制品业提供给纺织、服装及皮革产品制造业的中间使用
2000年,1462122.57,172520.38,14297790.0,14821590.0,115377.6,1405784.6,9104068.0,2321165.7,357705.27,1470560.0,125946715.203,20351218.0088,8593984.82673,44945383.0652,170892098.268,72946931.0,8570927.50227,7429252.72735,2610251.4,387774.383,464741.3,1407194.0,169958.7,2431180.3
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,2194545.4671,1414760.09512,14929518.0096,13670509.2576,66420.4050974,4018055.33359,8525567.37159,2929626.93683,465639.858497,2582377.95836,117744729.883,18459317.0335,5010471.52952,38609628.3512,156354358.234,58077333.6257,6093461.783,9046378.00517,3335444.30102,509728.517196,667973.267182,1560268.99381,327418.206525,2469542.27832
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,3751798.31646,3560144.50903,31012593.8832,27083408.4811,151369.494819,6058597.47056,12006235.6043,4830239.63311,1130441.07776,5139124.71269,216319757.275,27503029.0021,7818374.46561,64500343.4911,280820100.767,102906083.043,10205817.4953,18973122.5281,8677713.3326,1322065.10724,1255379.09717,2150454.38791,626596.169083,4657512.95539
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,7110725.26328,3015702.69435,44092208.5075,40750401.9806,98445.8814385,5929103.59742,8238132.86822,6882443.98453,2134594.8107,7153135.68827,343236817.464,37411997.2482,8461686.15635,89462465.644,432699283.108,188117751.691,19060065.8839,24528716.3556,9363765.51105,1863066.81909,1655480.69445,5216168.47105,812110.166712,10803578.8344
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,9316436.30102,3836403.09114,62778411.5436,49582121.9914,139328.346486,9208345.29174,11142629.472,8567601.16147,2291032.16237,8479185.69266,454191823.319,59503216.4494,11709066.7632,113526154.07,567717977.389,247546835.179,19934070.1045,22379800.7527,13712425.1582,2141602.12841,2184167.99134,7630612.71459,1085704.04669,14548981.0471
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,6045303.14666,3676813.06302,73490811.3048,55845849.8972,658204.364508,4815239.18399,36600516.9601,4855200.71705,955442.941279,9561630.00009,530028180.931,67871780.262,13535654.25,132792602.84,662820783.77,295462828.719,17744167.3927,33641000.9353,14456224.4568,1605872.15397,1100063.63673,7020004.24686,492842.27145,13385333.8673
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
