,一般旅馆主营业务税金及附加,中外合作经营住宿业企业主营业务税金及附加,中外合资经营住宿业企业主营业务税金及附加,住宿业企业主营业务税金及附加,其他住宿业企业主营业务税金及附加,其他住宿服务主营业务税金及附加,其他外商投资住宿业企业主营业务税金及附加,其他有限责任公司住宿业企业主营业务税金及附加,其他港澳台商投资住宿业企业主营业务税金及附加,其他联营住宿业企业主营业务税金及附加,内资住宿业企业主营业务税金及附加,国有与集体联营住宿业企业主营业务税金及附加,国有住宿业企业主营业务税金及附加,国有独资公司住宿业企业主营业务税金及附加,国有联营住宿业企业主营业务税金及附加,外商投资住宿业企业主营业务税金及附加,外商投资股份有限公司住宿业企业主营业务税金及附加,外资住宿业企业主营业务税金及附加,旅游饭店主营业务税金及附加,有限责任公司住宿业企业主营业务税金及附加,港、澳、台商合作经营住宿业企业主营业务税金及附加,港、澳、台商合资经营住宿业企业主营业务税金及附加,港、澳、台商投资住宿业企业主营业务税金及附加,港、澳、台商投资股份有限公司住宿业企业主营业务税金及附加,港、澳、台商独资经营住宿业企业主营业务税金及附加,私营住宿业企业主营业务税金及附加,私营合伙住宿业企业主营业务税金及附加,私营有限责任公司住宿业企业主营业务税金及附加,私营独资住宿业企业主营业务税金及附加,私营股份有限公司住宿业企业主营业务税金及附加,联营住宿业企业主营业务税金及附加,股份合作住宿业企业主营业务税金及附加,股份有限公司住宿业企业主营业务税金及附加,集体住宿业企业主营业务税金及附加,集体联营住宿业企业主营业务税金及附加
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,2.7423,1.55616,3.63962,61.84342,0.28026,0.36199,0.0,11.17371,0.0,0.07894,46.44432,0.23099,16.88747,1.09778,0.53701,6.54863,0.07136,1.28149,58.73913,12.27149,2.29236,5.82929,8.85047,0.04415,0.68467,9.7498,0.32315,7.08023,1.70943,0.63699,0.90873,0.83978,2.67115,2.83564,0.06179
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,14.6035,1.916,5.8082,120.2026,1.1864,1.733,0.0,27.4969,0.0,0.1626,96.2152,0.1417,26.1884,1.7259,0.3609,11.3746,0.2071,3.4433,103.866,29.2227,1.9879,7.4143,12.6128,0.2396,2.971,29.6643,1.6216,20.929,5.6277,1.486,0.7119,1.2315,4.4061,3.6039,0.0
2009年,15.38373,1.66075,4.77956,121.63251,1.58085,2.00032,0.0,29.71008,0.0,0.05118,99.64307,0.20809,25.80081,1.45713,0.36216,9.98634,0.2034,3.34263,104.24846,31.16721,1.87863,6.68485,12.0031,0.3015,3.13812,31.67272,1.62038,22.46541,5.87125,1.71568,0.67699,0.98896,4.36586,3.38967,0.05556
2010年,20.1,1.8,5.2,150.0,1.9,2.5,0.0,39.5,0.0,0.1,124.3,0.2,28.9,1.7,0.4,11.1,0.3,3.8,127.4,41.2,2.2,7.8,14.6,0.3,4.3,41.0,1.7,29.2,7.7,2.3,0.7,1.1,5.4,4.0,0.1
2011年,22.7207,1.9552,6.1064,175.1466,4.955,2.9301,0.0651,50.1294,0.0,0.1218,144.4979,0.1432,31.4141,2.0707,0.3399,12.9254,0.3399,4.4588,149.4959,52.2001,2.3935,9.5397,17.7233,0.4942,5.2614,43.5124,1.789,32.1906,7.0315,2.5013,0.6848,1.178,6.4585,4.095,0.0799
2012年,25.36464,2.03462,5.75929,182.83692,5.70056,3.32644,0.08893,54.77206,0.0,0.12007,153.17963,0.11783,32.36855,2.25022,0.33594,12.1989,0.20008,4.11598,154.14584,57.02228,2.25918,9.26313,17.45839,0.55357,5.36792,46.17603,1.72911,34.41716,7.45349,2.57627,0.65065,1.16712,5.89093,4.20351,0.07681
2013年,30.03808,1.69977,6.00003,187.16437,1.77765,4.08691,0.06415,62.76929,0.06992,0.0,157.23956,0.05559,24.68092,5.39865,0.1754,12.24464,0.17055,4.31014,153.03938,68.16794,1.97347,9.05136,17.68017,0.54386,6.04156,51.93406,1.3217,42.24283,5.54757,2.82196,0.31985,0.62138,6.41413,3.32363,0.05752
2014年,31.16138,1.31852,5.64947,190.0764,1.47253,3.8,0.29945,66.62399,0.02174,0.0251,156.92951,0.06762,22.25284,5.6517,0.16474,11.51102,0.22273,4.02085,155.16912,72.27569,3.00855,8.34293,21.63583,0.73761,9.525,51.1571,1.12922,42.4329,4.79932,2.79566,0.28473,0.49288,6.09624,2.8975,0.02727
