,一般旅馆主营业务成本,中外合作经营住宿业企业主营业务成本,中外合资经营住宿业企业主营业务成本,住宿业企业主营业务成本,其他住宿业企业主营业务成本,其他住宿服务主营业务成本,其他外商投资住宿业企业主营业务成本,其他有限责任公司住宿业企业主营业务成本,其他港澳台商投资住宿业企业主营业务成本,其他联营住宿业企业主营业务成本,内资住宿业企业主营业务成本,国有与集体联营住宿业企业主营业务成本,国有住宿业企业主营业务成本,国有独资公司住宿业企业主营业务成本,国有联营住宿业企业主营业务成本,外商投资住宿业企业主营业务成本,外商投资股份有限公司住宿业企业主营业务成本,外资住宿业企业主营业务成本,旅游饭店主营业务成本,有限责任公司住宿业企业主营业务成本,港、澳、台商合作经营住宿业企业主营业务成本,港、澳、台商合资经营住宿业企业主营业务成本,港、澳、台商投资住宿业企业主营业务成本,港、澳、台商投资股份有限公司住宿业企业主营业务成本,港、澳、台商独资经营住宿业企业主营业务成本,私营住宿业企业主营业务成本,私营合伙住宿业企业主营业务成本,私营有限责任公司住宿业企业主营业务成本,私营独资住宿业企业主营业务成本,私营股份有限公司住宿业企业主营业务成本,联营住宿业企业主营业务成本,股份合作住宿业企业主营业务成本,股份有限公司住宿业企业主营业务成本,集体住宿业企业主营业务成本,集体联营住宿业企业主营业务成本
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,17.76011,7.0073,13.86721,335.87961,1.99306,2.16273,0.0,60.09078,0.0,0.33878,261.42873,0.65218,97.1119,4.95497,2.21076,27.54133,0.42988,6.23694,315.95677,65.04575,9.41468,33.43777,46.90955,0.17217,3.88493,57.09077,2.66046,38.77735,11.84563,3.80733,3.77058,5.04641,14.30469,17.06557,0.56886
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
