,一般旅馆主营业务收入,中外合作经营住宿业企业主营业务收入,中外合资经营住宿业企业主营业务收入,住宿业企业主营业务收入,其他住宿业企业主营业务收入,其他住宿服务主营业务收入,其他外商投资住宿业企业主营业务收入,其他有限责任公司住宿业企业主营业务收入,其他港澳台商投资住宿业企业主营业务收入,其他联营住宿业企业主营业务收入,内资住宿业企业主营业务收入,国有与集体联营住宿业企业主营业务收入,国有住宿业企业主营业务收入,国有独资公司住宿业企业主营业务收入,国有联营住宿业企业主营业务收入,外商投资住宿业企业主营业务收入,外商投资股份有限公司住宿业企业主营业务收入,外资住宿业企业主营业务收入,旅游饭店主营业务收入,有限责任公司住宿业企业主营业务收入,港、澳、台商合作经营住宿业企业主营业务收入,港、澳、台商合资经营住宿业企业主营业务收入,港、澳、台商投资住宿业企业主营业务收入,港、澳、台商投资股份有限公司住宿业企业主营业务收入,港、澳、台商独资经营住宿业企业主营业务收入,私营住宿业企业主营业务收入,私营合伙住宿业企业主营业务收入,私营有限责任公司住宿业企业主营业务收入,私营独资住宿业企业主营业务收入,私营股份有限公司住宿业企业主营业务收入,联营住宿业企业主营业务收入,股份合作住宿业企业主营业务收入,股份有限公司住宿业企业主营业务收入,集体住宿业企业主营业务收入,集体联营住宿业企业主营业务收入
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,50.46734,31.12226,71.59095,1155.44681,4.81771,6.4613,0.0,198.3457,0.0,1.26909,841.4986,4.48426,325.94816,21.86233,10.00998,128.36609,1.30061,24.35227,1098.51817,220.20803,45.30541,126.33715,185.58212,0.95682,12.98274,158.55039,5.85911,114.08598,27.99741,10.60789,16.96958,14.70582,49.32948,50.96943,1.20625
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
