,国内金融交易资金运用_中央银行贷款,国内金融交易资金运用_保险准备金,国内金融交易资金运用_其他(净),国内金融交易资金运用_其他对外债权债务,国内金融交易资金运用_净金融投资,国内金融交易资金运用_准备金,国内金融交易资金运用_国际储备资产,国内金融交易资金运用_国际收支错误与遗漏,国内金融交易资金运用_存款,国内金融交易资金运用_库存现金,国内金融交易资金运用_未贴现的银行承兑汇票,国内金融交易资金运用_直接投资,国内金融交易资金运用_证券,国内金融交易资金运用_证券公司客户保证金,国内金融交易资金运用_证券投资基金份额,国内金融交易资金运用_贷款,国内金融交易资金运用_资金来源,国内金融交易资金运用_资金运用,国内金融交易资金运用_通货,国内金融交易资金运用_金融机构往来
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,71.8,-1264.0,0.0,353.1,0.0,-117.0,0.0,5964.7,0.0,0.0,0.0,1152.9,0.0,0.0,5695.0,0.0,14199.9,1162.1,0.0
1993年,2917.12,87.93,-539.66,0.0,-658.08,1574.52,101.83,0.0,6478.43,221.76,0.0,0.0,637.82,0.0,0.0,7573.55,0.0,21978.02,1528.7,52.6
1994年,859.29,125.22,-170.99,0.0,662.04,2062.28,2631.01,0.0,11776.92,29.03,0.0,0.0,1616.29,0.0,0.0,9174.66,0.0,31419.54,1424.0,26.15
1995年,888.58,137.84,-2146.35,0.0,136.8,2280.02,1877.41,0.0,13414.0,61.06,0.0,0.0,2062.45,0.0,0.0,9946.4,0.0,32234.6,596.74,-37.67
1996年,3817.06,197.03,-1416.35,0.0,611.93,3670.19,2631.52,0.0,16720.53,-38.87,0.0,0.0,2714.17,0.0,0.0,15130.59,0.0,47508.0,916.67,-506.27
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,-1976.51,312.38,761.74,3154.17,2358.8,-1742.94,532.01,0.0,14558.75,64.22,0.0,218.06,7351.87,0.0,0.0,11375.42,0.0,35946.2,966.79,790.0
1999年,418.86,598.8,-1188.52,3540.0,1298.22,241.22,704.0,0.0,12464.33,884.15,0.0,147.0,5428.4,0.0,0.0,11018.02,0.0,38722.25,2116.25,1965.8
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,288.24,1219.88,1025.33,988.35,1435.66,2082.65,3917.01,0.0,19309.58,-52.13,0.0,569.89,4681.02,0.0,0.0,11766.67,0.0,45753.59,987.86,-1312.67
2002年,-635.54982099,2635.081944,-271.966816161,603.71138511,2928.44021525,1800.78333574,6249.7193562,0.0,28080.5563304,141.63117007,0.0,208.44854739,7275.93637659,0.0,0.0,20259.2260995,0.0,69083.4003323,1494.08859254,1185.944277
2003年,1019.97716591,3193.6146,891.476712458,1846.9041213,3726.09801813,3896.82255523,9686.001987,0.0,36600.059553,329.718791297,0.0,-12.60371898,9678.02145672,0.0,0.0,27958.9674698,0.0,99326.8475387,2320.3592877,1748.41505298
2004年,-1171.27998242,3647.9591857,2937.78307905,172.376526896,5682.14961817,4353.88396615,17080.335552,0.0,32061.2582423,76.0694171943,0.0,149.400626704,13974.3298632,0.0,0.0,24101.3065987,0.0,99465.097106,1623.31426914,568.994336541
2005年,-1582.88502611,4394.1236463,2351.52150682,4242.79017517,13503.8951738,2483.60654231,16958.129672,0.0,42312.9777525,376.807054635,0.0,926.128043896,21299.93,0.0,0.0,23968.2196173,0.0,123282.777359,2409.89054483,3379.96289262
2006年,-1629.0,4607.0,4028.0,10825.0,20300.0,11214.0,19692.0,0.0,49967.0,113.0,0.0,1421.0,22790.0,3416.0,1191.0,32572.0,0.0,162457.0,2858.0,-2300.0
2007年,-8714.0,6567.0,5251.0,8154.0,25575.0,20713.0,32618.0,0.0,52037.0,384.0,0.0,1201.0,38536.0,8986.0,5437.0,39756.0,0.0,212332.0,3105.0,-2183.0
2008年,-485.0,8577.0,1529.0,2401.0,31296.0,21100.0,29119.0,0.0,79629.0,50.0,0.0,3716.0,29475.0,-5340.0,3320.0,52096.0,0.0,224854.0,3865.0,-4197.0
2009年,-1589.0,8791.0,-643.0,-1922.0,20911.0,11507.0,27216.0,0.0,132380.0,416.0,0.0,2999.0,29585.0,6272.0,-1206.0,107619.0,0.0,326391.0,3803.0,1165.0
2010年,469.058602,6304.872357,19394.6024335,2377.86886162,25772.9332939,33260.799686,31934.3734471,0.0,130024.73085,713.992937,46692.0,4071.89990297,39202.8748333,-2354.27387711,-1547.19305069,97226.5845625,0.0,416212.724787,6116.99074898,2323.54249251
2011年,-727.0,7348.0,26753.0,1530.0,13234.0,36154.0,25057.0,0.0,114222.0,1072.0,20542.0,3211.0,21196.0,-6466.0,2258.0,95764.0,0.0,356014.0,5792.0,2308.0
2012年,476.0,14274.0,51740.0,4529.0,12408.0,23150.0,6069.0,0.0,131756.0,971.0,20998.0,3919.0,43961.0,-663.0,5033.0,122250.0,0.0,441465.0,3675.0,9329.0
2013年,412.737557982,14001.1494871,54594.5644295,6531.32730388,11463.1376384,14302.3222683,26605.9559719,0.0,155686.831434,441.636629972,15511.3108241,4517.43077312,37526.648524,-305.16339561,1329.298665,148048.534539,0.0,488648.517134,3680.47369709,5763.45842417
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
