,其他批发主营业务成本,农畜产品批发主营业务成本,化肥批发主营业务成本,医药及医疗器材批发主营业务成本,家用电器批发主营业务成本,建材批发主营业务成本,文化、体育用品及器材批发主营业务成本,服装批发主营业务成本,机械设备、五金交电及电子产品批发主营业务成本,汽车、摩托车及零配件批发主营业务成本,烟草制品批发主营业务成本,煤炭及制品批发主营业务成本,石油及制品批发主营业务成本,矿产品、建材及化工产品批发主营业务成本,米、面制品及食用油批发主营业务成本,纺织、服装及日用品批发主营业务成本,计算机、软件及辅助设备批发主营业务成本,贸易经纪与代理主营业务成本,金属及金属矿批发主营业务成本,食品、饮料及烟草制品批发主营业务成本
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,670.9879,0.0,143.8887,0.0,0.0,970.9438,975.3282,2973.7497,340.6676,1854.7912,0.0,800.5874,0.0,0.0,0.0,0.0,4957.2069
1999年,0.0,0.0,0.0,767.0431,0.0,147.1072,0.0,0.0,1005.5344,971.985,2978.9668,446.0369,2673.9367,0.0,799.4178,1277.8951,0.0,0.0,0.0,4900.6078
2000年,662.8556,0.0,0.0,896.593,0.0,133.9082,0.0,0.0,1147.7714,1073.3177,3371.2465,420.5913,4956.791,0.0,794.6045,0.0,0.0,0.0,0.0,5207.285
2001年,0.0,0.0,0.0,1078.2494,0.0,146.7328,0.0,0.0,0.0,1186.9092,3060.2558,501.5281,5510.0178,0.0,831.2687,0.0,0.0,0.0,0.0,4888.3757
2002年,0.0,0.0,0.0,1285.187,0.0,203.3297,0.0,0.0,0.0,1592.359,3077.8662,532.9645,5804.3912,0.0,921.6098,0.0,0.0,0.0,0.0,4961.6554
2003年,948.92147,1234.83962,643.70101,1604.13233,516.24081,435.0259,522.43997,991.81206,5001.50888,1919.65292,3586.60523,695.67969,6215.47609,13083.99019,609.16513,3058.71228,253.60606,623.86557,3773.73552,5132.6211
2004年,2012.20784,1632.08502,887.87953,2481.51615,1403.27518,1281.8734,855.96804,1737.50505,10956.19031,3310.69435,4413.74333,2028.43683,12644.15252,30211.70426,773.21832,4617.57335,1066.44899,571.78389,9931.32053,6810.6421
2005年,2826.16776,1605.81316,997.73973,2683.96218,1437.00867,1282.21017,841.45926,1778.50263,9379.30214,2583.37879,4707.92105,2344.35687,13994.89488,32431.86871,614.94601,4709.50378,936.80531,640.44822,10284.62829,6929.3855
2006年,2636.8504,1703.1022,1125.5665,2954.1593,1729.2277,1547.8673,936.0253,2239.2004,10817.0484,2200.1668,4731.6744,2573.4065,16699.8732,39073.4957,617.9344,5635.2179,1033.6518,1351.0602,13160.1158,7285.8429
2007年,3210.26976,1798.6024,1341.66353,3488.18273,2264.13733,2252.13955,1050.49642,2515.02564,13266.17472,3117.36279,4879.10712,3633.21576,20517.07844,49421.71101,706.67383,6379.53198,1285.7404,1608.51817,16963.99095,7858.22923
2008年,4730.7175,2534.3575,2207.786,4749.2862,2840.0178,3823.9854,1783.8441,3094.8139,21366.405,6688.7307,5779.7741,8709.7531,26725.2244,85065.9301,1268.8024,8501.7631,1990.178,3257.7768,34756.8448,10394.7827
2009年,3344.8996,2656.13517,2074.66585,5599.24807,3546.59471,3835.53119,1593.8987,2936.76496,20902.00183,6255.64993,6412.31114,8801.33453,25366.32088,76134.61836,1295.41904,7970.65166,2153.58274,2574.77039,28282.92307,11154.45275
2010年,4845.0,3406.1,2271.9,6530.5,4909.5,5099.8,2176.1,3463.2,28728.0,9487.3,7113.0,14186.9,34668.2,111005.2,1838.4,10065.0,2668.4,3020.9,42638.1,13705.6
2011年,6175.2812,4376.8385,3257.4716,8460.8971,5959.2357,7582.8912,2899.3816,4600.1364,36478.5204,11695.4974,8296.2567,19374.0245,46740.9301,149198.0336,2432.0282,12827.2653,4003.7621,3562.1968,56492.6304,16839.605
2012年,6203.75575,5318.85982,4490.06135,9677.81084,6319.66808,8576.35094,4175.14692,5213.00049,34099.43925,12112.84745,9703.69029,23405.26266,53578.39273,170192.01069,3086.98423,20601.46145,3457.29861,3551.78179,60268.55985,19798.15351
2013年,7463.07265,7038.80431,4856.28102,12106.22282,7695.1568,10036.26857,5396.45304,6201.18565,39849.38103,13908.0508,10710.44679,28466.97415,61665.64626,207316.39543,4175.5324,25153.03663,3671.69587,4250.67029,74794.18938,25157.6724
2014年,7941.45956,7308.59234,6141.97087,14255.34231,7810.37626,10758.51628,5905.26864,6765.74922,45160.55466,15707.01478,11543.7033,27393.72288,62659.26739,221563.07253,4643.95291,27875.62041,3933.63453,4607.18951,82726.44741,28497.3297
