,其他批发主营业务利润,农畜产品批发主营业务利润,化肥批发主营业务利润,医药及医疗器材批发主营业务利润,家用电器批发主营业务利润,建材批发主营业务利润,文化、体育用品及器材批发主营业务利润,服装批发主营业务利润,机械设备、五金交电及电子产品批发主营业务利润,汽车、摩托车及零配件批发主营业务利润,烟草制品批发主营业务利润,煤炭及制品批发主营业务利润,石油及制品批发主营业务利润,矿产品、建材及化工产品批发主营业务利润,米、面制品及食用油批发主营业务利润,纺织、服装及日用品批发主营业务利润,计算机、软件及辅助设备批发主营业务利润,贸易经纪与代理主营业务利润,金属及金属矿批发主营业务利润,食品、饮料及烟草制品批发主营业务利润
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,49.5591,0.0,4.1195,0.0,0.0,28.1967,19.4727,264.5526,13.9537,65.9046,0.0,-16.5571,0.0,0.0,0.0,0.0,299.6606
1999年,0.0,0.0,0.0,54.4301,0.0,4.8861,0.0,0.0,29.0492,16.6171,258.1582,18.0067,116.4223,0.0,-10.3005,54.7461,0.0,0.0,0.0,301.2814
2000年,37.8834,0.0,0.0,55.6265,0.0,3.6203,0.0,0.0,32.9264,19.7272,332.2164,15.4263,114.1275,0.0,0.0,0.0,0.0,0.0,0.0,358.4206
2001年,0.0,0.0,0.0,65.5954,0.0,4.069,0.0,0.0,0.0,27.4232,332.9562,16.1976,49.1238,0.0,-27.0386,0.0,0.0,0.0,0.0,367.0469
2002年,0.0,0.0,0.0,66.3418,0.0,6.9697,0.0,0.0,0.0,52.8083,399.9157,22.0769,130.77,0.0,-36.0314,0.0,0.0,0.0,0.0,422.1753
2003年,20.8494,0.31956,14.25606,73.24297,6.96997,9.6984,35.13368,41.94206,148.4037,59.07183,512.75183,24.40879,197.28992,363.48284,1.24282,102.98816,5.89566,63.08728,82.08009,561.31282
2004年,102.7866,60.45202,33.2073,185.01966,66.23937,57.51778,75.603,112.3874,624.29306,135.66356,786.00525,205.18461,640.15885,1430.93842,31.43581,310.4843,38.00952,25.41509,327.52554,980.26601
2005年,220.03091,76.77783,45.30428,188.00598,114.50746,54.50644,75.88919,116.64355,668.54657,116.32945,975.33403,249.82177,712.57718,1489.20947,20.32167,305.49893,29.40121,33.40679,281.99473,1173.9024
2006年,157.2298,83.3241,45.484,214.0228,144.3913,64.6778,90.2422,151.5427,802.3581,112.5439,1129.9397,226.934,883.0114,1784.9703,22.5024,405.6524,39.4111,56.264,380.1792,1382.6262
2007年,226.12456,98.41102,68.10601,256.60286,204.56007,95.87044,112.40437,219.27493,1092.46004,183.48518,1353.73186,350.19614,1018.62551,2243.64452,32.59153,564.3348,50.9781,61.66741,506.60219,1680.45451
2008年,345.5261,187.3361,139.5817,507.255,300.7997,213.5477,219.2512,385.2551,2094.8202,516.3207,1709.6814,996.6306,1274.752,4411.2075,88.4604,1028.8329,94.8721,173.1452,1252.6342,2437.1649
2009年,175.59518,183.2629,53.99367,502.97763,336.14319,177.40997,183.28533,383.58552,1994.99436,524.15944,1723.41325,676.59873,1733.56839,3950.83123,89.79649,1055.15142,102.01755,154.19288,843.62385,2471.89946
2010年,218.3,238.0,100.9,627.4,454.5,224.9,217.7,462.9,2732.9,829.4,1764.2,1008.8,1460.9,4544.3,107.9,1287.2,134.5,208.3,1137.9,2761.6
2011年,344.8063,320.7882,141.2824,854.2575,558.9178,388.8811,278.0697,679.517,3334.9307,1047.165,2104.3822,1035.6803,1993.2001,5426.8502,144.8142,1689.1614,221.1154,268.1692,1205.9216,3529.8563
2012年,389.31225,328.23334,161.93002,1071.55721,516.36676,399.01609,492.68615,871.05703,2972.31604,1122.42026,2329.89349,1105.77052,1960.4775,5315.9074,221.13335,2545.51494,187.51437,183.61485,917.51664,4133.09817
2013年,512.88746,546.64871,204.10585,1358.37968,731.75325,509.54467,451.9978,1075.61306,3636.89188,1337.39902,2546.05025,1298.76285,2367.88836,7384.39737,258.58762,3399.21514,208.35584,230.2089,1843.51213,4919.58355
2014年,468.0944,573.94266,313.0511,1633.57585,772.68192,512.27727,519.5239,1106.27894,4054.60637,1594.78438,2815.13508,1088.10267,1613.30154,6316.31226,272.71981,3592.77284,197.15365,229.72947,1649.85661,5325.63682
