,中外合作经营批发业企业主营业务税金及附加,中外合资经营批发业企业主营业务税金及附加,其他外商投资批发业企业主营业务税金及附加,其他批发业企业主营业务税金及附加,其他有限责任公司批发业企业主营业务税金及附加,其他港澳台商投资批发业企业主营业务税金及附加,其他联营批发业企业主营业务税金及附加,内资批发业企业主营业务税金及附加,国有与集体联营批发业企业主营业务税金及附加,国有批发业企业主营业务税金及附加,国有独资公司批发业企业主营业务税金及附加,国有联营批发业企业主营业务税金及附加,外商投资批发业企业主营业务税金及附加,外商投资股份有限公司批发业企业主营业务税金及附加,外资批发业企业主营业务税金及附加,批发业主营业务税金及附加,有限责任公司批发业企业主营业务税金及附加,港澳台商合作经营批发业企业主营业务税金及附加,港澳台商合资经营批发业企业主营业务税金及附加,港澳台商投资批发业企业主营业务税金及附加,港澳台商投资股份有限公司批发业企业主营业务税金及附加,港澳台商独资经营批发业企业主营业务税金及附加,私营合伙批发业企业主营业务税金及附加,私营批发业企业主营业务税金及附加,私营有限责任公司批发业企业主营业务税金及附加,私营独资批发业企业主营业务税金及附加,私营股份有限公司批发业企业主营业务税金及附加,联营批发业企业主营业务税金及附加,股份合作批发业企业主营业务税金及附加,股份有限公司批发业企业主营业务税金及附加,集体批发业企业主营业务税金及附加,集体联营批发业企业主营业务税金及附加
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,0.0004,0.012,,0.0016,1.8459,,0.0203,37.5592,0.0241,30.007,0.6796,0.1821,0.0511,0.0318,0.0068,37.7846,2.5256,0.0354,0.1376,0.1885,,0.0015,0.0222,0.4162,0.3053,0.0763,0.0123,0.2368,0.4046,1.5331,2.4344,0.0103
2000年,0.0002,0.0208,,0.001,2.3232,,0.0229,37.5082,0.0739,28.1556,0.6079,0.1515,0.0527,0.0212,0.0105,37.6008,2.9311,0.0274,0.0115,0.04,,0.0011,0.0272,0.4849,0.4052,0.0287,0.0237,0.2899,0.4443,2.7062,2.4954,0.0416
2001年,,0.503,,0.0268,4.207,,0.0312,37.3194,0.0456,24.6311,0.5021,0.1146,0.5954,0.0033,0.0891,37.9978,4.7091,0.0716,0.0015,0.0831,0.0008,0.0092,0.0396,1.0947,0.9217,0.0364,0.0971,0.1956,1.4757,3.5427,1.6436,0.0044
2002年,,0.5678,,0.0146,5.4173,,0.0122,33.2639,0.1198,19.0157,1.0948,0.1572,2.0621,,1.4943,35.4109,6.512,0.0093,0.0163,0.0849,,0.0593,0.0594,1.5325,1.2805,0.033,0.1595,0.2973,0.543,4.2146,1.1341,0.0081
