,中外合作经营批发业企业主营业务利润,中外合资经营批发业企业主营业务利润,其他外商投资批发业企业主营业务利润,其他批发业企业主营业务利润,其他有限责任公司批发业企业主营业务利润,其他港澳台商投资批发业企业主营业务利润,其他联营批发业企业主营业务利润,内资批发业企业主营业务利润,国有与集体联营批发业企业主营业务利润,国有批发业企业主营业务利润,国有独资公司批发业企业主营业务利润,国有联营批发业企业主营业务利润,外商投资批发业企业主营业务利润,外商投资股份有限公司批发业企业主营业务利润,外资批发业企业主营业务利润,批发业主营业务利润,有限责任公司批发业企业主营业务利润,港澳台商合作经营批发业企业主营业务利润,港澳台商合资经营批发业企业主营业务利润,港澳台商投资批发业企业主营业务利润,港澳台商投资股份有限公司批发业企业主营业务利润,港澳台商独资经营批发业企业主营业务利润,私营合伙批发业企业主营业务利润,私营批发业企业主营业务利润,私营有限责任公司批发业企业主营业务利润,私营独资批发业企业主营业务利润,私营股份有限公司批发业企业主营业务利润,联营批发业企业主营业务利润,股份合作批发业企业主营业务利润,股份有限公司批发业企业主营业务利润,集体批发业企业主营业务利润,集体联营批发业企业主营业务利润
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.2008,4.0798,0.0,0.0368,48.9524,0.0,0.4563,733.5949,1.9788,551.9617,25.2642,4.4117,4.9352,0.3288,0.3258,740.3986,74.2166,0.0875,1.1376,1.9587,0.0,0.6435,0.373,5.988,4.9406,0.3436,0.3308,7.2223,11.9786,50.2293,31.9616,0.3756
2000年,-0.0414,11.3738,0.0,0.06,72.8733,0.0,0.5856,845.6859,1.9244,597.874,18.6598,3.1014,15.1007,0.2367,3.5316,862.3787,91.533,0.6614,0.4011,1.5921,0.0,0.5296,0.4889,8.9597,7.7144,0.342,0.4143,6.1042,14.4748,75.1729,51.5073,0.4928
2001年,-0.173,17.1679,0.0,0.1896,106.3663,0.0,0.6928,795.0324,2.1817,538.9632,13.0359,3.8614,22.6885,0.3413,5.3524,820.3844,119.4022,1.3954,0.4999,2.6634,0.3144,0.4537,0.3769,19.535,17.4245,0.7159,1.0177,6.9589,13.8716,66.317,29.7949,0.2231
2002年,0.1917,33.2842,0.0,-0.1114,148.1147,0.0,1.3415,996.195,1.7791,623.2676,18.5745,5.204,92.5027,0.2847,58.7422,1111.5487,166.6891,1.3005,2.5017,22.8509,0.8963,18.1525,0.4027,34.686,32.0676,0.7937,1.4221,8.7076,16.5104,116.8282,29.6175,0.3843
2003年,0.18237,32.7416,0.0,0.57755,211.03892,0.0,1.49826,1249.20155,0.97205,696.28831,34.21044,5.33324,97.27542,0.1335,64.21795,1368.82041,245.24936,2.15466,2.29168,22.34344,2.0074,15.8897,0.61089,57.53312,49.36976,4.80533,2.74714,8.33501,7.22814,200.40472,33.58534,0.53146
2004年,6.76947,106.96037,0.0,1.71642,762.65124,0.0,3.29592,3290.9912,4.88855,1156.55007,159.01423,18.9243,438.85846,3.79831,321.33031,3795.25816,921.66547,4.93504,11.53241,65.4085,6.90732,42.03373,3.8745,502.44936,470.01211,11.44981,17.11294,28.4805,25.20994,600.73101,54.18843,1.37173
2005年,5.9709,79.4528,0.0,7.67519,798.43517,0.0,3.79588,3599.21106,2.35346,1404.78695,186.36152,21.52954,566.30693,0.67787,480.20536,4231.26817,984.79669,3.67072,16.75535,65.75018,4.70441,40.6197,3.05748,492.25638,464.22471,8.68747,16.28662,28.15823,23.04968,603.22198,55.26596,0.47935
2006年,1.8225,71.0881,0.0,15.7731,885.3252,0.0,4.5778,4222.0828,3.3273,1679.5364,169.2441,25.6178,665.4692,6.3354,586.2231,4976.6899,1054.5693,4.2934,35.8483,89.1379,5.9693,43.0268,4.5902,657.9101,619.422,11.0428,22.855,35.0727,23.7282,701.5037,53.9893,1.5498
2007年,2.1921,142.85201,0.0,41.76605,1092.42322,0.0,3.81417,5137.24397,5.16438,1950.38245,256.86228,25.06011,1043.82714,41.25479,857.52824,6336.10409,1349.2855,6.5255,33.78434,155.03298,5.38975,109.33339,6.13152,854.52875,787.65984,21.13435,39.60304,34.66147,21.82103,818.83214,65.96658,0.62281
2008年,10.2155,211.1596,0.0,72.5757,2005.4189,0.0,5.6183,9260.1185,5.6576,2938.8182,292.8243,24.0203,1730.208,23.6819,1485.151,11404.5392,2298.2432,6.9495,72.15,414.2127,14.4976,320.6157,49.7631,2662.4952,2329.4243,174.1676,109.1402,40.5395,39.6348,1060.3606,147.4513,5.2433
2009年,9.07788,241.39924,0.0,53.85328,1819.78429,0.0,5.91935,8590.03256,3.53157,2680.13823,218.11044,14.27354,1613.57401,15.29495,1347.80194,10672.19039,2037.89473,5.71864,64.04338,468.58382,22.70165,376.12015,32.80317,2041.05539,1799.10505,126.99313,82.15404,24.31821,24.67715,1618.538,109.55757,0.59375
2010年,17.7,369.0,0.0,77.1,2397.9,0.0,5.9,9959.5,6.4,3090.0,271.8,13.1,2249.8,13.8,1849.3,12835.7,2669.7,8.7,79.1,626.5,36.2,502.5,38.1,2751.3,2412.3,182.7,118.1,27.5,29.4,1177.5,136.8,2.1
2011年,22.9109,429.7903,0.5327,220.6058,3124.7694,0.3179,9.3504,12228.8323,7.8108,3490.0345,325.8466,6.6549,2895.7717,33.0768,2409.4612,16046.8894,3450.6159,11.2511,91.0611,922.2854,25.9368,793.7184,43.0939,3225.4645,2832.3766,214.3621,135.632,27.8295,45.0455,1647.9518,121.2846,4.0135
2012年,21.24183,505.62413,3.90311,255.47956,3433.76632,1.95158,10.47828,13202.19524,8.37849,3818.20803,451.86159,8.38929,3146.24577,68.00295,2547.47375,17432.24035,3885.62791,18.12243,95.42013,1083.79934,23.69349,944.61171,49.41215,3644.71926,3255.81619,238.81158,100.67934,29.13164,52.09102,1394.3443,122.59352,1.88558
2013年,21.41054,704.26496,20.51233,150.51731,5293.39248,1.08716,2.62815,17151.9066,4.76988,3531.07354,1016.16667,3.19692,3778.64308,46.73779,2985.71746,22440.2105,6309.55915,12.5521,93.70347,1509.66081,39.42851,1362.88957,13.60374,5386.15416,5035.82879,91.05406,245.66757,11.2134,18.70646,1632.34307,112.33951,0.61845
2014年,10.8996,793.63987,27.97774,113.30487,5660.96608,2.80401,0.91653,16753.69291,9.87086,2972.81096,1033.64233,0.60933,4243.24974,46.19556,3364.53697,22714.1946,6694.60841,18.73132,179.31407,1717.25192,27.75947,1488.64305,11.1029,5301.9329,4996.27082,87.01264,207.54654,11.78585,15.30347,1561.31034,82.63611,0.38913
