,中外合作经营企业批发业流动资产合计,中外合资经营企业批发业流动资产合计,其他企业批发业流动资产合计,其他外商投资企业批发业流动资产合计,其他有限责任公司批发业流动资产合计,其他港澳台商投资企业批发业流动资产合计,其他联营企业批发业流动资产合计,内资企业批发业流动资产合计,国有与集体联营企业批发业流动资产合计,国有企业批发业流动资产合计,国有独资公司批发业流动资产合计,国有联营企业批发业流动资产合计,外商投资企业批发业流动资产合计,外商投资股份有限公司批发业流动资产合计,外资企业批发业流动资产合计,批发业流动资产合计,有限责任公司批发业流动资产合计,港澳台商合作经营企业批发业流动资产合计,港澳台商合资经营企业批发业流动资产合计,港澳台商投资企业批发业流动资产合计,港澳台商投资股份有限公司批发业流动资产合计,港澳台商独资经营企业批发业流动资产合计,私营企业批发业流动资产合计,私营合伙企业批发业流动资产合计,私营有限责任公司批发业流动资产合计,私营独资企业批发业流动资产合计,私营股份有限公司批发业流动资产合计,联营企业批发业流动资产合计,股份合作企业批发业流动资产合计,股份有限公司批发业流动资产合计,集体企业批发业流动资产合计,集体联营企业批发业流动资产合计
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,1.0225,17.2103,0.717,,485.4399,,24.1858,10186.3396,17.313,7271.6461,263.0922,47.5351,35.7341,5.5569,11.9443,10233.0,748.5321,0.7974,7.2639,11.97,0.0,2.9115,72.3494,2.2756,58.9566,5.3437,5.7734,94.6773,93.5942,561.7548,1343.0688,5.6436
2000年,0.8972,113.1796,1.6595,,753.4812,,28.428,10645.4983,30.8116,7171.5263,399.4827,41.1492,140.2771,4.9361,21.2642,10807.2294,1152.9639,4.0033,6.7037,21.454,0.03,10.714,117.7736,2.9409,101.7475,6.1639,6.9213,106.9827,100.4572,755.2616,1238.8736,6.5939
2001年,0.6422,107.9328,4.3305,,1211.0857,,27.461,10274.8,27.483,6089.2067,450.939,54.7476,161.4808,3.2705,49.6353,10471.0432,1662.0247,7.3801,7.2054,34.737,5.0164,15.1351,281.459,5.0563,253.4863,7.462,15.4545,112.0767,110.4007,960.8677,1054.4593,2.3852
2002年,0.6981,75.0737,1.9378,,1771.2476,,22.5337,11308.8153,23.8391,6030.479,600.1776,55.6451,310.8952,2.3747,232.7487,11775.3564,2371.4252,6.7894,19.4327,155.6459,5.6246,123.7992,510.3371,4.2446,466.8725,10.4656,28.7544,105.027,99.2791,1151.2563,1039.0738,3.0207
2003年,2.36342,90.59338,7.50086,,2554.3092,,28.36598,12541.36238,11.96758,5841.00211,648.00691,65.47072,435.7209,0.1327,342.6314,13139.86203,3202.31611,13.94215,27.76417,162.77875,14.78167,106.29076,905.29186,8.68569,804.86986,39.88421,51.8521,115.8873,94.7388,1399.76023,974.86511,10.08302
