,中外合作经营企业批发业流动资产合计,中外合资经营企业批发业流动资产合计,其他企业批发业流动资产合计,其他外商投资企业批发业流动资产合计,其他有限责任公司批发业流动资产合计,其他港澳台商投资企业批发业流动资产合计,其他联营企业批发业流动资产合计,内资企业批发业流动资产合计,国有与集体联营企业批发业流动资产合计,国有企业批发业流动资产合计,国有独资公司批发业流动资产合计,国有联营企业批发业流动资产合计,外商投资企业批发业流动资产合计,外商投资股份有限公司批发业流动资产合计,外资企业批发业流动资产合计,批发业流动资产合计,有限责任公司批发业流动资产合计,港澳台商合作经营企业批发业流动资产合计,港澳台商合资经营企业批发业流动资产合计,港澳台商投资企业批发业流动资产合计,港澳台商投资股份有限公司批发业流动资产合计,港澳台商独资经营企业批发业流动资产合计,私营企业批发业流动资产合计,私营合伙企业批发业流动资产合计,私营有限责任公司批发业流动资产合计,私营独资企业批发业流动资产合计,私营股份有限公司批发业流动资产合计,联营企业批发业流动资产合计,股份合作企业批发业流动资产合计,股份有限公司批发业流动资产合计,集体企业批发业流动资产合计,集体联营企业批发业流动资产合计
2004年,85.59962,314.76067,13.61729,,5315.40233,,19.97145,18909.29534,24.79754,6265.33049,1004.4987,65.97547,1401.30773,13.29473,987.65271,20580.7,6319.90103,14.39265,42.15528,270.14032,18.16782,195.42457,3676.26337,32.1612,3455.76694,75.31453,113.0207,124.09201,156.45763,1655.39165,698.24187,13.34755
2005年,75.76558,241.18937,37.53276,,5574.28055,,24.93884,19226.04904,15.76482,6114.50263,907.91318,59.90422,1463.49511,3.85082,1142.68934,20985.0,6482.19373,14.98824,43.7566,295.45036,15.39433,221.31119,3781.17744,20.32884,3583.86979,60.44852,116.53039,103.45367,141.17639,1827.73519,738.27723,2.84579
2006年,5.7062,232.5824,39.7363,,6311.237,,36.8714,21674.8862,12.9823,6431.8111,1043.7341,63.1873,1531.3815,26.9342,1266.1587,23504.6,7354.971,16.4548,61.9391,298.324,17.6265,202.3037,4843.2411,29.4548,4575.5426,53.7212,184.5226,127.3384,142.3502,2035.4498,699.9884,14.2974
2007年,5.70094,389.73292,81.3814,,7403.29471,,40.71387,26512.2424,30.6479,7614.55583,1659.63002,66.87032,2283.40797,148.5397,1739.43441,29271.1,9062.92473,16.74443,91.74296,475.47866,19.74648,347.24479,6323.60137,31.39278,5915.23387,134.0252,242.94952,149.67767,142.73589,2382.09581,755.2697,11.44558
2008年,115.1387,591.5541,199.5826,,11713.3469,,37.61,39975.4803,43.2506,9195.294,2341.2672,55.9188,3906.515,44.3943,3155.4279,45133.3747,14054.6142,25.3748,267.817,1251.3794,48.5566,909.631,11400.9786,132.5747,10431.5249,386.1997,450.6793,193.6484,197.9758,3816.891,916.4958,56.8689
2009年,19.36444,734.23478,228.67162,,13788.22966,,48.22972,45015.18229,27.5335,9666.86979,2711.5718,99.29723,4509.08777,34.93285,3720.5557,50943.9,16499.80146,10.62177,233.72704,1419.64528,107.70924,1067.58723,12655.30397,107.74514,11701.26268,327.47196,518.82419,187.13657,137.27174,4800.48548,839.64166,12.07612
2010年,120.1,1042.8,323.8,,18417.9,,62.3,58389.1,29.3,12145.3,3296.6,69.2,6125.8,22.9,4940.0,66594.1,21714.4,12.0,319.9,2079.3,78.1,1669.2,17388.9,126.9,16158.0,461.6,642.4,178.5,142.3,5677.5,818.2,17.7
2011年,119.3427,1438.6384,917.9111,1.5465,24479.7313,0.6004,71.8018,73971.7603,32.192,13627.0323,4395.7562,45.9091,8540.5642,94.3402,6886.6964,86003.2649,28875.4875,22.6518,532.5757,3490.9404,70.2623,2864.8502,21812.4051,201.3929,20130.2529,536.8064,943.9529,166.1744,199.7075,7518.8611,854.1814,16.2715
2012年,88.97647,1679.51831,1223.72576,10.06283,30227.10865,8.12235,103.48119,87812.95197,62.30932,15847.77097,4929.55573,81.49041,8992.73258,151.25082,7062.92415,100916.83293,35156.66438,23.67997,618.39607,4111.14838,79.83393,3381.11606,25850.3423,225.75393,23899.05871,712.20135,1013.32831,267.72768,221.69593,8529.29824,715.72671,20.44676
2013年,79.55058,2096.90391,268.99813,70.24848,44994.71118,7.82385,4.97484,107827.26128,20.71171,10942.50171,6885.22653,17.74038,11048.88583,51.97117,8750.21169,124032.7093,51879.93771,34.74149,685.56006,5156.56215,103.51652,4324.92023,33875.08884,27.89174,32459.26806,130.19603,1257.73301,46.97497,156.56497,10140.02393,517.17102,3.54804
2014年,88.65512,2405.29333,166.62803,89.45608,50395.56721,11.97718,5.15091,118818.1148,16.16616,10177.98398,8677.80711,4.24594,12708.89274,56.44404,10069.04417,138618.2836,59073.37432,51.62898,1043.50903,7091.27606,162.65707,5821.5038,37179.90979,19.87586,35552.42114,113.08858,1494.52421,29.94815,111.51608,11622.2133,456.54115,4.38514
