,中外合作经营批发业企业所有者权益合计,中外合资经营批发业企业所有者权益合计,其他外商投资批发业企业所有者权益合计,其他批发业企业所有者权益合计,其他有限责任公司批发业企业所有者权益合计,其他港澳台商投资批发业企业所有者权益合计,其他联营批发业企业所有者权益合计,内资批发业企业所有者权益合计,国有与集体联营批发业企业所有者权益合计,国有批发业企业所有者权益合计,国有独资公司批发业企业所有者权益合计,国有联营批发业企业所有者权益合计,外商投资批发业企业所有者权益合计,外商投资股份有限公司批发业企业所有者权益合计,外资批发业企业所有者权益合计,批发业所有者权益合计,有限责任公司批发业企业所有者权益合计,港澳台商合作经营批发业企业所有者权益合计,港澳台商合资经营批发业企业所有者权益合计,港澳台商投资批发业企业所有者权益合计,港澳台商投资股份有限公司批发业企业所有者权益合计,港澳台商独资经营批发业企业所有者权益合计,私营合伙批发业企业所有者权益合计,私营批发业企业所有者权益合计,私营有限责任公司批发业企业所有者权益合计,私营独资批发业企业所有者权益合计,私营股份有限公司批发业企业所有者权益合计,联营批发业企业所有者权益合计,股份合作批发业企业所有者权益合计,股份有限公司批发业企业所有者权益合计,集体批发业企业所有者权益合计,集体联营批发业企业所有者权益合计
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,-2.0052,34.438,0.0,0.1359,535.2903,0.0,9.0028,3630.0376,4.0985,1881.9602,238.9262,19.1923,105.55,0.5035,72.6137,3783.3223,774.2165,1.6837,6.6069,47.7347,21.3406,18.1035,1.6015,147.7932,133.7505,3.2911,9.1502,33.1493,41.9192,658.786,92.0774,0.8552
2003年,-1.75987,23.67617,0.0,1.11684,733.56656,0.0,7.59671,4202.16864,5.95879,1922.42161,277.17192,17.92222,115.49964,0.0713,93.51204,4375.35647,1010.73848,5.83969,10.80766,57.68819,24.0593,16.98154,2.92093,226.80034,201.41154,12.33173,10.13614,32.38344,28.87411,889.13727,90.69655,0.90572
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7716.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.52202,76.62053,0.0,12.45885,1522.90831,0.0,6.50234,7235.82966,5.08678,2695.92622,496.0892,32.10013,599.59682,3.43831,519.01596,7906.9,2018.99751,4.61863,12.29692,71.47452,12.16548,42.39349,4.4594,1004.48875,944.98865,16.09083,38.94987,44.31696,45.24713,1304.48742,109.90682,0.62771
2006年,4.0877,84.5668,0.0,73.2433,2063.5353,0.0,8.1019,8461.8201,4.9848,3105.1131,452.0411,35.5489,716.1904,9.2137,618.3222,9268.9,2515.5764,4.2802,16.9376,90.8809,14.6067,55.0564,8.7916,1250.2907,1165.0333,21.1098,55.3559,52.1049,33.0221,1320.1084,112.3613,3.4693
2007年,1.00652,137.47318,0.0,49.16311,2090.53411,0.0,10.81384,10167.02073,7.5838,3740.45738,991.21663,36.90066,938.25428,72.26017,727.51441,11239.4,3081.75074,4.1058,32.57042,134.08544,17.81966,79.58956,10.37639,1608.88755,1440.33526,98.06513,60.11077,56.6622,47.90522,1454.82499,127.36954,1.3639
2008年,11.9791,175.0284,0.0,86.8243,3634.9604,0.0,10.2322,15733.9532,10.8728,4826.8489,1083.795,25.841,1807.5215,30.1256,1590.3885,17949.8014,4718.7554,5.7628,105.2902,408.3266,8.4371,288.8365,54.8635,3239.8131,2818.4759,207.854,158.6197,50.7577,69.5991,2560.1548,181.1999,3.8117
2009年,6.1264,202.36001,0.0,111.4605,3738.58244,0.0,11.6294,16871.89844,6.19457,5117.16671,1077.38352,20.11371,2044.59937,27.85285,1808.26011,19445.78289,4815.96596,8.37846,104.3308,529.28508,59.95095,356.62487,32.00221,3169.55647,2793.75003,174.90064,168.90359,39.67677,52.67642,3246.33406,319.06155,1.73909
2010年,28.0,298.6,0.0,119.2,4567.8,0.0,15.9,20109.0,8.2,6004.4,1269.7,27.3,2647.6,5.0,2316.0,23500.5,5837.4,8.5,165.9,743.8,25.2,544.1,38.4,4304.5,3802.1,230.0,234.1,53.5,51.0,3539.4,199.4,2.1
2011年,33.494,366.0347,0.5541,340.1234,6021.4005,0.2198,9.5153,24088.695,9.8714,6507.4689,1503.8853,16.459,3387.0889,52.2508,2934.7553,28654.7027,7525.2859,10.2709,166.0706,1178.9188,78.2029,924.1545,36.7735,5187.3865,4677.5538,226.9214,246.1378,39.6549,48.5045,4265.2114,175.0596,3.8092
2012年,34.30497,456.86371,2.27743,384.4034,7467.31798,1.20053,12.20114,28599.84924,10.89277,7552.0517,1683.80981,21.05364,3634.19381,27.48585,3113.26185,33688.93902,9151.12779,10.70797,226.26511,1454.89597,20.19628,1196.52608,40.77032,6419.95499,5830.51488,299.17377,249.49602,46.90488,55.05213,4806.85884,183.49551,2.75733
2013年,30.37974,527.85181,40.51037,153.90713,10737.78048,0.44113,0.51901,34489.92594,5.28306,5915.99884,3074.35383,4.53186,4464.79565,39.45694,3826.59679,40980.0719,13812.13431,17.10515,252.60186,2025.3503,32.66562,1722.53654,8.50387,8687.23357,8258.19982,75.11009,345.41979,11.36847,19.61245,5765.41012,124.26105,1.03454
2014年,31.24024,682.72012,47.36028,122.96243,12673.65333,2.81488,2.87577,38460.36003,1.45846,6253.19397,3400.56008,3.43532,5192.6934,45.33944,4386.03332,46217.4894,16074.21341,22.50619,402.74255,2564.43595,21.30281,2115.06952,5.81103,9502.35508,9040.55892,60.71552,395.26961,8.88407,14.0444,6356.71431,127.99236,1.11452
