,其他批发负债合计,农畜产品批发负债合计,化肥批发负债合计,医药及医疗器材批发负债合计,家用电器批发负债合计,建材批发负债合计,文化、体育用品及器材批发负债合计,服装批发负债合计,机械设备、五金交电及电子产品批发负债合计,汽车、摩托车及零配件批发负债合计,烟草制品批发负债合计,煤炭及制品批发负债合计,石油及制品批发负债合计,矿产品、建材及化工产品批发负债合计,米、面制品及食用油批发负债合计,纺织、服装及日用品批发负债合计,计算机、软件及辅助设备批发负债合计,贸易经纪与代理负债合计,金属及金属矿批发负债合计,食品、饮料及烟草制品批发负债合计
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,444.3158,0.0,119.2841,0.0,0.0,741.3186,487.4452,1107.3195,210.5202,662.0533,0.0,1401.3751,0.0,0.0,0.0,1105.8737,3214.7565
1999年,0.0,0.0,0.0,467.3175,0.0,119.1366,0.0,0.0,791.124,472.2312,1124.1242,226.1182,668.7037,0.0,1330.7318,777.1408,0.0,0.0,0.0,3246.1322
2000年,594.8253,0.0,0.0,505.8962,0.0,97.2239,0.0,0.0,849.0,449.3869,1161.0401,229.6377,1168.3276,0.0,1323.5512,0.0,0.0,0.0,922.271,3127.6927
2001年,0.0,0.0,0.0,577.0202,0.0,94.8878,0.0,0.0,0.0,438.5139,838.4645,204.9042,1243.5337,0.0,1298.7104,0.0,0.0,0.0,0.0,2748.446
2002年,0.0,0.0,0.0,652.6852,0.0,122.2742,0.0,0.0,0.0,404.0337,810.179,214.9209,1300.1858,0.0,1388.8173,0.0,0.0,0.0,0.0,2764.6179
2003年,374.01864,1798.41645,351.68425,774.60212,209.0744,244.80315,335.3226,439.10928,2311.69402,594.94051,797.70466,278.92421,1199.11209,4184.00522,589.43639,1435.12306,88.61713,321.084,1652.35147,1917.95231
2004年,791.44542,2624.97409,381.41805,1069.60864,578.5725,493.24271,375.95277,458.02664,4051.39708,1025.98075,830.25031,583.04494,1968.50655,7313.38744,689.35534,1491.43818,312.83662,202.7054,2939.04008,2284.41231
2005年,1085.36807,2470.3957,442.09339,1093.18158,583.19655,557.06048,380.89053,512.99641,3636.6364,842.5397,707.99769,649.56819,2000.76774,7816.71737,557.11687,1514.51795,312.41803,241.24363,3192.98976,1960.55053
2006年,851.2137,2277.1279,542.1189,1223.8867,641.3971,643.3388,429.4246,640.7443,3907.1142,731.1656,695.1601,754.1655,2230.5889,9162.0318,544.75,1741.7887,257.0113,674.1727,3962.0684,1982.8409
2007年,1131.48427,2087.10011,648.90818,1380.1738,811.01079,911.55182,496.78898,742.98021,4998.80442,916.68417,633.79882,958.8627,3069.8806,12613.03585,560.54974,2037.1417,302.69683,600.99574,5669.06167,2107.26845
2008年,1008.1712,2131.9793,1041.6412,1881.7133,1096.1839,1335.6587,756.0325,1091.099,7522.18,1702.6438,686.8905,2078.7541,3761.4891,19727.1443,1027.4213,2882.55,437.0504,1808.3425,9229.7274,3074.0402
2009年,1161.6534,2415.045,905.85402,2260.5343,1688.66314,1629.00223,810.13123,1032.33511,9073.62445,2080.96572,735.13149,2652.40077,4484.37513,22349.30868,1055.81626,3038.53027,620.02631,1935.98872,10154.17266,3292.71953
2010年,1607.8,3042.7,1133.2,2735.1,2025.0,2106.2,1023.3,1313.5,11330.5,2850.9,871.9,3948.8,5445.2,29684.8,1517.1,3790.6,809.6,2838.4,13710.9,4375.2
2011年,2195.1041,3166.2907,1600.339,3726.9586,2529.6455,2800.6912,1314.9034,2018.079,14357.1157,3630.5629,1124.0913,5733.9489,7326.3774,40118.6339,1661.4093,5238.0194,1417.5927,3003.2316,18236.4523,5669.9411
2012年,2499.08804,3517.46318,2127.56813,4447.5403,2818.98558,3352.63295,2312.21339,2174.82349,13713.22429,3808.99922,1130.7083,8036.14995,8838.85896,49061.78167,2330.56959,8762.67973,1070.25224,2924.83134,21178.0502,6578.75463
2013年,3064.23344,4190.46501,2208.00495,5568.72269,3337.62487,4220.74909,2478.45012,2599.93472,16732.35015,4817.53471,1124.20438,10040.93037,11580.53766,61209.22809,2689.7878,10790.52899,1144.86334,3531.36821,25951.17297,8259.12714
2014年,3464.16064,5044.2804,2795.39121,6787.44364,3839.03541,4922.1905,3057.1921,3192.19664,19645.24262,5487.2254,1043.38945,10791.8915,11493.75865,66920.54876,2907.6223,12008.93097,1397.83524,4187.47921,28300.08487,9054.29019
