,其他批发资产总计,农畜产品批发资产总计,化肥批发资产总计,医药及医疗器材批发资产总计,家用电器批发资产总计,建材批发资产总计,文化、体育用品及器材批发资产总计,服装批发资产总计,机械设备、五金交电及电子产品批发资产总计,汽车、摩托车及零配件批发资产总计,烟草制品批发资产总计,煤炭及制品批发资产总计,石油及制品批发资产总计,矿产品、建材及化工产品批发资产总计,米、面制品及食用油批发资产总计,纺织、服装及日用品批发资产总计,计算机、软件及辅助设备批发资产总计,贸易经纪与代理资产总计,金属及金属矿批发资产总计,食品、饮料及烟草制品批发资产总计
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,545.5901,0.0,152.0559,0.0,0.0,879.5053,596.8634,1555.8546,303.5609,964.0268,0.0,1524.1312,0.0,0.0,0.0,1375.8427,4022.0866
1999年,0.0,0.0,0.0,582.2,0.0,156.5341,0.0,0.0,938.8833,573.9382,1627.1997,330.0495,964.8759,0.0,0.0,924.2404,0.0,0.0,0.0,4099.6527
2000年,802.7051,0.0,0.0,628.0676,0.0,127.3785,0.0,0.0,1014.8,525.5347,1717.5222,335.3395,1382.8607,0.0,1425.4706,0.0,0.0,0.0,1206.4038,4052.0119
2001年,0.0,0.0,0.0,741.3287,0.0,124.1309,0.0,0.0,0.0,787.2474,1415.2373,303.4821,1674.8297,0.0,1410.0302,0.0,0.0,0.0,0.0,3698.2899
2002年,0.0,0.0,0.0,842.6,0.0,165.9,0.0,0.0,0.0,529.3,1503.3,313.4,1900.7,0.0,1489.1,0.0,0.0,0.0,0.0,3801.627
2003年,476.132,1878.51605,416.84498,983.72283,237.1264,314.43203,484.41854,606.5153,2850.88222,734.6549,1663.83211,390.96655,2003.47268,5820.23661,688.03556,1823.55132,129.96551,403.67799,2103.85053,3106.43733
2004年,1027.2984,2785.75273,480.48428,1393.03604,691.65559,654.43985,590.37388,693.55532,5255.87741,1212.75921,2022.48889,851.10448,3238.63565,10522.01188,798.04749,2116.01182,419.6867,248.71149,3904.42929,3947.66907
2005年,1424.94776,2656.35457,549.98433,1365.9936,707.27693,735.60972,582.51803,712.38056,4754.30185,1059.22009,2171.93122,942.15172,3252.98254,11121.61906,675.07397,2057.95855,400.79893,303.40329,4275.1676,3838.73016
2006年,1178.5635,2811.1481,675.8705,1538.0325,794.1773,845.8294,672.3861,934.4811,5162.0071,962.6161,2413.8278,1058.4296,3574.6717,12670.4056,699.3814,2410.1482,346.0814,890.7975,5080.4069,4189.5441
2007年,1565.93745,2677.05884,839.95076,1745.81704,992.60002,1216.25067,761.495,1015.91128,6477.98091,1197.10108,2752.01666,1358.57526,4650.04765,17181.42919,668.66337,2765.56528,407.83034,813.14478,7276.56811,4709.27766
2008年,1445.9389,2957.7234,1310.8941,2446.3572,1329.8077,1796.8373,1168.7605,1518.2858,10105.1182,2335.7598,3187.0105,3453.2415,6303.0662,27981.2249,1207.5259,3999.5428,596.9349,2231.5004,11998.18,6401.3089
2009年,1599.69917,3346.40278,1238.98906,3051.80272,2011.01123,2185.51373,1226.62511,1465.02011,12031.16458,2761.14161,3479.44973,4165.4568,7258.96428,30948.39449,1243.55686,4318.56391,798.07994,2443.69567,12751.16067,6849.51933
2010年,2104.4,3981.2,1429.3,3734.7,2425.6,2674.1,1544.4,1891.9,15240.7,3756.2,4019.7,5711.2,8762.2,39997.2,1753.2,5273.4,1046.1,3434.5,17015.2,8688.2
2011年,2879.5587,4198.3709,1965.6802,4897.8207,3027.1268,3562.2715,1963.4782,2784.6042,19297.388,4960.0897,4743.1418,8059.2937,10937.0242,52811.3862,1955.5624,7141.7505,1792.6679,3599.7924,22528.3479,10655.2983
2012年,3268.12844,4710.28748,2656.15375,5784.78812,3361.27381,4381.50762,3262.98801,3053.13068,18824.24215,5008.69511,5235.75975,11152.11671,12554.1882,63907.2923,2686.11357,11439.23284,1415.06175,3503.52084,25955.51658,12803.61502
2013年,3973.4604,5816.14899,2788.31906,7251.2506,4250.40257,5557.14047,3586.44854,3845.26173,22692.11798,6266.60874,5691.44159,13485.40156,16127.57763,79071.38987,3138.82201,14512.42996,1523.73343,4174.25762,31507.29807,15616.06489
2014年,4423.7471,6896.8082,3968.2154,8917.55455,4724.48973,6529.15028,4349.04391,4513.71211,26566.28703,7141.08182,6065.5068,14470.84341,16153.88518,87241.70926,3417.62989,15989.12679,1878.31287,4866.89947,34613.52426,16998.36127
