,其他批发固定资产合计,农畜产品批发固定资产合计,化肥批发固定资产合计,医药及医疗器材批发固定资产合计,家用电器批发固定资产合计,建材批发固定资产合计,文化、体育用品及器材批发固定资产合计,服装批发固定资产合计,机械设备、五金交电及电子产品批发固定资产合计,汽车、摩托车及零配件批发固定资产合计,烟草制品批发固定资产合计,煤炭及制品批发固定资产合计,石油及制品批发固定资产合计,矿产品、建材及化工产品批发固定资产合计,米、面制品及食用油批发固定资产合计,纺织、服装及日用品批发固定资产合计,计算机、软件及辅助设备批发固定资产合计,贸易经纪与代理固定资产合计,金属及金属矿批发固定资产合计,食品、饮料及烟草制品批发固定资产合计
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,100.4404,0.0,28.2235,0.0,0.0,113.7036,90.5162,253.7425,87.7127,266.7928,0.0,226.2126,0.0,0.0,0.0,164.6017,721.5761
1999年,0.0,0.0,0.0,107.9,0.0,29.7794,0.0,0.0,117.2421,94.9624,276.6182,76.5757,244.5363,0.0,0.0,135.0645,0.0,0.0,0.0,720.7154
2000年,124.7072,0.0,0.0,107.4091,0.0,23.0326,0.0,0.0,99.9,72.2985,280.7644,70.6496,301.7065,0.0,182.2146,0.0,0.0,0.0,139.8924,693.6565
2001年,0.0,0.0,0.0,119.3005,0.0,18.8411,0.0,0.0,0.0,70.5038,287.5165,59.4189,468.7925,0.0,170.4211,0.0,0.0,0.0,0.0,672.0196
2002年,0.0,0.0,0.0,119.5215,0.0,19.7127,0.0,0.0,0.0,59.275,305.4925,68.8533,601.4765,0.0,180.5084,0.0,0.0,0.0,0.0,676.0807
2003年,41.79047,175.16498,38.30929,136.78407,15.12036,34.47199,78.74885,44.18562,222.37358,62.5561,348.50175,63.72672,639.68311,966.63943,88.73623,153.84222,6.73568,21.49085,133.89901,588.95739
2004年,105.28712,319.0836,53.85229,160.31199,35.60769,58.2698,84.197,67.73907,354.18148,94.17994,485.4728,114.34714,968.18245,1526.56275,129.48637,218.32686,13.56017,22.95719,228.6938,842.75637
2005年,69.92706,213.05233,45.10567,115.12208,40.79398,59.83345,61.12101,48.13455,260.15873,77.483,352.42413,75.72745,751.52692,1195.01907,78.84868,143.94091,8.13652,15.40888,185.05244,584.76295
2006年,115.5027,302.3352,57.7641,170.8495,38.0532,80.7607,100.6603,80.3157,346.9182,85.5032,558.651,135.9896,1161.1946,1786.2717,130.7783,224.0597,15.8494,54.1803,252.4673,912.4479
2007年,123.50751,297.80066,63.54131,162.75901,38.65301,105.08085,109.86997,94.07889,399.19181,90.23091,595.88759,176.06732,1341.52466,2121.62157,109.61606,298.71334,16.84893,55.59264,319.37817,935.01994
2008年,155.4358,359.9974,84.9926,200.5416,40.6523,155.6628,142.901,152.0088,598.6633,116.3223,699.4252,272.9234,1528.5574,2755.3017,145.9781,369.8854,43.5777,82.2258,490.1132,1167.2328
2009年,96.94344,305.69875,65.37378,142.44214,30.15007,121.35636,110.87634,88.34715,409.06258,90.63465,473.4162,219.0896,1256.09075,2132.10114,107.46362,248.69008,14.91793,53.87131,317.71996,791.3958
2010年,101.8575,346.16034,82.73149,158.09246,33.92624,134.11567,97.56267,99.94373,462.52338,112.22408,513.555,296.06534,1366.70016,2449.41358,126.97008,266.07753,15.94987,60.20527,392.27339,907.33473
2011年,116.6357,336.7364,91.5093,211.0667,49.8635,143.9759,124.0408,114.6539,522.2366,129.9355,533.7189,295.0279,1507.6134,2767.7469,133.3922,311.2938,23.0763,54.8944,543.4654,961.4829
2012年,152.25606,381.00625,105.60517,243.58623,63.70368,188.14642,389.7986,137.56745,542.80843,97.22544,547.48874,431.81414,1541.21794,2988.5996,146.90282,410.52582,24.84279,48.87565,509.06895,1054.86809
2013年,186.83679,525.22253,129.60809,318.60475,213.57054,241.51895,160.07077,246.77301,677.89499,125.21174,593.12409,522.56316,1955.05788,3805.04648,200.29155,716.53032,26.89276,56.6766,663.0365,1433.73017
2014年,165.69696,566.62891,370.216,367.49326,213.45673,258.57836,194.37181,240.26353,713.37855,123.31629,627.70868,617.6679,1951.98228,4238.02351,213.87855,726.04482,33.025,58.48704,678.58664,1522.39076
