,中外合作经营批发业企业负债合计,中外合资经营批发业企业负债合计,其他外商投资批发业企业负债合计,其他批发业企业负债合计,其他有限责任公司批发业企业负债合计,其他港澳台商投资批发业企业负债合计,其他联营批发业企业负债合计,内资批发业企业负债合计,国有与集体联营批发业企业负债合计,国有批发业企业负债合计,国有独资公司批发业企业负债合计,国有联营批发业企业负债合计,外商投资批发业企业负债合计,外商投资股份有限公司批发业企业负债合计,外资批发业企业负债合计,批发业负债合计,有限责任公司批发业企业负债合计,港澳台商合作经营批发业企业负债合计,港澳台商合资经营批发业企业负债合计,港澳台商投资批发业企业负债合计,港澳台商投资股份有限公司批发业企业负债合计,港澳台商独资经营批发业企业负债合计,私营合伙批发业企业负债合计,私营批发业企业负债合计,私营有限责任公司批发业企业负债合计,私营独资批发业企业负债合计,私营股份有限公司批发业企业负债合计,联营批发业企业负债合计,股份合作批发业企业负债合计,股份有限公司批发业企业负债合计,集体批发业企业负债合计,集体联营批发业企业负债合计
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,0.6888,21.9191,,0.6208,495.6722,,22.8891,11841.5288,16.701,8309.1412,295.7125,50.506,39.367,5.9632,10.7959,11891.0,791.3847,0.5947,7.3683,11.7386,0.0,2.1605,1.5918,69.3338,55.0869,5.7943,6.8608,96.4279,111.6554,586.1523,1876.8127,6.3319
2000年,1.2203,111.81,,1.5546,770.5076,,26.7874,12172.3248,36.2089,8165.8726,433.4669,39.1674,142.0842,4.9987,24.0551,12336.3167,1203.9745,3.1253,9.0492,21.9077,0.02,9.713,2.4725,105.8469,90.6689,5.88,6.8255,108.8097,121.0932,808.9005,1656.2728,6.6461
2001年,1.3093,114.6673,,6.2931,1211.1375,,27.8209,11536.4,33.3907,6807.376,485.5378,56.0695,157.4844,3.3018,38.2059,11726.6796,1696.6754,6.4833,7.8497,32.8118,3.3428,15.136,4.8196,257.5194,232.1338,6.98,13.586,119.7241,118.0164,1158.7253,1372.0539,2.443
2002年,3.7937,62.5662,,2.3231,1765.9952,,19.9842,12176.307,28.3237,6488.1295,631.0367,54.2453,254.427,1.9698,186.0972,12573.5165,2397.0319,5.7386,20.7157,142.7826,6.1967,110.1315,3.5576,461.5694,423.3303,9.2105,25.4711,105.2257,102.6922,1407.7108,1211.6245,2.6915
2003年,5.73684,84.90205,,7.35823,2478.55782,,27.30063,12922.35684,12.75693,6079.69737,651.01328,57.72203,375.50329,0.0654,284.799,13452.21842,3129.5711,14.18835,31.5194,154.35829,14.36479,94.28575,7.44845,835.24941,741.2632,36.92838,49.60938,111.74058,97.09003,1573.57901,1088.07111,13.96099
