,中外合作经营批发业企业负债合计,中外合资经营批发业企业负债合计,其他外商投资批发业企业负债合计,其他批发业企业负债合计,其他有限责任公司批发业企业负债合计,其他港澳台商投资批发业企业负债合计,其他联营批发业企业负债合计,内资批发业企业负债合计,国有与集体联营批发业企业负债合计,国有批发业企业负债合计,国有独资公司批发业企业负债合计,国有联营批发业企业负债合计,外商投资批发业企业负债合计,外商投资股份有限公司批发业企业负债合计,外资批发业企业负债合计,批发业负债合计,有限责任公司批发业企业负债合计,港澳台商合作经营批发业企业负债合计,港澳台商合资经营批发业企业负债合计,港澳台商投资批发业企业负债合计,港澳台商投资股份有限公司批发业企业负债合计,港澳台商独资经营批发业企业负债合计,私营合伙批发业企业负债合计,私营批发业企业负债合计,私营有限责任公司批发业企业负债合计,私营独资批发业企业负债合计,私营股份有限公司批发业企业负债合计,联营批发业企业负债合计,股份合作批发业企业负债合计,股份有限公司批发业企业负债合计,集体批发业企业负债合计,集体联营批发业企业负债合计
2004年,85.74255,308.71014,0.0,13.19957,5018.85515,0.0,27.27486,18714.38489,22.03034,6271.86957,975.744,58.44314,1262.5042,24.26091,843.7906,20205.3,5994.59915,11.67248,37.37467,228.43224,13.06868,166.31641,29.00735,3333.97686,3124.5927,70.49308,109.88373,124.02831,148.41522,2039.69793,788.59828,16.27997
2005年,79.07896,216.40175,,32.75434,5291.99013,,24.23243,18659.1761,13.64409,5943.65028,824.88411,47.54258,1283.45464,8.875,979.09893,20199.5,6116.87424,10.77791,38.59161,256.87092,14.05202,193.44938,18.51065,3444.20042,3273.3501,61.19115,91.14852,88.25004,137.58197,2080.44874,815.41617,2.83094
2006年,11.6404,211.7631,,56.6263,6016.4142,,34.4511,20638.8696,12.1646,5910.9313,959.9376,46.566,1353.7401,19.6385,1110.6981,22249.6,6976.3518,12.6297,55.9794,256.9913,20.5474,167.8349,24.1361,4424.3368,4181.5818,50.1949,168.4239,105.0123,147.3554,2263.0016,755.2541,11.8305
2007年,11.96274,368.39101,,57.382,6963.90608,,39.2602,24978.86031,28.8464,6775.8647,1608.51713,48.1111,2071.40901,90.99917,1600.05609,27452.8,8572.42321,13.63686,82.3294,402.524,13.93125,292.62649,32.88051,5828.39452,5451.60885,120.15816,223.747,127.04651,135.49258,2700.01093,782.24586,10.82881
2008年,110.0129,534.4691,,160.007,10604.4118,,31.5794,36424.1576,38.2392,7942.5586,2376.2286,48.5866,3290.5589,50.0262,2596.0508,40792.1532,12980.6405,20.7549,231.3683,1077.4366,58.3181,766.9954,110.2036,10488.1266,9624.1171,348.9151,404.8907,173.1934,197.575,3576.8035,905.2531,54.7882
2009年,19.63701,671.34242,,197.8828,13100.96467,,42.34763,41475.85049,25.3177,8068.37127,2839.29946,89.69118,3683.43848,35.57381,2956.88524,46337.53558,15940.26413,5.65997,203.95141,1178.24661,79.40977,889.22546,95.78294,11789.88122,10917.8689,287.37181,488.85757,168.48058,133.94379,4380.83154,796.19516,11.12407
2010年,105.0,927.1,,285.7,17625.8,,64.1,53849.1,25.7,10086.5,3340.6,54.7,4874.3,18.9,3823.3,60428.4,20966.4,7.3,270.1,1705.0,68.4,1359.2,114.3,16176.0,15067.4,416.0,578.3,161.2,130.6,5203.2,839.5,16.6
2011年,100.852,1321.4806,1.0027,783.5608,23688.4118,0.3809,72.3894,68973.492,28.4486,11327.2522,4491.0113,39.2101,6929.0701,95.0104,5410.7245,78790.1984,28179.4231,14.721,487.2595,2887.6362,37.3743,2347.9005,183.697,20303.3856,18735.3282,506.5154,877.8451,156.6324,190.6258,7149.2029,883.4092,16.5843
2012年,73.04206,1548.20094,8.87774,1147.96349,29222.96645,7.3836,104.72678,83008.09094,58.84477,13311.89173,5124.8441,71.75216,7339.90222,140.49439,5569.28709,93817.57657,34347.81055,15.782,566.94557,3469.58341,77.07057,2802.40167,205.21036,24478.60759,22628.59845,686.19919,958.59959,256.2611,203.55953,8520.67002,741.32693,20.93739
2013年,66.32665,1900.15825,34.84065,248.13143,43544.56115,8.00599,6.50972,102560.01452,21.17998,8076.03305,7358.43736,16.9634,8963.6591,51.6874,6910.64615,115824.4738,50902.99851,22.58311,633.10299,4300.80022,97.1438,3539.96433,23.45393,31874.17326,30517.3982,119.33521,1213.98592,50.00343,170.13198,10670.17435,568.36851,5.35033
2014年,75.67469,2214.78975,49.04155,135.7899,48640.88805,10.19452,3.67984,113867.65171,22.06553,7216.88648,9071.32499,3.64221,10375.82709,57.56144,7978.75966,130169.5685,57712.21304,37.39534,945.35626,5926.08973,161.54258,4771.60103,18.28546,35769.10056,34176.35938,109.92147,1464.53425,35.49622,133.14826,12369.72161,495.29564,6.10864
