,A部(人类生活需要)专利申请受理量,B部(作业、运输)专利申请受理量,C部(化学、冶金)专利申请受理量,D部(纺织、造纸)专利申请受理量,E部(固定建筑物)专利申请受理量,F部(机械工程)专利申请受理量,G部(物理)专利申请受理量,H部(电学)专利申请受理量,一般机器、发动机、蒸汽机专利申请受理量,一般热交换专利申请受理量,一般车辆专利申请受理量,一般门、窗、百叶窗、梯子专利申请受理量,乐器、声学专利申请受理量,仪器的零部件专利申请受理量,体育、游戏、娱乐活动专利申请受理量,信号装置专利申请受理量,信息的存储专利申请受理量,光学技术专利申请受理量,其他的技术主题专利申请受理量,其他类不包括的电技术专利申请受理量,内燃机等专利申请受理量,农、林、牧、渔专利申请受理量,冶金学、合金或有色合金专利申请受理量,分选、分离专利申请受理量,制冷气体的液化和固化专利申请受理量,刷类用品专利申请受理量,加工水泥、粘土和石料专利申请受理量,动植物油、脂类专利申请受理量,医学、兽医学、卫生学专利申请受理量,印刷、打字机、印刷机专利申请受理量,卷扬、提升、牵引专利申请受理量,压力机专利申请受理量,发明、实用新型专利国际标准分类申请量,叠层产品专利申请受理量,喷射、雾化专利申请受理量,固体分离、分选专利申请受理量,固体废料的处理专利申请受理量,基本电器元件专利申请受理量,基本电子电路专利申请受理量,塑料制品的加工专利申请受理量,大小原皮、毛皮、皮革专利申请受理量,家具、家庭日用品或设备专利申请受理量,屠宰、加工专利申请受理量,工程元件或部件专利申请受理量,帽类制品专利申请受理量,干燥专利申请受理量,建筑物专利申请受理量,弹药、爆破专利申请受理量,微观结构技术专利申请受理量,手工、切割工具、切断专利申请受理量,手携及旅行用品专利申请受理量,控制、调节技术专利申请受理量,救生、消防专利申请受理量,教育、密码、显示、广告等专利申请受理量,无机化学专利申请受理量,无轨陆用车牌专利申请受理量,晶体生长专利申请受理量,有机化学专利申请受理量,有机高分子化合物专利申请受理量,服装专利申请受理量,木材加工、保存、钉钉机专利申请受理量,本部其他类目中不包括的技术主题专利申请受理量,机床、其他金属加工专利申请受理量,机械振动的产生和传递专利申请受理量,染料、涂料、抛光剂等专利申请受理量,核物理、核工程专利申请受理量,核算装置专利申请受理量,武器专利申请受理量,气体或液体的贮藏或分配专利申请受理量,水、废污水、泥浆的处理专利申请受理量,水利工程、基础、运土专利申请受理量,水泥、陶瓷等、隔音材料专利申请受理量,测时技术专利申请受理量,测量、测试专利申请受理量,液体变容机械、泵专利申请受理量,液体的贮运专利申请受理量,液力机械和其他发动机专利申请受理量,液压调节器、液压技术专利申请受理量,清洁专利申请受理量,炉、窑、灶、罐专利申请受理量,炸药、火柴专利申请受理量,烘烤、食用面团专利申请受理量,烟类及用品专利申请受理量,照明专利申请受理量,照相术、电影术、电刻术专利申请受理量,燃烧设备、燃烧技术专利申请受理量,物理或化学的方法或装置专利申请受理量,玻璃、石棉和渣棉专利申请受理量,生化、酒、醋、酶、专利申请受理量,电信技术专利申请受理量,电力的发电、变电或配电专利申请受理量,电解电泳方法及设备专利申请受理量,男用服饰用品、珠宝专利申请受理量,石油、煤气及炼焦工业专利申请受理量,破碎、研磨、粉碎专利申请受理量,磨削、抛光专利申请受理量,离心装置、离心机专利申请受理量,简单工具专利申请受理量,糖或淀粉工业专利申请受理量,纸品制作、纸的加工专利申请受理量,纺纱、整经或络经专利申请受理量,线、纤维、纺纱专利申请受理量,组合技术专利申请受理量,织物等的处理、洗涤专利申请受理量,织造专利申请受理量,绘图具、办公附属用品专利申请受理量,给水、排水专利申请受理量,绳、除电缆外的缆绳专利申请受理量,编带、花边、针织、整理专利申请受理量,缝纫、绣花、簇绒专利申请受理量,肥料及制造专利申请受理量,船舶、船只、有关设备专利申请受理量,蒸汽的生产专利申请受理量,装订、图册、文件夹专利申请受理量,装饰艺术专利申请受理量,计算、推算、计数技术专利申请受理量,超微观技术专利申请受理量,输送、包装、存贮、搬运专利申请受理量,造纸、纤维素的生产专利申请受理量,道路、铁路和桥梁的建筑专利申请受理量,采暖、炉灶、通风专利申请受理量,金属加工、冲裁专利申请受理量,金属加工涂料、防腐防锈专利申请受理量,钻井、采矿专利申请受理量,铁路专利申请受理量,铸造、粉末冶金专利申请受理量,锁、钥匙、门窗、保险箱专利申请受理量,鞋类专利申请受理量,鞍具、室内装璜专利申请受理量,飞行器、航空、宇宙航行专利申请受理量,食品、食物及处理专利申请受理量,黑色冶金专利申请受理量
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
