,A部(人类生活需要)专利申请受理量,B部(作业、运输)专利申请受理量,C部(化学、冶金)专利申请受理量,D部(纺织、造纸)专利申请受理量,E部(固定建筑物)专利申请受理量,F部(机械工程)专利申请受理量,G部(物理)专利申请受理量,H部(电学)专利申请受理量,一般机器、发动机、蒸汽机专利申请受理量,一般热交换专利申请受理量,一般车辆专利申请受理量,一般门、窗、百叶窗、梯子专利申请受理量,乐器、声学专利申请受理量,仪器的零部件专利申请受理量,体育、游戏、娱乐活动专利申请受理量,信号装置专利申请受理量,信息的存储专利申请受理量,光学技术专利申请受理量,其他的技术主题专利申请受理量,其他类不包括的电技术专利申请受理量,内燃机等专利申请受理量,农、林、牧、渔专利申请受理量,冶金学、合金或有色合金专利申请受理量,分选、分离专利申请受理量,制冷气体的液化和固化专利申请受理量,刷类用品专利申请受理量,加工水泥、粘土和石料专利申请受理量,动植物油、脂类专利申请受理量,医学、兽医学、卫生学专利申请受理量,印刷、打字机、印刷机专利申请受理量,卷扬、提升、牵引专利申请受理量,压力机专利申请受理量,发明、实用新型专利国际标准分类申请量,叠层产品专利申请受理量,喷射、雾化专利申请受理量,固体分离、分选专利申请受理量,固体废料的处理专利申请受理量,基本电器元件专利申请受理量,基本电子电路专利申请受理量,塑料制品的加工专利申请受理量,大小原皮、毛皮、皮革专利申请受理量,家具、家庭日用品或设备专利申请受理量,屠宰、加工专利申请受理量,工程元件或部件专利申请受理量,帽类制品专利申请受理量,干燥专利申请受理量,建筑物专利申请受理量,弹药、爆破专利申请受理量,微观结构技术专利申请受理量,手工、切割工具、切断专利申请受理量,手携及旅行用品专利申请受理量,控制、调节技术专利申请受理量,救生、消防专利申请受理量,教育、密码、显示、广告等专利申请受理量,无机化学专利申请受理量,无轨陆用车牌专利申请受理量,晶体生长专利申请受理量,有机化学专利申请受理量,有机高分子化合物专利申请受理量,服装专利申请受理量,木材加工、保存、钉钉机专利申请受理量,本部其他类目中不包括的技术主题专利申请受理量,机床、其他金属加工专利申请受理量,机械振动的产生和传递专利申请受理量,染料、涂料、抛光剂等专利申请受理量,核物理、核工程专利申请受理量,核算装置专利申请受理量,武器专利申请受理量,气体或液体的贮藏或分配专利申请受理量,水、废污水、泥浆的处理专利申请受理量,水利工程、基础、运土专利申请受理量,水泥、陶瓷等、隔音材料专利申请受理量,测时技术专利申请受理量,测量、测试专利申请受理量,液体变容机械、泵专利申请受理量,液体的贮运专利申请受理量,液力机械和其他发动机专利申请受理量,液压调节器、液压技术专利申请受理量,清洁专利申请受理量,炉、窑、灶、罐专利申请受理量,炸药、火柴专利申请受理量,烘烤、食用面团专利申请受理量,烟类及用品专利申请受理量,照明专利申请受理量,照相术、电影术、电刻术专利申请受理量,燃烧设备、燃烧技术专利申请受理量,物理或化学的方法或装置专利申请受理量,玻璃、石棉和渣棉专利申请受理量,生化、酒、醋、酶、专利申请受理量,电信技术专利申请受理量,电力的发电、变电或配电专利申请受理量,电解电泳方法及设备专利申请受理量,男用服饰用品、珠宝专利申请受理量,石油、煤气及炼焦工业专利申请受理量,破碎、研磨、粉碎专利申请受理量,磨削、抛光专利申请受理量,离心装置、离心机专利申请受理量,简单工具专利申请受理量,糖或淀粉工业专利申请受理量,纸品制作、纸的加工专利申请受理量,纺纱、整经或络经专利申请受理量,线、纤维、纺纱专利申请受理量,组合技术专利申请受理量,织物等的处理、洗涤专利申请受理量,织造专利申请受理量,绘图具、办公附属用品专利申请受理量,给水、排水专利申请受理量,绳、除电缆外的缆绳专利申请受理量,编带、花边、针织、整理专利申请受理量,缝纫、绣花、簇绒专利申请受理量,肥料及制造专利申请受理量,船舶、船只、有关设备专利申请受理量,蒸汽的生产专利申请受理量,装订、图册、文件夹专利申请受理量,装饰艺术专利申请受理量,计算、推算、计数技术专利申请受理量,超微观技术专利申请受理量,输送、包装、存贮、搬运专利申请受理量,造纸、纤维素的生产专利申请受理量,道路、铁路和桥梁的建筑专利申请受理量,采暖、炉灶、通风专利申请受理量,金属加工、冲裁专利申请受理量,金属加工涂料、防腐防锈专利申请受理量,钻井、采矿专利申请受理量,铁路专利申请受理量,铸造、粉末冶金专利申请受理量,锁、钥匙、门窗、保险箱专利申请受理量,鞋类专利申请受理量,鞍具、室内装璜专利申请受理量,飞行器、航空、宇宙航行专利申请受理量,食品、食物及处理专利申请受理量,黑色冶金专利申请受理量
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,17673.0,14224.0,5780.0,1262.0,5481.0,9325.0,6634.0,6534.0,309.0,321.0,1633.0,838.0,158.0,10.0,1087.0,419.0,506.0,315.0,,650.0,864.0,1845.0,270.0,109.0,399.0,226.0,299.0,219.0,6177.0,350.0,545.0,88.0,66913.0,212.0,255.0,110.0,21.0,2464.0,363.0,459.0,19.0,3842.0,29.0,2063.0,113.0,134.0,1490.0,44.0,,190.0,692.0,218.0,209.0,1017.0,304.0,1436.0,29.0,1083.0,682.0,490.0,236.0,,791.0,20.0,670.0,51.0,220.0,93.0,81.0,479.0,404.0,356.0,268.0,2048.0,950.0,132.0,242.0,118.0,130.0,198.0,28.0,185.0,290.0,367.0,412.0,528.0,949.0,134.0,457.0,1868.0,1189.0,154.0,184.0,370.0,286.0,207.0,42.0,432.0,17.0,56.0,30.0,216.0,,442.0,122.0,711.0,706.0,22.0,162.0,102.0,172.0,187.0,152.0,319.0,324.0,992.0,,2483.0,166.0,325.0,2462.0,592.0,182.0,632.0,227.0,310.0,1086.0,586.0,16.0,67.0,1718.0,155.0
1996年,18687.0,15390.0,4984.0,1306.0,4951.0,9297.0,6604.0,6976.0,271.0,260.0,2067.0,768.0,184.0,13.0,1309.0,372.0,753.0,254.0,,555.0,668.0,2107.0,183.0,166.0,293.0,233.0,276.0,186.0,6203.0,440.0,406.0,110.0,68195.0,189.0,264.0,131.0,8.0,2799.0,315.0,501.0,22.0,4264.0,44.0,2400.0,101.0,95.0,1333.0,79.0,,183.0,833.0,163.0,258.0,955.0,263.0,1892.0,28.0,1013.0,610.0,633.0,258.0,,821.0,13.0,508.0,27.0,158.0,85.0,79.0,487.0,287.0,271.0,225.0,1927.0,1103.0,138.0,190.0,105.0,128.0,165.0,22.0,175.0,279.0,360.0,288.0,426.0,792.0,136.0,364.0,2093.0,1214.0,99.0,179.0,373.0,395.0,209.0,70.0,479.0,13.0,88.0,26.0,212.0,,529.0,74.0,768.0,632.0,18.0,151.0,92.0,162.0,226.0,79.0,359.0,309.0,1285.0,,2770.0,204.0,324.0,2639.0,483.0,127.0,472.0,179.0,176.0,1135.0,646.0,15.0,81.0,1423.0,117.0
1997年,20425.0,16294.0,9955.0,1731.0,5093.0,10283.0,8934.0,10301.0,324.0,315.0,1904.0,707.0,294.0,18.0,1431.0,398.0,1065.0,776.0,,710.0,818.0,2685.0,278.0,119.0,492.0,241.0,283.0,437.0,7589.0,501.0,399.0,91.0,83016.0,271.0,335.0,118.0,24.0,3929.0,515.0,605.0,27.0,3909.0,33.0,2633.0,115.0,114.0,1428.0,81.0,,229.0,787.0,316.0,322.0,860.0,394.0,1615.0,56.0,2839.0,1511.0,577.0,217.0,,838.0,17.0,811.0,88.0,221.0,79.0,148.0,583.0,400.0,387.0,229.0,2309.0,905.0,143.0,210.0,105.0,144.0,127.0,26.0,209.0,271.0,565.0,491.0,542.0,1338.0,265.0,1089.0,3591.0,1556.0,139.0,186.0,501.0,307.0,284.0,75.0,469.0,22.0,96.0,56.0,242.0,,596.0,135.0,730.0,574.0,18.0,214.0,124.0,175.0,221.0,127.0,313.0,307.0,1869.0,,3214.0,346.0,354.0,2698.0,531.0,216.0,568.0,169.0,273.0,1062.0,599.0,11.0,103.0,1471.0,199.0
1998年,18912.0,15092.0,5029.0,1344.0,5642.0,11683.0,8523.0,9100.0,326.0,416.0,1842.0,864.0,164.0,51.0,,409.0,963.0,681.0,,505.0,807.0,2581.0,210.0,140.0,577.0,241.0,219.0,144.0,5720.0,451.0,452.0,97.0,75325.0,169.0,287.0,117.0,21.0,3910.0,475.0,493.0,26.0,4644.0,31.0,2688.0,113.0,145.0,1434.0,79.0,,238.0,849.0,269.0,239.0,974.0,299.0,1575.0,39.0,713.0,599.0,618.0,235.0,,851.0,18.0,455.0,37.0,162.0,84.0,117.0,576.0,424.0,317.0,258.0,2172.0,1321.0,145.0,257.0,79.0,102.0,154.0,20.0,150.0,288.0,677.0,613.0,670.0,1198.0,174.0,460.0,2761.0,1449.0,126.0,206.0,361.0,306.0,239.0,46.0,508.0,9.0,78.0,40.0,146.0,,604.0,102.0,730.0,640.0,20.0,131.0,105.0,152.0,207.0,105.0,301.0,302.0,1770.0,,2760.0,196.0,502.0,3181.0,460.0,178.0,582.0,156.0,242.0,1196.0,667.0,13.0,94.0,1239.0,171.0
1999年,24988.0,18504.0,10407.0,1720.0,6649.0,12591.0,11189.0,11705.0,416.0,408.0,2181.0,963.0,209.0,24.0,,526.0,980.0,701.0,,753.0,933.0,3534.0,406.0,174.0,537.0,257.0,323.0,289.0,8757.0,468.0,486.0,107.0,97753.0,331.0,398.0,166.0,69.0,4956.0,473.0,648.0,44.0,5146.0,36.0,3171.0,94.0,153.0,1600.0,102.0,,233.0,905.0,272.0,293.0,1311.0,543.0,1840.0,64.0,1685.0,1225.0,639.0,283.0,,878.0,19.0,1058.0,66.0,274.0,127.0,123.0,847.0,595.0,601.0,228.0,2923.0,1170.0,161.0,292.0,90.0,164.0,176.0,51.0,206.0,323.0,549.0,506.0,757.0,1887.0,241.0,1352.0,3649.0,1874.0,212.0,246.0,917.0,396.0,232.0,56.0,533.0,13.0,57.0,42.0,197.0,,722.0,110.0,902.0,791.0,27.0,181.0,130.0,357.0,236.0,94.0,439.0,362.0,3169.0,,3314.0,311.0,546.0,3493.0,439.0,268.0,723.0,212.0,337.0,1431.0,753.0,14.0,159.0,2166.0,234.0
2000年,26255.0,23323.0,13683.0,2054.0,7513.0,14979.0,14097.0,14865.0,524.0,490.0,3704.0,1178.0,332.0,23.0,2208.0,501.0,1189.0,1147.0,,953.0,929.0,3420.0,311.0,153.0,654.0,277.0,355.0,389.0,9296.0,594.0,540.0,106.0,116769.0,438.0,670.0,178.0,111.0,5769.0,695.0,836.0,37.0,5235.0,36.0,3632.0,168.0,160.0,1775.0,118.0,,337.0,1042.0,232.0,312.0,1360.0,468.0,1900.0,51.0,4208.0,1545.0,780.0,471.0,,1143.0,22.0,887.0,77.0,273.0,134.0,132.0,1021.0,548.0,445.0,273.0,3790.0,1343.0,138.0,319.0,173.0,155.0,237.0,33.0,202.0,303.0,739.0,637.0,1361.0,1873.0,243.0,2237.0,5338.0,2110.0,198.0,257.0,794.0,400.0,296.0,68.0,698.0,18.0,76.0,57.0,276.0,,782.0,139.0,1030.0,1161.0,26.0,274.0,150.0,254.0,374.0,148.0,406.0,468.0,4263.0,,4280.0,350.0,613.0,3886.0,595.0,297.0,804.0,391.0,327.0,1434.0,828.0,13.0,177.0,1891.0,247.0
2001年,34555.0,29771.0,15987.0,3111.0,9931.0,19835.0,23421.0,19893.0,759.0,554.0,4578.0,947.0,736.0,7.0,2296.0,599.0,1288.0,1518.0,,834.0,1434.0,4027.0,446.0,201.0,753.0,485.0,435.0,438.0,12509.0,951.0,633.0,177.0,156504.0,375.0,769.0,225.0,145.0,8049.0,998.0,901.0,54.0,7748.0,21.0,4098.0,165.0,137.0,3304.0,232.0,,429.0,1535.0,294.0,413.0,1408.0,1467.0,2385.0,91.0,3832.0,2140.0,1347.0,657.0,,2446.0,27.0,1324.0,319.0,643.0,249.0,213.0,669.0,896.0,495.0,197.0,5587.0,1515.0,157.0,729.0,487.0,175.0,140.0,34.0,225.0,311.0,2668.0,816.0,1647.0,2121.0,317.0,2406.0,7775.0,2237.0,277.0,326.0,1076.0,534.0,316.0,118.0,877.0,32.0,74.0,91.0,436.0,,907.0,365.0,1083.0,1758.0,29.0,277.0,152.0,315.0,361.0,317.0,707.0,502.0,10009.0,,5545.0,854.0,824.0,3903.0,901.0,309.0,324.0,367.0,406.0,1878.0,1080.0,12.0,181.0,2067.0,265.0
2002年,34973.0,32915.0,18992.0,7727.0,11488.0,21832.0,24102.0,29344.0,728.0,708.0,4297.0,1576.0,561.0,91.0,2322.0,645.0,1980.0,2600.0,,1864.0,1420.0,4782.0,617.0,244.0,1173.0,421.0,496.0,456.0,13196.0,1158.0,910.0,211.0,181373.0,489.0,895.0,233.0,218.0,11646.0,1103.0,1304.0,33.0,6931.0,40.0,5434.0,194.0,215.0,2985.0,174.0,,490.0,1298.0,624.0,539.0,2002.0,945.0,2675.0,86.0,4164.0,2628.0,886.0,509.0,,1824.0,40.0,1623.0,69.0,414.0,189.0,192.0,2083.0,848.0,831.0,493.0,6087.0,2089.0,218.0,490.0,184.0,310.0,340.0,42.0,268.0,393.0,1312.0,1129.0,1510.0,2795.0,439.0,2308.0,10980.0,3751.0,396.0,306.0,1101.0,609.0,379.0,141.0,899.0,27.0,75.0,98.0,4912.0,,1348.0,245.0,1608.0,1376.0,57.0,354.0,286.0,339.0,472.0,137.0,560.0,570.0,7408.0,,5969.0,427.0,1087.0,5537.0,974.0,474.0,1748.0,542.0,546.0,1868.0,894.0,11.0,244.0,2503.0,400.0
2003年,41507.0,35126.0,18939.0,3722.0,12313.0,22908.0,29981.0,30627.0,813.0,714.0,5216.0,1604.0,651.0,223.0,2736.0,626.0,2555.0,3729.0,,2089.0,1477.0,4835.0,697.0,242.0,1244.0,447.0,561.0,397.0,16583.0,1363.0,843.0,214.0,195123.0,465.0,1022.0,286.0,189.0,12529.0,1013.0,1338.0,38.0,8125.0,58.0,5809.0,222.0,288.0,3518.0,193.0,40.0,595.0,1495.0,654.0,920.0,2375.0,924.0,2823.0,151.0,4075.0,2565.0,1159.0,478.0,,1966.0,39.0,1857.0,71.0,518.0,209.0,204.0,1733.0,958.0,768.0,386.0,7408.0,2399.0,196.0,461.0,275.0,308.0,363.0,60.0,276.0,499.0,1479.0,1909.0,1426.0,2796.0,480.0,2471.0,10985.0,4011.0,427.0,295.0,928.0,521.0,498.0,113.0,1079.0,22.0,90.0,153.0,699.0,,1461.0,305.0,1497.0,1605.0,43.0,384.0,309.0,348.0,511.0,165.0,545.0,573.0,8876.0,16.0,6089.0,368.0,981.0,5389.0,1053.0,605.0,1774.0,598.0,730.0,1873.0,973.0,14.0,219.0,2884.0,393.0
2004年,47173.0,41558.0,21163.0,4795.0,14671.0,28567.0,38768.0,43331.0,1190.0,912.0,5860.0,1716.0,793.0,213.0,2872.0,982.0,3864.0,4890.0,,3548.0,2170.0,5856.0,845.0,274.0,1552.0,592.0,685.0,402.0,17448.0,1803.0,1230.0,209.0,240026.0,613.0,981.0,314.0,182.0,16054.0,1607.0,1771.0,69.0,10020.0,92.0,7385.0,232.0,300.0,4219.0,267.0,63.0,696.0,1794.0,997.0,762.0,3178.0,1117.0,3502.0,169.0,4082.0,2979.0,1513.0,618.0,,2687.0,79.0,1904.0,89.0,644.0,285.0,213.0,1971.0,1222.0,984.0,453.0,9548.0,2843.0,251.0,768.0,410.0,379.0,442.0,74.0,455.0,698.0,1746.0,2510.0,1463.0,3010.0,814.0,2553.0,17449.0,4673.0,536.0,367.0,934.0,659.0,627.0,135.0,1447.0,28.0,220.0,170.0,920.0,,1736.0,364.0,1905.0,1783.0,87.0,464.0,402.0,358.0,672.0,131.0,724.0,857.0,10607.0,34.0,6339.0,652.0,1178.0,6490.0,1207.0,834.0,2354.0,513.0,700.0,2199.0,1175.0,19.0,293.0,3297.0,510.0
2005年,57692.0,47676.0,29451.0,5352.0,16015.0,32691.0,45951.0,52334.0,1332.0,1094.0,5561.0,1778.0,931.0,326.0,3236.0,1558.0,3699.0,5587.0,,4190.0,2464.0,6802.0,1146.0,321.0,1890.0,606.0,561.0,590.0,24875.0,2008.0,1586.0,330.0,287162.0,970.0,1102.0,401.0,218.0,18911.0,1886.0,2145.0,82.0,10865.0,113.0,9047.0,291.0,391.0,4725.0,241.0,114.0,997.0,2140.0,1352.0,621.0,4153.0,1460.0,3770.0,237.0,6507.0,4310.0,1433.0,635.0,,3397.0,68.0,2853.0,138.0,786.0,298.0,276.0,2104.0,1461.0,1213.0,482.0,11507.0,3065.0,361.0,970.0,423.0,523.0,497.0,45.0,460.0,855.0,2301.0,2991.0,1702.0,4296.0,785.0,3546.0,21578.0,5769.0,653.0,490.0,1656.0,750.0,851.0,163.0,1786.0,35.0,206.0,215.0,1044.0,,1993.0,390.0,1828.0,1944.0,106.0,582.0,410.0,350.0,624.0,209.0,704.0,847.0,12441.0,55.0,7143.0,612.0,1372.0,6491.0,1547.0,1163.0,2353.0,465.0,1075.0,2382.0,1295.0,21.0,247.0,3610.0,716.0
2006年,74733.0,63605.0,39720.0,6780.0,21042.0,44359.0,61225.0,72626.0,1696.0,1473.0,7277.0,2173.0,1071.0,539.0,3855.0,2092.0,5323.0,7247.0,,6039.0,3282.0,7903.0,1615.0,482.0,2311.0,655.0,1332.0,659.0,33401.0,2347.0,2184.0,492.0,384090.0,1082.0,1547.0,483.0,310.0,25253.0,2102.0,2987.0,90.0,13630.0,113.0,11636.0,399.0,729.0,6663.0,530.0,104.0,1237.0,2590.0,2295.0,934.0,5377.0,2221.0,4491.0,301.0,8234.0,5221.0,1993.0,1234.0,,4806.0,72.0,4112.0,177.0,1626.0,395.0,707.0,2986.0,1709.0,1939.0,567.0,15329.0,3713.0,694.0,1246.0,549.0,655.0,776.0,84.0,490.0,894.0,4341.0,3944.0,2265.0,5372.0,1096.0,4872.0,31142.0,8090.0,868.0,633.0,2143.0,991.0,1395.0,207.0,2388.0,48.0,461.0,239.0,1265.0,4.0,2288.0,633.0,2528.0,2294.0,87.0,637.0,659.0,722.0,783.0,290.0,981.0,978.0,15638.0,71.0,9025.0,972.0,1815.0,8420.0,2193.0,1578.0,3501.0,674.0,1271.0,2887.0,1619.0,43.0,428.0,5624.0,927.0
