,工程招标代理机构企业单位数,工程招标代理机构其他收入,工程招标代理机构其他注册人员数,工程招标代理机构工程招标代理收入,工程招标代理机构工程监理收入,工程招标代理机构工程造价咨询收入,工程招标代理机构工程项目管理与咨询服务收入,工程招标代理机构年末注册执业人数,工程招标代理机构期末企业人员,工程招标代理机构注册造价工程师数,工程招标代理机构营业收入,工程招标代理机构高、中级职称人员数
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,,,,,,,,,
1998年,,,,,,,,,,,,
1999年,,,,,,,,,,,,
2000年,,,,,,,,,,,,
2001年,,,,,,,,,,,,
2002年,,,,,,,,,,,,
2003年,,,,,,,,,,,,
2004年,,,,,,,,,,,,
2005年,,,,,,,,,,,,
2006年,,,,,,,,,,,,
2007年,,,,,,,,,,,,
2008年,4961.0,5941997.97,29931.0,851499.9,1116984.0,657220.45,1204507.4,61490.0,290251.0,31559.0,9772209.82,157146.0
2009年,4899.0,4998316.0,32380.0,1042173.0,1423661.0,786440.4,1446486.0,66013.0,318093.0,33633.0,9697076.0,168896.0
2010年,4799.0,7850169.0,32190.0,1408533.0,1683515.0,951216.0,784036.0,66350.0,328168.0,34160.0,12677469.0,170167.0
2011年,5113.0,11044472.98,38423.0,1520061.44,2301845.82,1288284.77,965815.61,76079.0,388632.0,37656.0,17120480.62,197592.0
2012年,5522.0,,,,,,,86263.0,445445.0,42831.0,21733973.73,225681.0
2013年,5731.0,,,,,,,93874.0,485771.0,,24366217.51,
2014年,5950.0,,,,,,,104530.0,535322.0,,25305908.23,
