,勘察设计单位其他收入,勘察设计单位工程勘察收入,勘察设计单位工程承包收入,勘察设计单位工程设计收入,勘察设计单位营业收入,勘察设计机构中级职称职工人数,勘察设计机构其他人员数,勘察设计机构初级职称职工人数,勘察设计机构单位数,勘察设计机构年底职工人数,勘察设计机构高级职称职工人数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,6105799.64,2160221.55,13493933.56,7966429.37,29726384.12,317120.0,308952.0,220094.0,14245.0,1077785.0,231619.0
2006年,6984134.62,2502299.94,18069379.73,9588389.75,37144204.04,321386.0,329412.0,229002.0,14264.0,1120719.0,240919.0
2007年,8630817.5,2762379.29,23634957.27,11815053.57,46843207.63,328735.0,362512.0,240579.0,14151.0,1175258.0,243432.0
2008年,10130565.76,3373862.3,32183281.66,13995600.14,59683309.86,341978.0,404356.0,254933.0,14667.0,1249062.0,247795.0
2009年,9051710.26,4092137.36,38832817.16,16552363.35,68529028.13,338350.0,440390.0,250723.0,14264.0,1272963.0,243500.0
2010年,12309670.0,5303439.0,56340241.0,21514277.0,95467626.0,363378.0,534714.0,269603.0,14622.0,1422995.0,255300.0
2011年,17071376.38,6539831.67,78861342.26,26674754.01,129147304.32,408898.0,729246.0,319449.0,16482.0,1728497.0,270904.0
2012年,0.0,0.0,0.0,0.0,161706306.55,454920.0,0.0,386726.0,18280.0,2123379.0,291700.0
2013年,0.0,0.0,0.0,0.0,214098129.0,486530.0,0.0,421410.0,19231.0,2444232.0,305167.0
2014年,0.0,0.0,0.0,0.0,271515354.0,484861.0,0.0,402541.0,19262.0,2502794.0,303264.0
