,劳务分包建筑业企业主营业务收入,劳务分包建筑业企业从业人员劳动报酬,劳务分包建筑业企业从业人数,劳务分包建筑业企业利润总额,劳务分包建筑业企业单位数,劳务分包建筑业企业税金,劳务分包建筑业企业营业收入
1978年,,,,,,,
1979年,,,,,,,
1980年,,,,,,,
1981年,,,,,,,
1982年,,,,,,,
1983年,,,,,,,
1984年,,,,,,,
1985年,,,,,,,
1986年,,,,,,,
1987年,,,,,,,
1988年,,,,,,,
1989年,,,,,,,
1990年,,,,,,,
1991年,,,,,,,
1992年,,,,,,,
1993年,,,,,,,
1994年,,,,,,,
1995年,,,,,,,
1996年,,,,,,,
1997年,,,,,,,
1998年,,,,,,,
1999年,,,,,,,
2000年,,,,,,,
2001年,,,,,,,
2002年,,,,,,,
2003年,,,,,,,
2004年,,,,,,,
2005年,1827362.2,1006214.3,868165.0,60645.4,3101.0,58730.1,1885213.4
2006年,2494581.0,1370682.0,1122421.0,63085.5,3748.0,80382.1,2537630.1
2007年,3740105.4,2175533.3,1478604.0,80971.1,4357.0,117449.7,3789836.3
2008年,6138676.2,3151758.8,1895875.0,203167.9,6837.0,188406.6,6209880.4
2009年,7390918.9,3920349.0,2152904.0,205687.8,6756.0,253118.5,7428736.4
2010年,9350526.0,5078280.0,2571402.0,249365.0,6835.0,329432.0,9410455.0
2011年,12880878.1,,2446940.0,300347.9,6443.0,470164.7,12974100.5
2012年,16150428.1,,2680307.0,318013.6,6606.0,588103.7,16376552.0
2013年,,,,,,,
2014年,,,,,,,
