,一级总承包建筑业企业利润总额,三级及以下总承包建筑业企业利润总额,二级总承包建筑业企业利润总额,总承包建筑业企业利润总额,特级总承包建筑业企业利润总额
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,
1997年,,,,,
1998年,,,,,
1999年,,,,,
2000年,,,,,
2001年,,,,,
2002年,,,,,
2003年,,,,,
2004年,,,,,
2005年,2113299.2,1841474.3,2075420.7,7109477.4,1079283.2
2006年,2873176.5,2181882.0,2866701.7,9620634.9,1698874.7
2007年,3728969.9,2808213.4,3681700.9,12789248.8,2570364.6
2008年,5946788.0,4265542.0,5204716.9,18032977.3,2615930.4
2009年,7450068.7,4744560.9,6155428.5,22690336.0,4340277.9
2010年,9834941.0,5729251.0,7785849.0,28608532.0,5258491.0
2011年,12506979.4,6808327.5,9429352.5,35428431.9,6683772.5
2012年,14672278.9,7406427.5,10895249.5,40787598.9,7813643.0
2013年,,,,,
2014年,,,,,
