,中国同乌拉圭进口总额,中国同伯利兹进口总额,中国同博内尔进口总额,中国同危地马拉进口总额,中国同厄瓜多尔进口总额,中国同古巴进口总额,中国同哥伦比亚进口总额,中国同哥斯达黎加进口总额,中国同圣其茨-尼维斯进口总额,中国同圣卢西亚进口总额,中国同圣文森特和格林纳丁斯进口总额,中国同圣马丁岛进口总额,中国同圭亚那进口总额,中国同墨西哥进口总额,中国同多米尼克进口总额,中国同多米尼加共和国进口总额,中国同委内瑞拉进口总额,中国同安提瓜和巴布达进口总额,中国同尼加拉瓜进口总额,中国同巴哈马进口总额,中国同巴巴多斯进口总额,中国同巴拉圭进口总额,中国同巴拿马进口总额,中国同巴西进口总额,中国同库腊索岛进口总额,中国同开曼群岛进口总额,中国同拉丁美洲进口总额,中国同拉美其他国家(地区)进口总额,中国同智利进口总额,中国同格林纳达进口总额,中国同法属圭亚那进口总额,中国同波多黎各进口总额,中国同洪都拉斯进口总额,中国同海地进口总额,中国同牙买加进口总额,中国同特克斯和凯科斯群岛进口总额,中国同特立尼达和多巴哥进口总额,中国同玻利维亚进口总额,中国同瓜德罗普岛进口总额,中国同秘鲁进口总额,中国同苏里南进口总额,中国同英属维尔京群岛进口总额,中国同荷属安地列斯群岛进口总额,中国同萨尔瓦多进口总额,中国同萨巴进口总额,中国同蒙特塞拉特进口总额,中国同阿根廷进口总额,中国同阿鲁巴岛进口总额,中国同马提尼克岛进口总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,4453.0,,,38.0,7311.0,9392.0,822.0,,,,,,,14749.0,23.0,33.0,1247.0,,,,,186.0,119.0,113312.0,,,298920.0,,42145.0,,,34.0,97.0,,1793.0,,,8.0,,28814.0,99.0,,,8.0,,,72446.0,,
1999年,7046.0,,,30.0,7862.0,5665.0,2068.0,,,,,,,15925.0,140.0,52.0,2766.0,,,,1.0,183.0,107.0,96855.0,,,299234.0,,66358.0,,,870.0,,,837.0,,1095.0,247.0,,30996.0,2.0,,,1.0,,,59079.0,,
