,中国同丹麦进口总额,中国同乌克兰进口总额,中国同亚美尼亚进口总额,中国同俄罗斯进口总额,中国同保加利亚进口总额,中国同克罗地亚进口总额,中国同冰岛进口总额,中国同列支敦士登进口总额,中国同匈牙利进口总额,中国同卢森堡进口总额,中国同圣马力诺进口总额,中国同塞尔维亚进口总额,中国同奥地利进口总额,中国同安道尔进口总额,中国同希腊进口总额,中国同德国进口总额,中国同意大利进口总额,中国同拉脱维亚进口总额,中国同挪威进口总额,中国同捷克进口总额,中国同摩尔多瓦进口总额,中国同摩纳哥进口总额,中国同斯洛伐克进口总额,中国同斯洛文尼亚进口总额,中国同格鲁吉亚进口总额,中国同梵蒂冈城国进口总额,中国同欧洲进口总额,中国同比利时进口总额,中国同法国进口总额,中国同法罗群岛进口总额,中国同波兰进口总额,中国同波黑进口总额,中国同爱尔兰进口总额,中国同爱沙尼亚进口总额,中国同瑞典进口总额,中国同瑞士进口总额,中国同白俄罗斯进口总额,中国同直布罗陀进口总额,中国同立陶宛进口总额,中国同罗马尼亚进口总额,中国同芬兰进口总额,中国同英国进口总额,中国同荷兰进口总额,中国同葡萄牙进口总额,中国同西班牙进口总额,中国同阿塞拜疆进口总额,中国同阿尔巴尼亚进口总额,中国同马其顿进口总额,中国同马耳他进口总额,中国同黑山进口总额
1999年,40021.0,34033.0,1.0,422264.0,922.0,530.0,790.0,,7145.0,4841.0,,,43819.0,,2322.0,833541.0,267993.0,675.0,48424.0,7214.0,,,197.0,1014.0,150.0,,3264492.0,97045.0,378482.0,,15779.0,,20718.0,316.0,215182.0,101121.0,2069.0,,60.0,4563.0,183194.0,299483.0,101059.0,3831.0,54147.0,15.0,,46.0,995.0,
2000年,55217.0,45459.0,410.0,576989.0,1347.0,507.0,1414.0,,9955.0,4567.0,,,47235.0,,4807.0,1040871.0,307843.0,278.0,61067.0,8295.0,792.0,,1430.0,1430.0,235.0,,4078408.0,138614.0,394978.0,,9961.0,,37730.0,510.0,267468.0,146137.0,7251.0,,969.0,10544.0,235305.0,359247.0,123623.0,4695.0,62297.0,398.0,,84.0,1850.0,
2001年,62575.0,61044.0,117.0,795938.0,2846.0,512.0,1858.0,42.0,13036.0,5800.0,2.0,,66205.0,,5850.0,1377210.0,378918.0,504.0,57076.0,9213.0,1264.0,147.0,1289.0,1270.0,329.0,,4840160.0,172102.0,410484.0,,22639.0,,61254.0,1085.0,217317.0,173001.0,3451.0,,444.0,10376.0,237629.0,352706.0,145669.0,7146.0,71438.0,427.0,,15.0,7149.0,
2002年,63680.0,70632.0,666.0,840669.0,2148.0,575.0,1443.0,460.0,16883.0,4998.0,,,89292.0,1.0,5506.0,1641642.0,431947.0,524.0,92323.0,15461.0,421.0,262.0,3787.0,2955.0,351.0,,5196786.0,202205.0,425312.0,,21865.0,,68946.0,3605.0,179103.0,203679.0,6378.0,,1181.0,39094.0,151277.0,333596.0,157157.0,8271.0,90018.0,146.0,9.0,64.0,17961.0,
2003年,96415.0,124607.0,178.2,972807.0,5873.0,680.9,2277.7,956.7,30136.4,11558.4,2.5,,110479.0,0.0,7466.8,2429189.0,508058.0,1920.7,86538.0,29722.1,802.1,390.9,12211.7,3603.1,822.0,,6969691.0,276818.0,609873.0,,35916.0,,95149.0,3033.0,271590.0,268265.0,9672.1,0.0,1726.0,47010.0,178844.0,357034.0,193312.0,19461.0,136133.0,3466.9,5.8,1472.7,22755.8,
2004年,120577.4,104460.9,215.6,1212741.1,6714.1,2190.4,2733.7,2367.1,47559.1,12908.3,0.0,,150982.2,0.0,8630.9,3035602.1,645138.8,1981.3,139779.8,44224.3,18.6,644.2,12853.0,4195.9,3417.4,,8899933.2,351978.0,764819.9,,48727.0,78.0,118789.6,2064.0,333956.9,361304.6,15395.4,0.0,1352.3,32677.9,302142.5,475850.3,296941.1,28089.7,174592.1,4020.9,595.7,146.5,25218.2,
2005年,119036.0,78480.0,35.0,1588994.0,8912.0,4383.0,4673.0,975.0,36553.0,15077.0,1.0,,160922.0,1.0,8669.0,3072293.0,692529.0,856.0,114396.0,37178.0,14.0,998.0,18302.0,5724.0,266.0,0.0,9643090.0,400547.0,900679.0,0.0,55732.0,10341.0,142307.0,5767.0,312220.0,388055.0,49044.0,0.0,1148.0,29231.0,262813.0,552378.0,292672.0,32383.0,208164.0,2440.0,704.0,1265.0,23794.0,
2006年,130913.3699,43716.8605,841.252,1755432.7123,8185.0,5503.3078,3998.786,1398.4838,69930.609,16934.3198,12.7823,,205736.316,,10431.4721,3787936.5204,860029.7734,1372.1588,125035.6387,51670.2921,55.9995,945.2039,33640.221,9489.5692,695.1207,,11485681.7565,430429.8321,1127921.8131,433.0,66712.1179,12010.4486,154523.9073,28497.7108,344856.7704,425423.7632,42877.342,0.6324,1560.0149,23091.1326,312570.0,650639.5471,365006.6874,35380.9128,300310.8299,2201.8798,1284.1603,286.9458,35058.2127,
2007年,182298.6961,66563.3852,3777.405,1968857.8673,15800.3697,6762.5198,3564.8509,2449.2368,121008.0428,25175.1069,10.0919,1311.6101,245228.6712,0.6835,17044.8655,4538293.3202,1021080.4687,2149.5831,161476.3076,83079.9433,140.613,1134.4314,73531.1718,11055.4732,1558.6433,,13967283.3452,497314.3679,1334105.2848,688.0686,111224.6647,2728.7113,192533.2557,8985.7492,414184.0778,584397.538,61258.758,,1969.0693,28147.1716,379432.6154,777552.1597,492455.7774,38464.228,442994.5571,144.2213,6634.1169,982.5629,37598.1395,134.8652
2008年,259714.7024,119401.6897,1150.6191,2383276.1729,21678.1956,6783.574,3510.5824,3166.704,138220.4047,29398.8872,55.4655,1228.101,312081.5304,4.5229,18548.0146,5578993.0102,1163903.3821,1801.042,214799.5161,100270.4234,261.4341,1140.8275,98373.2625,13155.7653,352.6532,,16805904.1977,533697.2091,1563252.5168,825.8743,139443.1815,661.3839,274638.3889,8869.438,503814.8391,735304.1281,49782.4135,1.32,2912.9678,35989.5832,353330.8807,954178.1621,529941.9951,38748.9834,542398.1851,11486.3737,8825.9172,1327.5161,44989.9194,212.5379
2009年,228929.0,217601.0,2394.0,2123296.0,14108.0,7486.0,3325.0,5100.0,146640.0,20473.0,3.0,2923.0,340398.0,18.0,21592.0,5571943.0,1101162.0,2600.0,305947.0,113150.0,326.0,1099.0,89745.0,12647.0,1787.0,,16204372.0,584732.0,1299617.0,668.0,150593.0,1420.0,323820.0,7933.0,545930.0,688607.0,52959.0,,3811.0,43319.0,327205.0,787719.0,512214.0,48143.0,429233.0,12832.0,6428.0,2418.0,40001.0,74.0
2010年,264576.0,216320.3,4676.4,2592103.7,32300.0,5089.1,4140.0,6894.1,219769.6,25786.8,19.2,5511.6,422960.8,3.4,39078.2,7426122.2,1400679.6,3889.3,323059.4,172801.4,671.2,1092.4,179056.2,17657.0,4525.1,1.6,21787012.2,783974.1,1710545.6,1393.8,169660.7,1759.7,341262.3,18190.8,590786.2,1703924.1,47609.7,,4214.8,75612.5,401948.1,1130518.5,647896.5,75444.0,623638.2,8654.7,14777.1,9175.6,56934.0,306.5
2011年,281345.0909,326247.2718,3463.1988,4036987.337,45928.181,7953.1007,7559.9019,7891.3888,245221.7395,30922.8441,30.4268,7789.1459,476135.9819,14.8323,35360.6705,9274396.881,1757666.4921,6343.6323,362191.1412,231792.6656,1282.8389,1264.6133,345734.6011,20204.0417,3810.5242,1.3272,28717488.9254,1013115.3003,2206329.5612,2713.0486,204797.5509,2989.4728,369943.8652,20541.7486,711687.5033,2720832.7155,59848.6415,2.3293,8760.6619,94624.7278,454082.4576,1455681.1,866029.6751,116179.2419,755154.6872,19372.0359,15453.4087,15430.8487,85172.8767,1205.5962
2012年,290541.2,303148.2,3406.3,4415503.5,83888.7,7451.4,8896.1,7128.7,232309.5,26258.0,83.9,10134.7,472368.5,32.4,42730.1,9192105.7,1606755.6,6882.7,306766.8,240698.9,1861.9,676.2,365522.7,25603.0,3358.2,7.1,28668985.5,996436.4,2411821.4,4953.2,199690.3,2330.1,379715.8,13577.3,692217.8,2281669.4,66313.0,0.3,8949.7,97956.7,383233.9,1680508.4,870261.3,151490.0,633389.4,21389.7,14311.5,13978.0,88470.7,2201.5
2013年,337569.9,327286.7,7313.9,3966782.8,95674.3,10426.6,7579.9,11523.6,271514.8,25666.1,193.1,18012.7,503035.0,1.5,43326.7,9415569.0,1757378.7,9915.8,346798.5,261492.3,1858.6,885.7,345815.6,30279.9,5445.6,0.3,32417155.6,984807.1,2310968.6,7457.1,223179.7,2088.0,419285.0,19957.5,698709.9,5607631.4,58051.2,601.0,12478.6,120750.2,390564.2,1907878.8,982493.4,139946.1,597182.6,23358.3,23484.1,10797.3,72523.8,1614.3
2014年,405731.5014,348354.3735,16717.2701,4159350.5497,98485.9638,10066.2533,5975.6565,10056.257,325989.963,30380.3958,298.2057,11274.0979,585170.419,3.0877,34566.7164,10501276.5801,1928190.2871,14690.9554,446769.3491,298668.8756,2479.2891,1161.0533,337607.6644,33146.4602,5311.0774,,33613072.8058,1005922.1659,2706275.1542,10502.6528,293473.9056,3724.2373,373362.6422,22549.8366,679154.3135,4044052.3674,73827.7242,0.1242,15748.678,152066.7345,405118.4175,2372673.8934,934012.5852,166329.148,620360.7216,29706.2697,18932.2397,9058.459,59142.1883,5356.0445
