,中国同中非出口总额,中国同乌干达出口总额,中国同乍得出口总额,中国同佛得角出口总额,中国同冈比亚出口总额,中国同几内亚出口总额,中国同几内亚比绍出口总额,中国同刚果(布)出口总额,中国同刚果(金)出口总额,中国同利比亚出口总额,中国同利比里亚出口总额,中国同加纳出口总额,中国同加蓬出口总额,中国同加那利群岛出口总额,中国同南苏丹共和国出口总额,中国同南非出口总额,中国同博茨瓦那出口总额,中国同卢旺达出口总额,中国同厄立特里亚出口总额,中国同吉布提出口总额,中国同喀麦隆出口总额,中国同圣多美和普林西比出口总额,中国同坦桑尼亚出口总额,中国同埃及出口总额,中国同埃塞俄比亚出口总额,中国同塞内加尔出口总额,中国同塞卜泰(休达)出口总额,中国同塞拉利昂出口总额,中国同塞舌尔出口总额,中国同多哥出口总额,中国同安哥拉出口总额,中国同尼日利亚出口总额,中国同尼日尔出口总额,中国同布基纳法索出口总额,中国同布隆迪出口总额,中国同摩洛哥出口总额,中国同斯威士兰出口总额,中国同梅利利亚出口总额,中国同毛里塔尼亚出口总额,中国同毛里求斯出口总额,中国同津巴布韦出口总额,中国同留尼汪出口总额,中国同科摩罗出口总额,中国同科特迪瓦共和国出口总额,中国同突尼斯出口总额,中国同索马里出口总额,中国同纳米比亚出口总额,中国同肯尼亚出口总额,中国同苏丹出口总额,中国同莫桑比克出口总额,中国同莱索托出口总额,中国同西撒哈拉出口总额,中国同贝宁出口总额,中国同赞比亚出口总额,中国同赤道几内亚出口总额,中国同阿尔及利亚出口总额,中国同非洲其他国家(地区)出口总额,中国同非洲出口总额,中国同马拉维出口总额,中国同马约特岛出口总额,中国同马达加斯加出口总额,中国同马里出口总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
