,中国同中非出口总额,中国同乌干达出口总额,中国同乍得出口总额,中国同佛得角出口总额,中国同冈比亚出口总额,中国同几内亚出口总额,中国同几内亚比绍出口总额,中国同刚果(布)出口总额,中国同刚果(金)出口总额,中国同利比亚出口总额,中国同利比里亚出口总额,中国同加纳出口总额,中国同加蓬出口总额,中国同加那利群岛出口总额,中国同南苏丹共和国出口总额,中国同南非出口总额,中国同博茨瓦那出口总额,中国同卢旺达出口总额,中国同厄立特里亚出口总额,中国同吉布提出口总额,中国同喀麦隆出口总额,中国同圣多美和普林西比出口总额,中国同坦桑尼亚出口总额,中国同埃及出口总额,中国同埃塞俄比亚出口总额,中国同塞内加尔出口总额,中国同塞卜泰(休达)出口总额,中国同塞拉利昂出口总额,中国同塞舌尔出口总额,中国同多哥出口总额,中国同安哥拉出口总额,中国同尼日利亚出口总额,中国同尼日尔出口总额,中国同布基纳法索出口总额,中国同布隆迪出口总额,中国同摩洛哥出口总额,中国同斯威士兰出口总额,中国同梅利利亚出口总额,中国同毛里塔尼亚出口总额,中国同毛里求斯出口总额,中国同津巴布韦出口总额,中国同留尼汪出口总额,中国同科摩罗出口总额,中国同科特迪瓦共和国出口总额,中国同突尼斯出口总额,中国同索马里出口总额,中国同纳米比亚出口总额,中国同肯尼亚出口总额,中国同苏丹出口总额,中国同莫桑比克出口总额,中国同莱索托出口总额,中国同西撒哈拉出口总额,中国同贝宁出口总额,中国同赞比亚出口总额,中国同赤道几内亚出口总额,中国同阿尔及利亚出口总额,中国同非洲其他国家(地区)出口总额,中国同非洲出口总额,中国同马拉维出口总额,中国同马约特岛出口总额,中国同马达加斯加出口总额,中国同马里出口总额
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,106.0,1078.0,,,5064.0,3718.0,145.0,4677.0,6100.0,6819.0,2778.0,11155.0,1016.0,1762.0,,86691.0,,211.0,,3092.0,1892.0,,6999.0,57475.0,6828.0,4327.0,134.0,441.0,132.0,5909.0,3666.0,35755.0,740.0,513.0,209.0,16549.0,,,955.0,6588.0,10479.0,447.0,,15201.0,8399.0,18.0,,11817.0,34969.0,1334.0,,,15355.0,2213.0,294.0,11679.0,,405571.0,,,3273.0,2439.0
1999年,101.0,1065.0,,,5719.0,4631.0,318.0,1080.0,1874.0,6475.0,1237.0,11029.0,652.0,2112.0,,86080.0,,175.0,,3834.0,2015.0,,6396.0,71587.0,5345.0,3931.0,196.0,435.0,201.0,7028.0,1638.0,39646.0,1509.0,138.0,146.0,25381.0,,,1779.0,7115.0,2726.0,553.0,,19816.0,9737.0,49.0,,10079.0,22935.0,1894.0,,,16284.0,840.0,250.0,15996.0,,411501.0,,,4060.0,1850.0
2000年,34.0,1440.0,,,6163.0,3402.0,462.0,1834.0,1843.0,5231.0,12600.0,10593.0,443.0,2448.0,,101365.0,,342.0,,5411.0,2263.0,,8576.0,80530.0,5570.0,5128.0,210.0,866.0,157.0,8037.0,3374.0,54878.0,702.0,296.0,363.0,27782.0,,,2468.0,8380.0,3191.0,579.0,,22276.0,9672.0,100.0,,13308.0,15838.0,2470.0,,,37041.0,3286.0,355.0,17292.0,,504201.0,,,7123.0,3484.0
2001年,57.0,1624.0,28.0,221.0,7251.0,4406.0,830.0,3818.0,1313.0,4098.0,11272.0,14588.0,589.0,3398.0,,104912.0,1423.0,289.0,284.0,4732.0,2936.0,126.0,9015.0,87289.0,7880.0,5256.0,55.0,1199.0,112.0,10875.0,4572.0,91734.0,648.0,406.0,116.0,29988.0,299.0,99.0,2987.0,8718.0,3327.0,770.0,46.0,25768.0,10617.0,112.0,2122.0,13893.0,21989.0,2204.0,1676.0,89.0,52043.0,3884.0,336.0,22235.0,78.0,600657.0,449.0,,7286.0,2290.0
2002年,69.0,2806.0,171.0,184.0,8190.0,4338.0,450.0,3961.0,1899.0,11153.0,3011.0,18231.0,470.0,3024.0,,131064.0,1898.0,386.0,603.0,4981.0,4397.0,16.0,12142.0,85292.0,9643.0,5768.0,169.0,1441.0,146.0,13847.0,6131.0,104715.0,1474.0,582.0,223.0,45126.0,473.0,84.0,5200.0,9000.0,3216.0,874.0,76.0,21972.0,14411.0,183.0,2018.0,18056.0,39239.0,2593.0,2451.0,37.0,42086.0,3719.0,329.0,35191.0,80.0,696121.0,652.0,,4020.0,2162.0
2003年,212.7,5139.0,168.0,259.6,11596.8,7328.6,1235.0,5989.3,2541.6,17473.5,2618.9,32178.6,889.0,3753.1,,202936.0,2277.0,353.3,546.7,6585.8,6493.5,19.9,19147.0,93676.0,15274.7,7285.1,90.7,1660.6,178.7,26254.0,14579.1,178597.0,1933.6,1171.0,345.0,69579.0,668.3,215.0,5648.6,10737.0,3026.6,1385.0,69.4,22822.1,18384.0,390.3,3762.4,24171.2,47842.0,4502.8,2488.3,55.8,47106.0,3488.0,504.8,64593.7,154.2,1018185.0,1078.1,34.9,11169.5,3520.4
2004年,332.4,7642.7,593.9,274.6,12423.0,9301.7,599.4,9303.2,3698.6,25498.5,18180.8,51040.0,1415.8,5267.8,,295190.4,4954.1,513.0,754.2,7222.0,10001.7,22.3,21597.2,138843.5,19405.5,10830.8,144.3,2825.7,178.2,39865.4,19351.8,171855.9,2499.5,1233.5,481.4,94348.0,1149.1,279.4,6433.3,15119.0,11306.3,2363.5,129.5,12301.4,24509.0,952.2,5253.9,34879.4,81588.7,7515.4,4745.4,58.5,57726.2,5104.2,1012.5,98051.9,122.0,1381321.8,1876.5,69.0,15207.9,5876.8
2005年,709.0,7937.0,1493.0,519.0,12435.0,14431.0,579.0,14471.0,4971.0,36050.0,14963.0,67242.0,4128.0,3905.0,,382597.0,5851.0,1201.0,783.0,11146.0,12987.0,55.0,30358.0,193404.0,28400.0,13308.0,159.0,3076.0,340.0,53810.0,37279.0,230316.0,3390.0,1614.0,1189.0,120643.0,1103.0,324.0,7430.0,17734.0,12537.0,3133.0,183.0,13703.0,29554.0,1657.0,6035.0,45692.0,129359.0,9148.0,5582.0,2.0,95295.0,4850.0,1880.0,140442.0,196.0,1868160.0,1635.0,92.0,18264.0,6594.0
2006年,169.2692,13780.1795,1414.2811,1009.409,16243.8145,17549.1046,567.7056,24147.3522,6876.535,70410.5006,52984.374,80309.192,6387.743,5256.9262,,576770.9102,6178.1657,1240.6055,3794.6081,15495.0084,19114.675,121.7928,38277.308,297550.1314,43077.0158,18726.678,20.6038,3897.8595,530.2608,70401.4682,89418.5633,285215.1939,7176.1552,1934.6382,1017.8765,156952.6374,722.251,376.5399,10924.0061,19775.39,13629.2517,4273.5048,619.528,22747.805,35754.531,2757.7799,13315.7864,62104.0206,141032.8737,12794.0363,6442.2155,5.2549,145209.6313,10252.5357,4110.7988,194751.4487,187.2615,2668787.9416,3074.1469,153.7379,22256.288,7498.7758
2007年,886.5449,20219.4427,6568.2978,1468.8496,18532.187,26385.2212,727.4648,43397.9408,9305.5319,86257.8145,80264.7571,122136.9317,10254.8188,5394.2214,,742826.0983,11874.9794,3479.4711,2664.8172,16406.4274,29657.7258,177.9845,59358.4546,443279.6979,77449.3471,33291.8306,64.575,5847.4239,742.0486,137280.7103,122974.8288,379583.9087,3073.54,4369.0931,1303.4353,216221.8576,1321.202,413.1068,13723.7257,28439.5704,20161.367,8733.2299,764.9453,41257.4188,48190.6939,2661.2024,24553.5852,93090.8984,153679.0134,16024.9639,5656.4147,2.4264,197055.6926,19780.5212,9268.2069,270548.1811,610.445,3729772.6482,4207.0256,526.0924,32847.4327,12527.0071
2008年,1129.5054,23010.0406,7992.9858,1495.3954,17572.482,33445.5925,614.6998,61428.0961,23458.0784,164044.7152,113705.3412,174788.6207,13960.2277,1971.0787,,861762.1625,16915.1779,5937.4419,2897.8356,25226.7597,37928.3504,188.773,95043.8907,587426.0276,123071.9309,40155.1093,61.9565,7877.0653,1412.9921,121823.6519,294246.9756,676705.2438,16681.2989,4619.33,1768.2014,234892.6014,2060.3929,281.8089,18909.3207,32008.7688,13309.9999,11556.9647,2544.4111,53150.0751,69686.0678,4033.8653,24316.5466,124933.2629,187433.3641,29599.4949,7963.9137,6.1115,231411.4926,26434.7745,27739.0904,375190.9956,441.1853,5123992.4521,8105.0453,583.2886,60259.3259,16773.2491
2009年,1273.0,23117.0,14871.0,3541.0,16752.0,28129.0,2319.0,36690.0,32048.0,200194.0,188155.0,153372.0,15472.0,591.0,,736575.0,16536.0,5804.0,3949.0,29453.0,41585.0,220.0,91395.0,510776.0,125244.0,39934.0,18.0,5466.0,1524.0,112974.0,238588.0,547557.0,28391.0,4268.0,3399.0,212886.0,1805.0,215.0,24179.0,29213.0,15626.0,8390.0,1117.0,50487.0,71115.0,6732.0,26450.0,127641.0,170549.0,33919.0,5039.0,7.0,195270.0,15254.0,35835.0,418084.0,153.0,4773456.0,6501.0,518.0,39539.0,16750.0
2010年,2285.7,25752.6,30849.1,3433.5,18678.4,42134.8,943.4,35370.9,47340.5,206130.8,439688.3,193288.0,20580.7,295.2,,1079986.2,36950.3,4999.3,3880.0,44406.1,54079.3,205.4,125312.8,604096.8,120961.5,49832.1,18.4,9835.2,1485.6,133311.0,200387.3,669684.4,27214.8,4795.6,3336.1,248477.4,2897.4,375.9,28496.8,39328.7,31586.3,12855.9,1334.7,54852.0,99489.3,7223.2,22954.2,178630.3,195077.4,49639.1,5936.3,2.7,227367.8,30167.6,45624.1,399999.9,200.0,5995405.4,8007.7,682.4,39679.1,22969.3
2011年,1427.1013,35938.1703,9480.3479,4975.1685,29099.3539,63017.0425,1485.0937,48943.1142,82668.4606,72037.9163,496668.6794,310994.8453,26991.4912,237.0359,132.2887,1336230.5514,61616.1511,6665.248,14815.5974,50885.3299,87410.8906,179.217,165363.1731,728323.7864,88536.1446,68036.0711,8.7486,22483.375,3500.9605,183141.0255,278415.7882,920408.4275,14216.6981,5561.8684,4254.383,304264.9431,3068.5634,393.7903,38627.4767,49692.7164,41027.7768,14318.2088,818.6019,54063.3271,111259.1243,9120.8549,28226.4528,236877.5109,199460.2401,70025.0891,7310.8508,,287468.4516,61734.1817,26631.7114,447188.2142,133.0772,7308302.7816,11209.7469,1120.979,50337.6232,29773.4843
2012年,1768.4,49514.4,17277.8,5749.0,25751.3,75385.1,1589.5,52109.8,83748.6,238423.9,344655.0,479066.3,42659.5,252.2,,1532301.7,18212.1,9010.7,5353.2,90178.0,106431.8,300.8,208972.2,822399.2,152948.3,79397.3,34.0,24918.8,3316.7,338310.3,403903.0,929602.8,15849.2,7250.6,4646.0,313119.3,2892.0,788.0,45540.2,62017.1,43049.0,13973.5,1494.3,80390.7,139192.0,10110.7,43891.1,278873.9,217862.0,94088.7,9441.3,28.8,241366.2,69721.6,36122.8,541665.6,,8531060.6,24906.7,2339.6,54241.4,29023.2
2013年,945.9,45221.3,37189.3,6198.8,30852.1,90747.6,1189.0,77929.3,94875.2,283467.9,233575.0,394602.8,43270.6,317.4,7508.7,1683077.6,14825.2,13410.9,13795.7,101888.4,151467.9,486.2,314070.2,836267.5,186846.6,99739.6,67.2,15256.7,3867.0,244322.2,396405.9,1204261.3,18394.1,10338.7,5096.2,327164.5,2476.2,753.7,59845.1,64870.1,41382.6,13402.5,2986.0,95579.5,126315.9,13376.1,48194.1,321748.1,239843.2,119929.3,8982.9,1.0,299247.7,72969.2,35751.7,602389.7,40.6,9279936.5,21379.3,7771.5,64296.1,27463.9
2014年,721.1752,48656.8959,31771.0145,5122.3437,35068.8473,110145.8974,1715.3183,98452.5684,136218.2961,215761.2006,171133.2859,413456.6463,43039.4094,435.7208,6607.8709,1569914.5579,17614.9428,11498.5442,8814.4183,111218.1416,187757.8414,572.7717,384356.6338,1046050.9601,292230.9224,165023.3418,49.5004,16305.1716,4558.1781,249191.2045,597499.6819,1539342.4622,24369.6273,11797.1937,5160.2365,296299.3198,2652.8388,903.3591,75694.6574,74518.1893,40380.1415,16192.3158,4068.5148,122007.8813,123577.8742,20607.9161,54572.5066,493062.7241,192869.3013,196873.9789,8876.0953,30.9468,348597.9171,72566.5688,35251.5328,739517.7834,124.6889,10603474.8845,15711.7229,1908.6138,75267.81,29706.8628
