,中国同乌拉圭出口总额,中国同伯利兹出口总额,中国同博内尔出口总额,中国同危地马拉出口总额,中国同厄瓜多尔出口总额,中国同古巴出口总额,中国同哥伦比亚出口总额,中国同哥斯达黎加出口总额,中国同圣其茨-尼维斯出口总额,中国同圣卢西亚出口总额,中国同圣文森特和格林纳丁斯出口总额,中国同圣马丁岛出口总额,中国同圭亚那出口总额,中国同墨西哥出口总额,中国同多米尼克出口总额,中国同多米尼加共和国出口总额,中国同委内瑞拉出口总额,中国同安提瓜和巴布达出口总额,中国同尼加拉瓜出口总额,中国同巴哈马出口总额,中国同巴巴多斯出口总额,中国同巴拉圭出口总额,中国同巴拿马出口总额,中国同巴西出口总额,中国同库腊索岛出口总额,中国同开曼群岛出口总额,中国同拉丁美洲出口总额,中国同拉美其他国家(地区)出口总额,中国同智利出口总额,中国同格林纳达出口总额,中国同法属圭亚那出口总额,中国同波多黎各出口总额,中国同洪都拉斯出口总额,中国同海地出口总额,中国同牙买加出口总额,中国同特克斯和凯科斯群岛出口总额,中国同特立尼达和多巴哥出口总额,中国同玻利维亚出口总额,中国同瓜德罗普岛出口总额,中国同秘鲁出口总额,中国同苏里南出口总额,中国同英属维尔京群岛出口总额,中国同荷属安地列斯群岛出口总额,中国同萨尔瓦多出口总额,中国同萨巴出口总额,中国同蒙特塞拉特出口总额,中国同阿根廷出口总额,中国同阿鲁巴岛出口总额,中国同马提尼克岛出口总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,12046.0,,,9479.0,7389.0,12730.0,9273.0,,,,,,,68923.0,4634.0,6158.0,17042.0,,1833.0,,205.0,7839.0,104731.0,108538.0,1233.0,,532118.0,,61956.0,,,3593.0,5836.0,,4631.0,,1676.0,746.0,,10724.0,850.0,,,4413.0,,,54973.0,,
1999年,14236.0,,,10333.0,3989.0,23212.0,10433.0,,,,,,,79169.0,3937.0,5694.0,16070.0,,1659.0,,202.0,5698.0,103749.0,87601.0,1480.0,,526952.0,,60519.0,,,5732.0,6115.0,,5000.0,,1747.0,506.0,,13079.0,690.0,,,5170.0,,,49612.0,,
