,中国科协系统境内举办学术交流活动,中国科协系统境内举办学术交流活动参加人数,全国学会境内举办学术交流活动,全国学会境内举办学术交流活动参加人数,学会(小计)境内举办学术交流活动,学会(小计)境内举办学术交流活动参加人数,省级学会境内举办学术交流活动,省级学会境内举办学术交流活动参加人数,科协(小计)境内举办学术交流活动,科协(小计)境内举办学术交流活动参加人数
1978年,,,,,,,,,,
1979年,,,,,,,,,,
1980年,,,,,,,,,,
1981年,,,,,,,,,,
1982年,,,,,,,,,,
1983年,,,,,,,,,,
1984年,,,,,,,,,,
1985年,,,,,,,,,,
1986年,,,,,,,,,,
1987年,,,,,,,,,,
1988年,,,,,,,,,,
1989年,,,,,,,,,,
1990年,,,,,,,,,,
1991年,,,,,,,,,,
1992年,,,,,,,,,,
1993年,,,,,,,,,,
1994年,,,,,,,,,,
1995年,,,,,,,,,,
1996年,,,,,,,,,,
1997年,,,,,,,,,,
1998年,,,,,,,,,,
1999年,,,,,,,,,,
2000年,,,,,,,,,,
2001年,,,,,,,,,,
2002年,,,,,,,,,,
2003年,,,,,,,,,,
2004年,,,,,,,,,,
2005年,,,,,,,,,,
2006年,,,,,,,,,,
2007年,,,,,,,,,,
2008年,30588.0,432.0,3693.0,63.0,15690.0,208.0,11997.0,145.0,14898.0,224.0
2009年,29825.0,455.0,4117.0,76.0,15951.0,225.0,11834.0,149.0,13874.0,230.0
2010年,29493.0,450.0,3823.0,75.0,15570.0,209.0,11747.0,134.0,13923.0,241.0
2011年,34672.0,529.0,4471.0,90.0,19739.0,274.0,15268.0,184.0,14933.0,255.0
2012年,,,,,,,,,,
2013年,,,,,,,,,,
2014年,,,,,,,,,,
