,中国科协系统实有机构(各级科协组织)数,中国科协系统独立建制机构数,乡镇科普协会数,企业科协数,全国学会乡镇科普协会数,全国学会企业科协数,全国学会农村专业技术协会数,全国学会大专院校科协数,全国学会实有机构(各级科协组织)数,全国学会独立建制机构数,全国学会街道科普协会数,农村专业技术协会数,大专院校科协数,学会(小计)乡镇科普协会数,学会(小计)企业科协数,学会(小计)农村专业技术协会数,学会(小计)大专院校科协数,学会(小计)实有机构(各级科协组织)数,学会(小计)独立建制机构数,学会(小计)街道科普协会数,省级学会乡镇科普协会数,省级学会企业科协数,省级学会农村专业技术协会数,省级学会大专院校科协数,省级学会实有机构(各级科协组织)数,省级学会独立建制机构数,省级学会街道科普协会数,科协(小计)乡镇科普协会数,科协(小计)企业科协数,科协(小计)农村专业技术协会数,科协(小计)大专院校科协数,科协(小计)实有机构(各级科协组织)数,科协(小计)独立建制机构数,科协(小计)街道科普协会数,街道科普协会数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,7087.0,2539.0,30645.0,13607.0,,,,,188.0,,,98520.0,589.0,,,,,3933.0,,,,,,,3745.0,,,30645.0,13607.0,98520.0,589.0,3154.0,2539.0,8689.0,8689.0
2009年,7091.0,2581.0,31659.0,16039.0,,,,,192.0,,,100980.0,698.0,,,,,3932.0,,,,,,,3740.0,,,31659.0,16039.0,100980.0,698.0,3159.0,2581.0,9544.0,9544.0
2010年,7144.0,2580.0,32095.0,17579.0,,,,,181.0,,,103148.0,729.0,,,,,3986.0,,,,,,,3805.0,,,32095.0,17579.0,103148.0,729.0,3158.0,2580.0,10429.0,10429.0
2011年,7174.0,2707.0,32435.0,20208.0,,,,,198.0,,,106737.0,815.0,,,,,4009.0,,,,,,,3811.0,,,32435.0,20208.0,106737.0,815.0,3165.0,2707.0,7545.0,7545.0
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
