,中国科协系统国外及港澳台地区来访团来访总人数,中国科协系统国外及港澳台地区来访团组数,中国科协系统派往国外及港澳台地区团组总人数,中国科协系统派往国外及港澳台地区团组数,全国学会国外及港澳台地区来访团来访总人数,全国学会国外及港澳台地区来访团组数,全国学会派往国外及港澳台地区团组总人数,全国学会派往国外及港澳台地区团组数,学会(小计)国外及港澳台地区来访团来访总人数,学会(小计)国外及港澳台地区来访团组数,学会(小计)派往国外及港澳台地区团组总人数,学会(小计)派往国外及港澳台地区团组数,省级学会国外及港澳台地区来访团来访总人数,省级学会国外及港澳台地区来访团组数,省级学会派往国外及港澳台地区团组总人数,省级学会派往国外及港澳台地区团组数,科协(小计)国外及港澳台地区来访团来访总人数,科协(小计)国外及港澳台地区来访团组数,科协(小计)派往国外及港澳台地区团组总人数,科协(小计)派往国外及港澳台地区团组数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,40363,3608,17380,1939,13747,1035,4538,431,32154,2884,13910,1457,18407,1849,9372,1026,8209,724,3470,482
2009年,35937,3932,17080,2154,11931,1202,4704,557,26884,3160,12769,1663,14953,1958,8065,1106,9053,772,4311,491
2010年,45517,4034,17420,2225,19588,1274,5256,543,35925,3261,13447,1767,16337,1987,8191,1224,9592,773,3973,458
2011年,53984,4376,21985,2654,19784,1197,6421,604,39165,3481,16875,2159,19381,2284,10454,1555,14819,895,5110,495
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
