,中国科协系统同级财政补助收入,中国科协系统经费筹集总额,全国学会同级财政补助收入,全国学会经费筹集总额,学会(小计)同级财政补助收入,学会(小计)经费筹集总额,省级学会同级财政补助收入,省级学会经费筹集总额,科协(小计)同级财政补助收入,科协(小计)经费筹集总额
1978年,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0
2008年,4078,7371,0,972,0,1900,0,928,4078,5471
2009年,0,7313,0,1126,0,2071,0,945,4057,5242
2010年,0,8422,0,1374,0,2384,0,1010,4462,6038
2011年,6106,11014,0,1752,0,3039,0,1287,6106,7975
2012年,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0
