,中国科协系统举办科普展览受众人数,中国科协系统举办科普展览数,中国科协系统举办科普讲座受众人数,中国科协系统举办科普讲座数,中国科协系统发放科普宣传资料数,中国科协系统实用技术培训人数,中国科协系统开展科技咨询次数,中国科协系统推广新技术、新品种数,全国学会举办科普展览受众人数,全国学会举办科普展览数,全国学会举办科普讲座受众人数,全国学会举办科普讲座数,全国学会发放科普宣传资料数,全国学会实用技术培训人数,全国学会开展科技咨询次数,全国学会推广新技术、新品种数,学会(小计)举办科普展览受众人数,学会(小计)举办科普展览数,学会(小计)举办科普讲座受众人数,学会(小计)举办科普讲座数,学会(小计)发放科普宣传资料数,学会(小计)实用技术培训人数,学会(小计)开展科技咨询次数,学会(小计)推广新技术、新品种数,省级学会举办科普展览受众人数,省级学会举办科普展览数,省级学会举办科普讲座受众人数,省级学会举办科普讲座数,省级学会发放科普宣传资料数,省级学会实用技术培训人数,省级学会开展科技咨询次数,省级学会推广新技术、新品种数,科协(小计)举办科普展览受众人数,科协(小计)举办科普展览数,科协(小计)举办科普讲座受众人数,科协(小计)举办科普讲座数,科协(小计)发放科普宣传资料数,科协(小计)实用技术培训人数,科协(小计)开展科技咨询次数,科协(小计)推广新技术、新品种数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,14856.0,68582.0,9623.0,148429.0,18354.0,3037.0,254572.0,35651.0,1278.0,829.0,1995.0,4103.0,418.0,,,,3105.0,9345.0,3335.0,28423.0,3692.0,,,,1827.0,8516.0,1340.0,24320.0,3274.0,,,,11751.0,59237.0,6288.0,120006.0,14662.0,3037.0,254572.0,35651.0
2009年,13809.0,69168.0,7730.0,151108.0,18475.0,3461.0,270477.0,37933.0,800.0,768.0,436.5,5218.0,668.0,,,,2385.0,6783.0,1293.0,30249.0,3402.0,,,,1585.0,6015.0,856.0,25031.0,2734.0,,,,11424.0,62385.0,6437.0,120859.0,15073.0,3461.0,270477.0,37933.0
2010年,20435.0,74399.0,8548.0,165363.0,19541.0,3249.0,236325.0,38864.0,6680.0,866.0,489.0,5131.0,780.0,,,,8768.0,8308.0,1445.0,32071.0,3830.0,,,,2088.0,7442.0,956.0,26940.0,3050.0,,,,11667.0,66091.0,7103.0,133292.0,15711.0,3249.0,236325.0,38864.0
2011年,17191.0,73459.0,8910.0,180384.0,21261.0,3498.0,270021.0,40804.0,3234.0,1091.0,777.0,4922.0,904.0,,,,5129.0,8756.0,2040.0,41435.0,4577.0,,,,1895.0,7665.0,1263.0,36513.0,3673.0,,,,12062.0,64703.0,6870.0,138949.0,16684.0,3498.0,270021.0,40804.0
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
