,中国科协科普网站系统浏览人次,中国科协系统建筑面积8000平方米以上科技馆数,中国科协系统科技馆(科普活动中心)数,中国科协系统科普大篷车行驶里程,中国科协系统科普展示单元总长度,中国科协系统科普教育基地(示范基地)参观人数,中国科协系统科普教育基地(示范基地)数,中国科协系统科普画廊(宣传栏)数,中国科协系统科普网站数,全国学会建筑面积8000平方米以上科技馆数,全国学会科技馆(科普活动中心)数,全国学会科普大篷车行驶里程,全国学会科普展示单元总长度,全国学会科普教育基地(示范基地)参观人数,全国学会科普教育基地(示范基地)数,全国学会科普画廊(宣传栏)数,全国学会科普网站数,全国学会科普网站系统浏览人次,学会(小计)建筑面积8000平方米以上科技馆数,学会(小计)科技馆(科普活动中心)数,学会(小计)科普大篷车行驶里程,学会(小计)科普展示单元总长度,学会(小计)科普教育基地(示范基地)参观人数,学会(小计)科普教育基地(示范基地)数,学会(小计)科普画廊(宣传栏)数,学会(小计)科普网站数,学会(小计)科普网站系统浏览人次,省级学会建筑面积8000平方米以上科技馆数,省级学会科技馆(科普活动中心)数,省级学会科普大篷车行驶里程,省级学会科普展示单元总长度,省级学会科普教育基地(示范基地)参观人数,省级学会科普教育基地(示范基地)数,省级学会科普画廊(宣传栏)数,省级学会科普网站数,省级学会科普网站系统浏览人次,科协(小计)建筑面积8000平方米以上科技馆数,科协(小计)科技馆(科普活动中心)数,科协(小计)科普大篷车行驶里程,科协(小计)科普展示单元总长度,科协(小计)科普教育基地(示范基地)参观人数,科协(小计)科普教育基地(示范基地)数,科协(小计)科普画廊(宣传栏)数,科协(小计)科普网站数,科协(小计)科普网站系统浏览人次
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
