,中外合作经营餐饮业企业营业额,中外合资经营餐饮业企业营业额,其他外商投资餐饮业企业营业额,其他有限责任公司餐饮业企业营业额,其他港澳台商投资餐饮业企业营业额,其他联营餐饮业企业营业额,其他餐饮业企业营业额,其他餐饮服务业营业额,内资餐饮业企业营业额,国有与集体联营餐饮业企业营业额,国有独资公司餐饮业企业营业额,国有联营餐饮业企业营业额,国有餐饮业企业营业额,外商投资股份有限公司餐饮业企业营业额,外商投资餐饮业企业营业额,外资餐饮业企业营业额,快餐服务业营业额,有限责任公司餐饮业企业营业额,正餐服务业营业额,港、澳、台商合作经营餐饮业企业营业额,港、澳、台商合资经营餐饮业企业营业额,港、澳、台商投资股份有限公司餐饮业企业营业额,港、澳、台商投资餐饮业企业营业额,港、澳、台商独资经营餐饮业企业营业额,私营合伙餐饮业企业营业额,私营有限责任公司餐饮业企业营业额,私营独资餐饮业企业营业额,私营股份有限公司餐饮业企业营业额,私营餐饮业企业营业额,联营餐饮业企业营业额,股份合作餐饮业企业营业额,股份有限公司餐饮业企业营业额,集体联营餐饮业企业营业额,集体餐饮业企业营业额,餐饮业企业营业额,饮料及冷饮服务业营业额
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.59012,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.5,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.7,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.3,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.20292,0.0
2004年,48.33152,82.37453,0.0,163.50807,0.0,1.90468,6.60461,28.43564,846.58395,0.48343,1.43578,1.21215,55.46731,0.38436,220.07938,88.98897,205.59744,164.94385,918.68212,15.75156,48.64425,0.06778,93.83029,29.3667,26.31157,377.35373,95.72157,29.21856,528.60543,4.11736,25.71867,31.69644,0.5171,29.43028,1160.5,7.77842
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.2,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573.6,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1907.21515,0.0
2008年,22.0249,105.7928,0.0,345.3656,0.0,2.1359,57.9401,72.5956,1958.5398,0.0,2.327,0.3853,65.1393,10.7967,444.1496,305.5353,441.2582,347.6926,2061.8899,13.0417,43.1911,23.9228,190.1286,109.9729,63.3606,811.423,424.0608,59.9517,1358.7961,2.9123,24.8849,70.7999,0.3611,30.3746,2592.8179,17.0742
2009年,23.23713,109.98375,0.0,401.45787,0.0,1.5475,50.26349,94.19672,2016.36432,0.10378,1.73362,0.0,67.18067,13.4184,461.75262,315.11334,501.06243,403.19149,2065.09839,14.21123,45.71428,26.00494,208.24326,122.31281,62.60198,846.07683,368.19024,77.62107,1354.49012,1.89683,25.74252,80.51949,0.24555,33.07971,2686.3602,26.00266
2010年,17.6,123.6,0.0,476.8,0.0,1.6,62.2,110.4,2398.9,0.3,8.9,0.2,79.3,15.7,547.9,390.9,572.8,485.8,2478.1,15.1,74.1,9.0,248.3,150.1,70.7,1013.4,415.8,105.8,1605.7,2.5,29.4,100.2,0.4,33.9,3195.14443,33.8
2011年,13.651,178.6135,1.6317,661.9272,0.1396,1.3032,132.5679,125.2951,2815.0753,0.2151,10.7456,0.2745,98.2252,4.8829,690.1552,491.3761,747.6175,672.6728,2896.183,17.5347,83.4434,10.6296,303.8182,192.071,68.0513,1176.8513,389.8726,89.411,1724.1862,4.8962,29.6093,117.784,3.1035,35.1337,3809.0487,39.9531
2012年,15.44096,194.69821,1.16303,846.1924,0.36402,1.06514,146.29702,113.63962,3280.41086,0.0,14.97364,0.1407,107.75579,5.30005,799.54369,582.94144,882.64897,861.16604,3356.31549,21.93609,82.86967,2.49691,339.89071,232.22402,61.76924,1366.54526,443.75726,88.84069,1960.91245,5.93574,26.68138,136.42213,4.7299,35.24031,4419.84526,67.24118
2013年,13.01659,185.41462,1.85458,908.2602,0.27624,0.0,55.54606,146.6038,3346.784,0.0,32.15073,0.0,72.41936,4.46387,830.63277,625.88311,898.78878,940.41093,3401.5094,21.34255,70.05854,1.99501,355.91441,262.24207,45.06847,1570.77089,384.12431,90.7605,2090.72417,5.44177,17.41725,137.9236,5.44177,26.90086,4533.33118,86.4292
2014年,12.34084,192.3,2.36578,947.69825,0.57662,0.0,52.23042,165.8,3361.3,0.0,37.66294,0.0,69.52188,4.65232,844.5,632.79621,929.72658,985.36119,3393.6,20.07682,74.03542,2.39464,409.57083,312.48733,41.74567,1604.8,346.74692,84.91185,2078.2,5.75969,16.04591,129.14507,5.75969,25.03294,4615.3,126.16009
